name,birth_date,birth_place,death_date,death_place,nationality,occupation,years_active,known_for,awards,alma_mater,education,employer,notable_works,field,spouse,children,parents,religion,genre
Plato,428/427 or 424/423 BC,[[Classical Athens|Athens]],348/347 BC (aged 75-80),Athens,,,,,,,,,,,,,,,
Socrates,{{circa|470}} BC <!--PLEASE SEE TALK ARCHIVE #! BEFORE CHANGING DATE-->,"[[Deme]] [[Alopece]], [[Classical Athens|Athens]]",399 BC (aged {{approx.|71}}) <!--PLEASE SEE TALK ARCHIVE #! BEFORE CHANGING DATE-->,Athens,,,,,,,,,,,"[[Xanthippe]], [[Myrto]] (disputed)",,,,
Johannes Kepler,{{birth date|df=y|1571|12|27}},"[[Weil der Stadt|Free Imperial City of Weil der Stadt]], Holy Roman Empire",{{Death date and age|df=yes|1630|11|15|1571|12|27}},"[[Regensburg|Free Imperial City of Regensburg]], Holy Roman Empire",,,,{{Plain list|,,,"[[Tübinger Stift]], [[University of Tübingen]] ([[Master of Arts|MA]])<ref>{{cite SEP |last=Liscia |first=Daniel A. Di |title=Johannes Kepler |url-id=kepler}}</ref>",,,{{hlist|[[astronomy]]|[[astrology]]|[[mathematics]]|[[natural philosophy]]}},,,,,
Alan Turing,{{Birth date|df=y|1912|6|23}},"[[Maida Vale]], London, England",{{Death date and age|df=y|1954|6|7|1912|6|23}},"{{Nowrap|[[Wilmslow]], Cheshire, England}}",,,,,,{{Indented plainlist|,,,,,,,,,
Stephen Hawking,{{Birth date|df=y|1942|01|08}},"[[Oxford]], England",{{Death date and age|df=y|2018|03|14|1942|01|08}},"[[Cambridge]], England",,,,{{clist,{{clist,,{{ubl,,,,{{ubl,"3, including [[Lucy Hawking|Lucy]]",,,
Carl Sagan,{{Birth date|1934|11|9}},"New York City, U.S.",{{Death date and age|1996|12|20|1934|11|9}},"[[Seattle]], Washington, U.S.",,,,,,,"[[University of Chicago]] ([[Bachelor of Arts|BA]], [[Bachelor of Science|BS]], [[Master of Science|MS]], [[PhD]])",,,{{flatlist|,,,,,
Benjamin Franklin,"{{OldStyleDateDY|January 17,|1706|January 6}}{{refn|group=Note|name=birthdate}}","[[Boston]], [[Province of Massachusetts Bay]], [[British America]]",{{death date and age|1790|4|17|1706|1|17}},"[[Philadelphia]], Pennsylvania, U.S.",,,,,,,[[Boston Latin School]],,,,"{{marriage|[[Deborah Read]]|September 1, 1730|1774|reason=died}}",{{hlist|[[William Franklin|William]]|[[Francis Folger Franklin|Francis]]|[[Sarah Franklin Bache|Sarah]]}},{{ubl|[[Josiah Franklin]]|[[Abiah Folger]]}},,
James Clerk Maxwell,{{birth date|df=yes|1831|6|13}},"[[Edinburgh]], Scotland",{{death date and age|df=yes|1879|11|5|1831|6|13}},"[[Cambridge]], England",,,,{{collapsible list|title={{nobold|''See list''}}|{{ubl|[[Maxwell's equations]]|[[Statistical mechanics]]|[[Displacement current]]|[[Maxwell relations]]|[[Betti's theorem|Maxwell–Betti theorem]]|[[Maxwell–Boltzmann distribution]]|[[Maxwell–Boltzmann statistics]]|[[Maxwell–Stefan diffusion]]|[[Maxwell's demon]]|[[Maxwell construction]]|[[Kinematic coupling#Maxwell coupling|Maxwell coupling]]|[[Kinetic theory of gases]]|[[Maxwell's discs]]|[[Maxwell speed distribution]]|[[Stress functions#Maxwell stress functions|Maxwell stress functions]]|[[Maxwell's theorem]]|[[Maxwell's theorem (geometry)]]|[[Maxwell material]]|[[von Mises yield criterion|Maxwell–Huber–Hencky–von Mises theory]]|[[Maxwell–Wagner–Sillars polarization]]|[[Maxwell bridge]]|[[Maxwell coil]]|[[Luneburg lens#Maxwell's fish-eye lens|Maxwell's fish-eye lens]]|[[Fovea centralis#Entoptic effects in the fovea|Maxwell's spot]]|[[Additive color|Maxwell's wheel]]|[[Maxwell's thermodynamic surface]]|[[Rings of Saturn]]|[[Control theory]]|[[Coherence (units of measurement)|Coherent system of units]]|[[Chaos theory]]|[[Dimensional analysis]]|[[Generalized conic]]|[[Singularity (system theory)|Singularity]]|[[Structural rigidity]]}}}},{{ubl|[[Smith's Prize]] (1854) |[[Adams Prize]] (1857) |[[Rumford Medal]] (1860)|[[Fellow of the Royal Society|FRS]] (1861)|[[Royal Society Bakerian Medal|Bakerian Medal]] (1866)|[[Keith Medal]] (1869–1871)}},"{{ubl|[[University of Edinburgh]]|[[Peterhouse, Cambridge]]|[[Trinity College, Cambridge]]}}",,,,,{{marriage|[[Katherine Clerk Maxwell|Katherine Dewar]]|1858}},,,,
Dmitri Mendeleev,{{birth date|df=y|1834|2|8}},"Verkhnie Aremzyani, Russia",{{death date and age|df=y|1907|2|2|1834|2|8}},"Saint Petersburg, Russia",,,,"{{ubl|Predicting [[gallium]], [[germanium]] and [[scandium]]|[[Periodic table]]|[[Periodic trends]]}}",{{ubl|[[Davy Medal]] (1882)|[[Faraday Lectureship Prize]] (1889)|[[Fellow of the Royal Society#Foreign member|ForMemRS]]<ref name=formemrs /> (1892)|[[Copley Medal]] (1905)}},[[Saint Petersburg Imperial University]],,,,,,,,,
Gregor Mendel,{{birth date|df=yes|1822|7|20}},"[[Heinzendorf bei Odrau]], [[Austrian Silesia|Silesia]], [[Austrian Empire]]",{{death date and age|df=yes|1884|1|6|1822|7|20}},"[[Brno]], [[Margraviate of Moravia|Moravia]], [[Austria-Hungary]]",[[Austrian Empire|Austrian]],,,Founder of the modern science of [[genetics]],,,[[University of Olmütz]]<br />[[University of Vienna]],,,[[Genetics]],,,,[[Christianity]],
Louis Pasteur,{{birth date|1822|12|27|df=y}},"[[Dole, Jura|Dole]], France",{{death date and age|1895|9|28|1822|12|27|df=y}},"[[Marnes-la-Coquette]], France",,,,,,,{{ublist|[[École normale supérieure]]|[[University of Paris]]|[[Conservatoire national des arts et métiers]]}},,,,{{marriage|[[Marie Laurent]]|1849}},5,,,
Sir Alexander Fleming,{{birth date|1881|8|6|df=y}},"[[Darvel]], Ayrshire, Scotland",{{Death date and age|1955|3|11|1881|8|6|df=y}},"London, England",,,,,,,,,,,,,,,
Michael Faraday,{{Birth date|1791|09|22|df=yes}},"[[Newington Butts]], [[Surrey]], England",{{Death date and age|1867|08|25|1791|09|22|df=yes}},"[[Hampton, London|Hampton]], [[Middlesex]], England",,,,{{Plain list|,,,,,,,,,,,
Johann Wolfgang von Goethe,{{birth date|1749|8|28|df=y}},"[[Free Imperial City of Frankfurt|Frankfurt]], Holy Roman Empire",{{death date and age|1832|3|22|1749|8|28|df=y}},"[[Weimar]], Saxe-Weimar-Eisenach",,,,,,[[University of Strasbourg]] ([[Licentiate (degree)|Lic.]]),[[Leipzig University]],,,,{{marriage|[[Christiane Vulpius]]|1806|1816|end=died}},"5, including [[August von Goethe|August]]",{{ubl | [[Johann Caspar Goethe]] | [[Catharina Elisabeth Goethe|Catharina Elisabeth Textor]]}},,
Sigmund Freud,{{birth date|1856|5|6|df=y}},"[[Freiberg in Mähren]], Austrian Empire",{{death date and age|1939|9|23|1856|5|6|df=y}},"[[Hampstead]], London, England",,,,,,,,,,,,,,,
Max Planck,{{Birth date|1858|04|23|df=yes}},"[[Kiel]], [[Duchy of Holstein]], [[German Confederation]]",{{Death date and age|1947|10|04|1858|04|23|df=yes}},"[[Göttingen]], [[British occupation zone in Germany|British zone]], [[Allied-occupied Germany]]",,,,,,{{Plain list|,,,,,,,,,
Niels Bohr,{{Birth date|1885|10|07|df=yes}},"[[Copenhagen]], Denmark",{{Death date and age|1962|11|18|1885|10|07|df=yes}},"Copenhagen, Denmark",,,,{{Plain list|,,[[University of Copenhagen]] ([[Doctor of Philosophy|PhD]]),,,,,,,,,
Rosalind Franklin,{{birth date|1920|7|25|df=yes}},"[[Notting Hill]], London, England",{{death date and age|1958|4|16|1920|7|25|df=y}},"[[Chelsea, London|Chelsea]], London, England",,,,{{ubl|[[Structure of DNA]]|Fine structure of coal and [[graphite]]|Structures of viruses}},,,"[[Newnham College, Cambridge]]<br />[[University of Cambridge]] ([[PhD]])",,,,,,,,
Rachel Carson,{{birth date|1907|05|27|mf=y}},"[[Springdale, Pennsylvania]], U.S.",{{death date and age|1964|04|14|1907|05|27|mf=y}},"[[Silver Spring, Maryland]], U.S.<ref name=""lkwdpl"" />",,"[[Marine biologist]], author and environmentalist",,,,[[Chatham University]] ([[Bachelor of Arts|BA]])<br />[[Johns Hopkins University]] ([[Master of Science|MS]]),,,,,,,,,[[Nature writing]]
Marie Stopes,{{birth date|1880|10|15|df=y}},"{{Nowrap|[[Edinburgh]], Scotland}}",{{death date and age|1958|10|2|1880|10|15|df=y}},"[[Dorking]], Surrey, England",,,,[[birth control|Family planning]] and [[eugenics]],,,{{Plainlist|,,,[[Palaeobotany]],{{Plainlist|,,,,
Hypatia,{{circa}} 350–370 AD,"[[Alexandria]], Province of Egypt, Eastern Roman Empire","March 415 AD (aged 45–65)<ref name=""MacTutorMath""/>","Alexandria, Province of Egypt, Eastern Roman Empire",,,,,,,,,,,,,,,
Emmy Noether,{{birth date|1882|03|23|df=y}},"[[Erlangen]], Kingdom of Bavaria, German Empire",{{death date and age|1935|04|14|1882|03|23|df=y}},"[[Bryn Mawr, Pennsylvania]], US",,,,,,[[University of Erlangen–Nuremberg]] ([[PhD]])<br>[[University of Göttingen]] ([[Habilitation|Hab.]]),,,,,,,,,
Grace Hopper,{{birth date|1906|12|9}},"[[New York City]], [[New York (state)|New York]], U.S.",{{death date and age|1992|1|1|1906|12|9}},"[[Arlington County, Virginia]], U.S.",,,,{{plainlist|,{{plainlist|,,"[[Vassar College]] ([[Bachelor of Arts|BA]])<br>[[Yale University]] ([[Master of Science|MS]], [[Doctor of Philosophy|PhD]])",,,,{{marriage|Vincent Hopper|1930|1945|end=div}},,,,
Chien-Shiung Wu,{{birth date|1912|5|31|mf=yes}},"[[Liuhe, Taicang]], [[Jiangsu]], China",{{Death date and age|1997|2|16|1912|5|31|mf=yes}},"[[New York City]], U.S.",,,,{{plainlist|,{{plainlist|,,"{{ublist | [[National Central University]] ([[Bachelor of Science|BS]])| [[University of California, Berkeley]] ([[PhD]])}}",,,[[Physics]],{{marriage|[[Luke Chia-Liu Yuan]]|1942}},Vincent Yuan ({{lang-zh|t=袁緯承|labels=no}}),,,
Lise Meitner,{{Birth date|1878|11|07|df=yes}},"[[Vienna]], Austria-Hungary",{{Death date and age|1968|10|27|1878|11|07|df=yes}},"[[Cambridge]], England",,,,,,,,,,,,,,,
Jane Goodall,{{Birth date|1934|4|3|df=y}},"London, England",{{Death date and age|2025|10|1|1934|4|3|df=y}},"Los Angeles, California,<!--Links not needed per MOS:OVERLINK--> US",,,,,,,,,,,{{plainlist|,,,,
Margaret Mead,{{Birth date|1901|12|16}},"[[Philadelphia]], [[Pennsylvania]], U.S.",{{Death date and age|1978|11|15|1901|12|16}},"New York City, U.S.",,[[Anthropologist]],,,{{Plainlist |,,{{Plainlist|,,,,{{Plainlist|,[[Mary Catherine Bateson]],,,
Carl Linnaeus,"{{Birth date|df=yes|1707|5|23}}<ref group=note name=birthdate>Carl Linnaeus was born in 1707 on 13 May ([[Swedish calendar]]) or 23 May according to the [[Gregorian calendar]]. According to the [[Julian calendar]] he was born on 12 May. (Blunt 2004, p. 12)</ref>","[[Råshult]], Sweden",{{Death date and age|df=yes|1778|1|10|1707|5|23}},"[[Linnaeus' Hammarby|Hammarby]], Sweden",,,,,,,,,,,{{marriage|[[Sara Elisabeth Moræa]]|1739}},7,,,
Alfred Nobel,{{Birth date|1833|10|21|df=yes}},"[[Stockholm]], Sweden",{{Death date and age|1896|12|10|1833|10|21|df=yes}},"[[Sanremo]], Italy",,{{hlist|Chemist|Engineer|Inventor|Businessman}},,{{Plain list|,,,,,,,,,,,
Andrei Sakharov,{{birth date|1921|5|21|df=yes}},"Moscow, Russian SFSR",{{death date and age|1989|12|14|1921|5|21|df=yes}},"Moscow, Soviet Union",,,,{{unbulleted list |[[Soviet atomic bomb project#RDS-37|RDS-37]] |[[Soviet nuclear program]] | [[Tsar Bomba]] | [[Explosively pumped flux compression generator]]| [[Electromagnetic pulse]] |[[Tokamak]] |[[Muon-catalyzed fusion]]|[[Baryogenesis#Sakharov conditions|Sakharov conditions]]| [[Induced gravity]]|[[Proton decay]]|[[Dissident|Dissidence]]|[[Human rights defender|Human rights activism]]| [[Sakharov Prize]]}},,{{unbulleted list |[[Moscow State University]] |[[Lebedev Physical Institute]]}},,,,[[Physics]],{{ubl|Klavdia Vikhireva (1943–1969; her death)|[[Yelena Bonner]] (1972–1989; his death)}},,,,
Richard Feynman,{{birth date|1918|5|11|mf=y}},"New York City,<!--Links not needed per MOS:OVERLINK--> U.S.",{{death date and age|1988|2|15|1918|5|11|mf=y}},"Los Angeles, California,<!--Links not needed per MOS:OVERLINK--> U.S.",,,,,,,,,,,,,,,
Werner Heisenberg,{{birth date|df=y|1901|12|5}},"[[Würzburg]], [[Kingdom of Bavaria]], [[German Empire]]",{{death date and age|df=y|1976|2|1|1901|12|5}},"[[Munich]], [[Bavaria]], [[West Germany]]",,,,{{collapsible list|title={{nobold|''See list''}},,[[University of Munich]]<br>[[University of Göttingen]],,,,,,,,,
Erwin Schrödinger,{{Birth date|1887|8|12|df=yes}},"[[Vienna]], [[Austria-Hungary]]",{{Death date and age|1961|01|04|1887|08|12|df=yes}},"Vienna, Austria",,,,,,,,,,,,,,,
Niels Henrik Abel,{{birth date|1802|8|5|df=y}},"[[Nedstrand]], Denmark–Norway",{{death date and age|1829|4|6|1802|8|5|df=y}},"[[Froland]], Norway",,,,[[Abel's binomial theorem]]<br/>[[Abelian category]]<br/>[[Abel equation]]<br/>[[Abel equation of the first kind]]<br/>[[Abelian extension]]<br/>[[Abel function]]<br/>[[Abelian group]]<br/>[[Abel's identity]]<br/>[[Abel's inequality]]<br/>[[Abel's irreducibility theorem]]<br/>[[Abel–Jacobi map]]<br/>[[Abel–Plana formula]]<br/>[[Abel–Ruffini theorem]]<br/>[[Abel sum|Abelian means]]<br/>[[Abel's summation formula]]<br/>[[Abelian and tauberian theorems]]<br/>[[Abel's test]]<br/>[[Abel's theorem]]<br/>[[Abel transform]]<br/>[[Abel transformation]]<br/>[[Abelian variety]]<br/>[[Abelian variety of CM-type]]<br/>[[Dual abelian variety]],,"[[University of Oslo|Royal Frederick University]] (BA, 1822)",,,,[[Mathematics]],,,,,
Kurt Gödel,{{birth date|1906|4|28}},"[[Brünn]], Austria-Hungary (now Brno, Czech Republic)",{{death date and age|1978|1|14|1906|4|28}},"[[Princeton, New Jersey]], U.S.",,,,{{collapsible list,,,"[[University of Vienna]] ([[Dr. Phil.]], 1930)",,,"[[Mathematics]], [[mathematical logic]], [[physics]]",,,,,
John von Neumann,{{birth date|mf=yes|1903|12|28}},"[[Budapest]], Kingdom of Hungary, Austria-Hungary",{{death date and age|mf=yes|1957|2|8|1903|12|28}},"[[Washington, D.C.]], U.S.",,,,,,{{ubl|[[Eötvös Loránd University|Pázmány Péter University]]|[[Humboldt University of Berlin|University of Berlin]]|[[ETH Zurich|ETH Zürich]]}},,,,,,,,,
Florence Nightingale,{{birth date|1820|5|12|df=y}},"[[Florence]], [[Grand Duchy of Tuscany]]",{{death date and age|1910|8|13|1820|5|12|df=y}},"[[Mayfair]], London, England",British,,,,,,,,,,,,,,
Mary Anning,{{birth date|1799|05|21|df=yes}},"[[Lyme Regis]], Dorset, England",{{death date and age|1847|03|09|1799|05|21|df=yes}},Lyme Regis,,{{hlist|[[Fossil collector]]|[[palaeontologist]]}},,,,,,,,,,,,,
Catherine the Great,{{Birth date|df=y|1729|05|02}},"[[Stettin]], Prussia",{{Death date and age|df=y|1796|11|17|1729|05|02}},"[[Winter Palace]], Saint Petersburg, Russia",,,,,,,,,,,{{marriage|[[Peter III of Russia]]|21 August 1745|17 July 1762|end=died}},,,,
Cleopatra,Early 69&nbsp;BC or late 70&nbsp;BC,"[[Alexandria]], Ptolemaic Kingdom","10 or 12 August 30&nbsp;BC (aged&nbsp;39)<ref group=""note"" name=""date of Cleopatra's death"">Cleopatra almost certainly died on the 17th day of the Egyptian month [[Mesore]], which corresponds to 10 August in the older [[Roman calendar]], and 12 August in the [[Julian calendar]]. See {{harvtxt|Skeat|1953|pp=98–100}}.</ref>","Alexandria, Ptolemaic Kingdom",,,,,,,,,,,,{{unbulleted list|[[Caesarion]]|[[Alexander Helios]]|[[Cleopatra Selene II]]|[[Ptolemy Philadelphus (son of Cleopatra)|Ptolemy Philadelphus]]}},,,
Victoria,{{Birth date|1819|05|24|df=y}},"[[Kensington Palace]], London, England",{{Death date and age|1901|01|22|1819|05|24|df=yes}},"[[Osborne House]], [[Isle of Wight]], England",,,,,,,,,,,{{Marriage|[[Prince Albert of Saxe-Coburg and Gotha]]|10 February 1840|14 December 1861|reason=died}},,,"[[Protestantism in the United Kingdom|Protestant]]{{Efn|As monarch, Victoria was [[Supreme Governor of the Church of England]]. She was also aligned with the [[Church of Scotland]].|group=fn}}",
Joan of Arc,{{circa|1412}},"[[Domrémy-la-Pucelle|Domrémy]], Duchy of Bar, Kingdom of France",30 May 1431 (aged {{Approx.|19}}),"[[Rouen]], Anglo-French Kingdom",,,,,,,,,,,,,,,
Elizabeth I,7 September 1533,"[[Palace of Placentia]], Greenwich, England",24 March 1603 (aged 69),"[[Richmond Palace]], Surrey, England",,,,,,,,,,,,,,[[Anglicanism]],
Marie Antoinette,{{birth date|df=yes|1755|11|2}},"[[Hofburg]], Vienna, Austria",{{death date and age|df=yes|1793|10|16|1755|11|2}},"[[Place de la Révolution]], Paris, France",,,,,,,,,,,{{Marriage|[[Louis XVI]]|19 April 1770|21 January 1793|end=d}},,,[[Roman Catholicism]],
Simone de Beauvoir,{{Birth date|1908|1|9|df=yes}},"Paris, France",{{Death date and age|1986|4|14|1908|1|9|df=yes}},"Paris, France",,,,,,,{{plainlist|,,,,,,,,
Virginia Woolf,{{birth date|df=y|1882|1|25}},"[[South Kensington]], London, England",{{death date and age|df=y|1941|3|28|1882|1|25}},"[[River Ouse, Sussex|River Ouse]], East Sussex, England",,{{hlist|Novelist|essayist|publisher|critic}},,,,[[King's College London]],,,,,{{marriage|[[Leonard Woolf]]|10 August 1912}},,{{ubl|[[Leslie Stephen]]|[[Julia Stephen|Julia Prinsep Jackson]]}},,
Frida Kahlo,,"[[Coyoacán]], Mexico",{{Death date and age|df=yes|1954|7|13|1907|7|6}},"Mexico City, Mexico",,,,,,,,,,,{{plainlist|,,,,
Georgia O'Keeffe,{{birth date|1887|11|15|mf=y}},"[[Sun Prairie (town), Wisconsin|Sun Prairie, Wisconsin]], U.S.",{{death date and age|1986|3|6|1887|11|15|mf=y}},"[[Santa Fe, New Mexico]], U.S.",,,,,[[National Medal of Arts]] (1985)<br />[[Presidential Medal of Freedom]] (1977)<br />[[Edward MacDowell Medal]] (1972),,"[[School of the Art Institute of Chicago]]<br />[[Columbia College (South Carolina)|Columbia College]]<br />[[Teachers College, Columbia University]]<br />[[University of Virginia]]<br />[[Art Students League of New York]]",,,"Visual arts: painting, sculpture, photography","{{marriage|[[Alfred Stieglitz]]|1924|July 13, 1946|end=his death}}",,,,
Amelia Earhart,{{birth date|1897|07|24}},"[[Atchison, Kansas]], U.S.",,,,{{flatlist|,,,,,,,,,,,,,
Harriet Tubman,{{circa|March 1822}}{{sfn|Larson|2004|p=16}},"[[Dorchester County, Maryland]], U.S.<!-- As per WP:LINKDIRECT and Template:infobox person, birth/death place indicates city, state, then country. No need to spell out ""United States; 'U.S.' is fine. -->",{{BirthDeathAge| |1822|3| |1913|3|10}},"[[Auburn, New York]], U.S.",,{{hlist|Civil War [[Reconnaissance|scout]]|[[American Civil War spies#Union Spying|spy]]|nurse|suffragist|civil rights activist}},,Guiding enslaved people to freedom,,,,,,,{{plainlist|,,,,
Sojourner Truth,{{Circa|1797}},"[[Swartekill, New York]], U.S.",{{Death date and given age|1883|11|26|86|mf=y}},"[[Battle Creek, Michigan]], U.S.",,"[[Abolitionism in the United States|Abolitionist]], [[human rights activists|human rights activist]]",,,,,,,,,,,,,
Malala Yousafzai,{{birth date and age|df=yes|1997|7|12}},"[[Mingora]], Swat, Pakistan<ref name=whoswho>{{Who's Who | author=Anon| title=Yousafzai, Malala | id=U282567 | year=2019 | doi=10.1093/ww/9780199540884.013.U282567| edition=online [[Oxford University Press]]|location=Oxford}}</ref>",,,,Activist for [[female education]]<!-- no longer a student-->,,,,,"[[Lady Margaret Hall, Oxford]] ([[Bachelor of Arts|BA]])",,,,{{marriage|Asser Malik|2021}}<ref>{{cite web |title=Malala Yousafzai announces her marriage on Twitter |url=https://www.cbc.ca/news/world/malala-yousafzai-marriage-announcement-twitter-human-rights-campaigner-1.6243231 |website=CBC News |publisher=Associated Press |access-date=9 November 2021 |date=9 November 2021 |archive-date=9 November 2021 |archive-url=https://web.archive.org/web/20211109224521/https://www.cbc.ca/news/world/malala-yousafzai-marriage-announcement-twitter-human-rights-campaigner-1.6243231 |url-status=live }}</ref>,,,,
Mother Teresa,{{birth date|df=yes|1910|8|26}},"[[Üsküp]], [[Kosovo vilayet]], [[Ottoman Empire]]",{{death date and age|df=yes|1997|9|5|1910|8|26}},"[[Calcutta]], [[West Bengal]], India",{{plainlist|,,,,,,,,,,,,,,
Eleanor Roosevelt,{{birth date|1884|10|11}},"[[New York City]], U.S.",{{death date and age|1962|11|7|1884|10|11}},"New York City, U.S.",,,,,,,,,,,{{marriage|[[Franklin D. Roosevelt]]|1905|1945|end=died}},"6, including [[Anna Roosevelt Halsted|Anna]], [[James Roosevelt|James]], [[Elliott Roosevelt (general)|Elliott]], [[Franklin D. Roosevelt Jr.|Franklin Jr.]], and [[John Aspinwall Roosevelt|John]]",{{plainlist|,,
The Baroness Thatcher,,,,,,,,,,,,,,,,,,,
Indira Gandhi,{{birth date|1917|11|19|df=yes}},"[[Prayagraj|Allahabad]], [[United Provinces of Agra and Oudh|Agra and Oudh]], India",{{death date and age|1984|10|31|1917|11|19|df=yes}},"New Delhi, India",,[[Politician]],,,[[Indira Gandhi#Awards and honours|See below]],,"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",,,,{{marriage|[[Feroze Gandhi]]|26 March 1942|8 September 1960|reason=died}},{{ubl|[[Rajiv Gandhi]]|[[Sanjay Gandhi]]}},,,
Angela Merkel,,,,,,,,,,,,,,,,,,,
Homer,{{circa|8th century BC}},"possibly [[Ionia]]<ref name=""Britannica"">{{Cite encyclopedia |last=Kirk |first=Geoffrey S. |author-link=Geoffrey Kirk |title=Homer |url=https://www.britannica.com/biography/Homer-Greek-poet |encyclopedia=[[Encyclopædia Britannica]] |year=2025 |orig-year=1998}}</ref>",,[[Ios]]<ref name= Lefkowitz2013 />,,,,,,,,,{{Unbulleted list|''[[Iliad]]''|''[[Odyssey]]''}},,,,,,[[Epic poetry|Epic]]
