name,birth_date,birth_place,death_date,death_place,nationality,occupation,years_active,known_for,awards,alma_mater,education,spouse,children,parents,religion
Benjamin Netanyahu,{{Birth date and age|1949|10|21|df=y}},"[[Tel Aviv]], Israel",,,,{{hlist|Diplomat|management consultant|marketing executive|politician|writer}},,,[[Jabotinsky Medal]] (1980),,{{ubl,{{ubil,3 (including [[Yair Netanyahu|Yair]]),,
Golda Meir,{{birth date|1898|5|3|df=yes}},"[[Kiev]]<!--Do NOT change spelling, see [[WP:MPN]].-->, Russian Empire",{{death date and age|1978|12|8|1898|5|3|df=yes}},[[West Jerusalem]],,,,,,[[Milwaukee State Normal School]],,"{{marriage|Morris Meyerson|December 24, 1917|May 25, 1951|end=d}}",2,,
Menachem Begin,{{Birth date|df=yes|1913|8|16}},"[[Brest-Litovsk]], Russian Empire",{{Death date and age|df=yes|1992|3|9|1913|8|16}},"[[Tel Aviv]], Israel",,,,,,[[University of Warsaw]],,{{Marriage|[[Aliza Begin|Aliza Arnold]]|1939|1982|end=died}},"3, including [[Benny Begin|Ze'ev Binyamin]]",,
Shimon Peres,{{birth date|1923|8|2|df=yes}},"[[Vishnyeva|Wiszniew]], Poland",{{death date and age|2016|9|28|1923|8|2|df=yes}},"<!-- [[Sheba Medical Center]], [[Tel HaShomer]], -->[[Ramat Gan]], Israel",Israeli,,,,[[Nobel Peace Prize]] (1994),,{{ubl|[[The New School]]|[[New York University]]|[[Harvard University]]}},{{marriage|[[Sonia Peres|Sonya Gelman]]|May 1945|20 January 2011|end=d}},{{hlist|[[Tsvia Walden|Tsvia]]|Yoni|[[Chemi Peres|Chemi]]}},,
Mahmoud Abbas,{{birth date and age|1935|11|15|df=y}},"[[Safed]], then part of [[Mandatory Palestine]]",,,,,,,,{{ubl|[[Damascus University]]|[[Peoples' Friendship University of Russia|Patrice Lumumba Peoples' Friendship University]]}} }},,[[Amina Abbas]],"3, including [[Yasser Abbas|Yasser]]",,
Hassan Nasrallah,{{birth date|df=y|1960|08|31}},"[[Bourj Hammoud]], Lebanon",{{death date and age|df=y|2024|09|27|1960|08|31}},"[[Haret Hreik]], Lebanon",,{{hlist|[[Shia clergy]] | politician}},,,,,,{{marriage|Fatima Mustafa Yassine|1978}},5,,
Bashar al-Assad,{{birth date and age|df=yes|1965|9|11}},"Damascus, Syria",,,,,,,,,[[Damascus University]] ([[Medical degree|MD]]) }},{{marriage|[[Asma al-Assad|Asma Akhras]]|2000}},"3, including [[Hafez Bashar al-Assad|Hafez]]",,
Recep Tayyip Erdoğan,{{Birth date and age|1954|02|26|df=yes}},"Istanbul, Turkey",,,,,,,[[List of awards and honours received by Recep Tayyip Erdoğan|Full list]],"[[Marmara University]]{{efn|Various claims are made about his degree.<ref name=""bbcerdogan"" /> See [[Recep Tayyip Erdoğan university diploma controversy]].}}",,{{marriage|[[Emine Gülbaran]]|4 July 1978}},{{hlist|[[Ahmet Burak Erdoğan|Ahmet]]|[[Bilal Erdoğan|Bilal]]|[[Esra Erdoğan|Esra]]|[[Sümeyye Erdoğan|Sümeyye]]}},,
Abdel Fattah el-Sisi,{{birth date and age|df=yes|1954|11|19}},"El Gamaleya, [[Cairo]], Egypt",,,,,,,,[[Egyptian Military Academy]],,{{marriage|[[Entissar Amer]]|1977}},"4, including [[Mahmoud el-Sisi|Mahmoud]]",,
Mohammed bin Salman Al Saud<br/>{{nobold|{{lang|ar|محمد بن سلمان آل سعود}}}},,,,,,,,,,,,,,,
Sheikh Hasina,{{birth date and age|1947|9|28|df=y}},"[[Tungipara Upazila|Tungipara]], [[East Bengal]], Dominion of Pakistan",,,,,,,[[Sheikh Hasina#Honours and awards|Full list]],{{ubl|[[Eden Mohila College]]|[[University of Dhaka]]}},,{{marriage|[[M. A. Wazed Miah]]|1968|2009|end=died}},{{Hlist|[[Sajeeb Wazed|Sajeeb]]|[[Saima Wazed|Saima]]}},,
Imran Khan,{{birth date and age|df=y|1952|10|5}},"[[Lahore]], [[West Punjab]], [[Dominion of Pakistan|Pakistan]]",,,,,,,,,,,,,
Aung San Suu Kyi,,,,,,,,,,,,,,,
Dame Jacinda Ardern,,,,,,,,,,,,,,,
Sanna Marin,,,,,,,,,,,,,,,
Sviatlana Tsikhanouskaya,{{birth date and age|1982|9|11|df=y}},"[[Mikashevichy]], Brest Oblast, Soviet Union (now Belarus)<!-- DO NOT LINK, see [[MOS:GEOLINK]] for further guidance -->",,,,,,,,,[[Mozyr State Pedagogical University]],{{marriage|[[Sergei Tikhanovsky]]|2004}},Ahniya and Karney,,
Justin Trudeau,,,,,,,,,,,,,,,
Emmanuel Macron,,,,,,,,,,,,,,,
Boris Johnson,,,,,,,,,,,,,,,
The Baroness May of Maidenhead,{{birth date and age|1956|10|1|df=yes}},"[[Eastbourne]], Sussex, England",,,,,,,,"[[St Hugh's College, Oxford]]",[[Wheatley Park School]],{{marriage|[[Philip May]]|6 September 1980}},,,
Nicola Sturgeon,,,,,,,,,,,,,,,
Alex Salmond,,,,,,,,,,,,,,,
The Lord Cameron of Chipping&nbsp;Norton,{{birth date and age|1966|10|9|df=yes}},"[[Marylebone]], London, England",,,,,,,,,"{{ubl|[[Eton College]]|[[Brasenose College, Oxford]] ([[Master of Arts (Oxford, Cambridge, and Dublin)|MA]])}}",{{marriage|[[Samantha Sheffield]]|1 June 1996}},4,,
Gordon Brown,,,,,,,,,,,,,,,
Sir Tony Blair,{{birth date and age|1953|5|6|df=y}},"[[Lauriston]], [[Edinburgh]], Scotland",,,,,,,,,{{plainlist| * [[Chorister School]] * [[Fettes College]] }},{{marriage|[[Cherie Booth]]|29 March 1980}},"4, including [[Euan Blair|Euan]] and [[Nicky Blair (football agent)|Nicky]]",,
The Baroness Thatcher,,,,,,,,,,,,,,,
Sir John Major,,,,,,,,,,,,,,,
The Lord Wilson of Rievaulx,{{birth date|1916|03|11|df=y}},"[[Cowlersley]], [[Huddersfield]], West Riding of Yorkshire, England",{{death date and age|1995|05|23|1916|03|11|df=y}}{{efn|name = Death}},"London, England",,{{hlist|Politician|author|lecturer}},,,,"[[Jesus College, Oxford]]",,"{{marriage|[[Mary Wilson, Lady Wilson of Rievaulx|Mary Baldwin]]|1 January 1940}}","2, including [[Robin Wilson (mathematician)|Robin]]",,
Sir Winston Churchill,,,,,,,,,,,,,,,
The Earl Attlee,,,,,,,,,,,,,,,
Neville Chamberlain,,,,,,,,,,,,,,,
The Earl Baldwin of Bewdley,,,,,,,,,,,,,,,
Bonar Law,,,,,,,,,,,,,,,
The Lord Callaghan of Cardiff,,,,,,,,,,,,,,,
Sir Edward Heath,{{Birth date|df=yes|1916|7|9}},"[[Broadstairs]], Kent, England",{{Death date and age|2005|7|17|1916|7|9|df=yes}},"[[Salisbury]], Wiltshire, England",,{{Hlist|[[Civil Service (United Kingdom)|Civil servant]]|musician|politician|yachtsman}},,,{{ubl|[[Order of the Garter]]|[[<!-- Member of the --> Order of the British Empire]]|[[Mentioned in dispatches]]}} }},"[[Balliol College, Oxford]]",,,,,
The Earl of Stockton,{{birth date|1894|2|10|df=y}},"London, England",{{death date and age|1986|12|29|1894|2|10|df=y}},"[[Horsted Keynes]], West Sussex, England",,{{hlist|[[Macmillan Publishers|Publisher]]|politician}},,,{{ubl,"[[Balliol College, Oxford]]",,{{marriage|[[Lady Dorothy Macmillan|Lady Dorothy Cavendish]]|21 April 1920|21 May 1966|reason=died}},"4, including [[Maurice Macmillan|Maurice]] and [[Lady Caroline Faber|Caroline]]",,
The Lord Home of the Hirsel,{{Birth date|1903|7|2|df=y}},"[[Mayfair]], London, England",{{Death date and age|1995|10|9|1903|7|2|df=y}},"[[Coldstream]], Berwickshire, Scotland",,,,,,,"{{Ubl|[[Eton College]]|[[Christ Church, Oxford]]}}",{{Marriage|[[Elizabeth Alington]]|3 October 1936|3 September 1990|reason=d}},"4, including [[David Douglas-Home, 15th Earl of Home|David]]",,
The Earl of Avon,{{birth date|1897|6|12|df=y}},"[[Rushyford]], County Durham, England",{{death date and age|1977|1|14|1897|6|12|df=y}},"[[Alvediston]], [[Wiltshire]], England",,,,,,"[[Christ Church, Oxford]]",[[Eton College]],{{plainlist| * {{marriage|[[Beatrice Beckett]]|1923|1950|reason=divorced}} * {{marriage|[[Clarissa Spencer-Churchill]]|14 August 1952}}}},"3, including [[Nicholas Eden, 2nd Earl of Avon|Nicholas]] (by Beckett)",,
Neville Chamberlain,,,,,,,,,,,,,,,
The Earl of Beaconsfield,{{birth date|1804|12|21|df=y}},"[[Bloomsbury]], Middlesex<!-- Not in London at the time -->, England",{{death date and age|1881|4|19|1804|12|21|df=y}},"[[Mayfair]], London, England",,,,,,,,,,{{plainlist| * [[Isaac D'Israeli]] * Maria Basevi }},
"<!-- NOT ""The Earl Lloyd-George of Dwyfor"" -->",{{birth date|1863|1|17|df=yes}},"[[Chorlton-on-Medlock]], England",{{death date and age|1945|3|26|1863|1|17|df=y}},"[[Llanystumdwy]], Wales",,,,,,,,,,,
The Earl of Oxford and Asquith,,,,,,,,,,,,,,,
Sir Winston Churchill,,,,,,,,,,,,,,,
The Earl Attlee,,,,,,,,,,,,,,,
The Lord Wilson of Rievaulx,{{birth date|1916|03|11|df=y}},"[[Cowlersley]], [[Huddersfield]], West Riding of Yorkshire, England",{{death date and age|1995|05|23|1916|03|11|df=y}}{{efn|name = Death}},"London, England",,{{hlist|Politician|author|lecturer}},,,,"[[Jesus College, Oxford]]",,"{{marriage|[[Mary Wilson, Lady Wilson of Rievaulx|Mary Baldwin]]|1 January 1940}}","2, including [[Robin Wilson (mathematician)|Robin]]",,
Sir Edward Heath,{{Birth date|df=yes|1916|7|9}},"[[Broadstairs]], Kent, England",{{Death date and age|2005|7|17|1916|7|9|df=yes}},"[[Salisbury]], Wiltshire, England",,{{Hlist|[[Civil Service (United Kingdom)|Civil servant]]|musician|politician|yachtsman}},,,{{ubl|[[Order of the Garter]]|[[<!-- Member of the --> Order of the British Empire]]|[[Mentioned in dispatches]]}} }},"[[Balliol College, Oxford]]",,,,,
The Lord Callaghan of Cardiff,,,,,,,,,,,,,,,
The Baroness Thatcher,,,,,,,,,,,,,,,
Sir John Major,,,,,,,,,,,,,,,
Sir Tony Blair,{{birth date and age|1953|5|6|df=y}},"[[Lauriston]], [[Edinburgh]], Scotland",,,,,,,,,{{plainlist| * [[Chorister School]] * [[Fettes College]] }},{{marriage|[[Cherie Booth]]|29 March 1980}},"4, including [[Euan Blair|Euan]] and [[Nicky Blair (football agent)|Nicky]]",,
Gordon Brown,,,,,,,,,,,,,,,
