name,birth_date,birth_place,death_date,death_place,nationality,occupation,years_active,known_for,awards,alma_mater,education,employer,field,spouse,children,parents,religion
Kalpana Chawla,{{birth date|1962|3|17}},"[[Karnal]], [[Haryana]], India",{{death date and age|2003|2|1|1962|3|17}},"Over [[Texas]], U.S",,,,,{{ubl|[[Congressional Space Medal of Honor]]|[[NASA Distinguished Service Medal]]|[[NASA Space Flight Medal]]}},,"[[Punjab Engineering College]] ([[Bachelor of Engineering|BEng]])<br/>[[University of Texas, Arlington]] ([[Master of Science|MS]])<br/>[[University of Colorado, Boulder]] ([[Doctor of Philosophy|PhD]])",,,,,,
Suni Williams,{{birth date and age|1965|9|19}},"[[Euclid, Ohio]], U.S.",,,,,,,,,[[United States Naval Academy]] ([[Bachelor of Science|BS]])<br />[[Florida Institute of Technology]] ([[Master of Science|MS]]),,,Michael J. Williams,,,
Jessica Meir,{{birth date and age|1977|7|1}},"[[Caribou, Maine]], U.S.",,,,,,,,,"{{ublist|[[Brown University]] ([[Bachelor of Science|BS]])|[[International Space University]] ([[Master of Science|MS]])|[[University of California, San Diego]] ([[Doctor of Philosophy|PhD]])}}",,,,,,
Jessica Watkins,{{birth date and age|1988|5|14}},"[[Gaithersburg, Maryland]], U.S.",,,,,,,,,"[[Stanford University]] ([[Bachelor of Science|BS]])<br>[[University of California, Los Angeles]] ([[Master of Science|MS]], [[Doctor of Philosophy|PhD]])",,[[Geology]],,,,
Eileen Collins,{{nowrap|{{birth date and age|1956|11|19|df=y}}}},"[[Elmira, New York]], U.S.",,,,,,,{{ubl |[[Distinguished Flying Cross (United States)|Distinguished Flying Cross]] |[[Legion of Merit]] |[[Defense Meritorious Service Medal]] |[[Meritorious Service Medal (United States)|Meritorious Service Medal]] (2) |[[Commendation Medal|Air Force Commendation Medal]] (2) |[[NASA Distinguished Service Medal]] |[[NASA Outstanding Leadership Medal]] |[[NASA Exceptional Service Medal]] |[[NASA Exceptional Public Service Medal]] |[[NASA Space Flight Medal]] (4)}},,[[Corning Community College]] ([[Associate of Arts|AA]])<br>[[Syracuse University]] ([[Bachelor of Arts|BA]])<br>[[Stanford University]] ([[Master of Science|MS]])<br>[[Webster University]] ([[Master of Science|MS]]),,,,,,
Nichelle Nichols,{{Birth date|mf=yes|1932|12|28}},"[[Robbins, Illinois]], U.S.",{{Death date and age|mf=yes|2022|07|30|1932|12|28}},"[[Silver City, New Mexico]], U.S.",,{{Hlist|Actress|singer|dancer}},1959–2019,,,,[[Englewood Technical Prep Academy|Englewood High School]],,,{{Ubl,,,
Jocelyn Bell Burnell,{{Birth date and age|1943|7|15|df=yes}}{{sfn|Who's Who|2017}},"[[Lurgan]], [[County Armagh]], Northern Ireland{{sfn|''Lurgan Mail''|2007}}{{sfn|Bain|2022}}",,,,,,,,,"{{Plain list| * [[Lurgan College]] * [[The Mount School, York]] }}",,,,,,
Chien-Shiung Wu,{{birth date|1912|5|31|mf=yes}},"[[Liuhe, Taicang]], [[Jiangsu]], China",{{Death date and age|1997|2|16|1912|5|31|mf=yes}},"[[New York City]], U.S.",,,,{{plainlist| * [[Manhattan Project]] * [[Nuclear fission]] * [[Wu experiment]] * [[Parity violation]] * [[Beta decay]] * [[Quantum entanglement]] }},{{plainlist| * [[Comstock Prize in Physics]] (1964) * [[Tom W. Bonner Prize|Bonner Prize]] (1975) * [[National Medal of Science]] (1975) * [[Wolf Prize in Physics]] (1978) }},,"{{ublist | [[National Central University]] ([[Bachelor of Science|BS]])| [[University of California, Berkeley]] ([[PhD]])}}",,[[Physics]],{{marriage|[[Luke Chia-Liu Yuan]]|1942}},Vincent Yuan ({{lang-zh|t=袁緯承|labels=no}}),,
Barbara McClintock,{{birth date|1902|6|16}},"[[Hartford, Connecticut]], United States",{{death date and age|1992|9|2|1902|6|16}},"[[Huntington, New York]], United States",,,,,,,,,[[Cytogenetics]] (genetics scientist),,,,
Rita Levi-Montalcini,{{birth date|1909|4|22|df=y}},"[[Turin]], [[Kingdom of Italy]]",{{death date and age|2012|12|30|1909|4|22|df=y}},"[[Rome]], Italy",[[Italian people|Italian]],,,[[Nerve growth factor]],{{Plainlist| * [[EMBO Membership]] (1974)<ref name=membo>{{cite web|url=http://people.embo.org/profile/rita-levi-montalcini|author=Anon|year=2012|title=Rita Levi-Montalcini EMBO profile|website=people.embo.org|publisher=[[European Molecular Biology Organization]]|location=Heidelberg}}</ref> * [[Louisa Gross Horwitz Prize]] (1983) * [[Albert Lasker Award for Basic Medical Research|Lasker Award]] (1986) * [[Nobel Prize in Physiology or Medicine|Nobel Prize]] (1986) * [[National Medal of Science]] (1987) * [[Fellow of the Royal Society|ForMemRS]] (1995)<ref name=formemrs/> * [[Honorary degree]] in [[Biotechnology]] at [[Bocconi University]] (2008) * ''Others (see [[#Awards and honours|below]])''}},[[University of Turin]],,,[[Neurobiology]],,,,
Marie Curie,{{birth date|df=y|1867|11|7}},"[[Warsaw]], [[Congress Poland|Poland]], Russian Empire",{{death date and age|df=y|1934|7|4|1867|11|7}},"[[Passy, Haute-Savoie|Passy]], [[Rhône-Alpes]], France",,,,{{plainlist| * Discovering [[polonium]] and [[radium]] * Researching [[radioactivity]] }},,[[University of Paris]],,,,,,,
Dorothy Hodgkin,{{Birth date|1910|05|12|df=y}},"[[Cairo]], [[Khedivate of Egypt|Egypt]]",{{death date and age|1994|07|29|1910|05|12|df=y}},"[[Ilmington]], [[Warwickshire]], England",British,,,{{Plainlist| * Development of [[X-ray crystallography|protein crystallography]] * Determining the structure of [[insulin]]}},,,"{{Plainlist| * {{nowrap|[[Somerville College, Oxford]] ([[Bachelor's degree|BA]])}} * {{nowrap|[[University of Cambridge]] ([[Doctorate|PhD]])}}<!-- neither Somerville College nor Newnham College actually award degrees-->}}",,[[Biochemistry]]<br>[[X-ray crystallography]],{{marriage|[[Thomas Lionel Hodgkin]]|1937|25 March 1982|end=d}},3,[[John Winter Crowfoot]]<br>[[Grace Mary Crowfoot|Grace Mary Hood]],
Lise Meitner,{{Birth date|1878|11|07|df=yes}},"[[Vienna]], Austria-Hungary",{{Death date and age|1968|10|27|1878|11|07|df=yes}},"[[Cambridge]], England",,,,,,,,,,,,,
Tu Youyou,{{Birth date and age|df=yes|1930|12|30}},"[[Ningbo, Zhejiang]], [[Republic of China (1912-1949)|Republic of China]]",,,,,,Discovering [[artemisinin]] and [[dihydroartemisinin]],"[[Lasker-DeBakey Clinical Medical Research Award]] (2011)<br />[[Warren Alpert Foundation Prize]] (2015)<br />[[Nobel Prize in Physiology or Medicine]] (2015)<br />[[Highest Science and Technology Award, China|Highest Science and Technology Award]], China (2016)<br />[[Medal of the Republic (China)|Medal of the Republic]], China (2019)","[[Peking University Health Science Center|Beijing Medical College]] ([[Bachelor of Medicine|BMed]]){{NoteTag|Peking University Medical School (北京大学医学院) became the independent Beijing Medical College (北京医学院) in 1952. Tu Youyou attended it between 1951 and 1955. Later in 1985 it was renamed Beijing Medical University (北京医科大学), and was returned to [[Peking University]] as [[Peking University Health Science Center]] (北京大学医学部) since 2005.<ref name=""Peking University Health Science Center history"">{{cite web |url = http://english.bjmu.edu.cn/administration/aintroduction/index.htm |archive-url = https://web.archive.org/web/20140810031449/http://english.bjmu.edu.cn/administration/aintroduction/index.htm |url-status = dead |archive-date = 10 August 2014 |title = Introduction |publisher = [[Peking University Health Science Center]] |date = 27 October 2010 |access-date = 10 October 2015 }}</ref> |name = Medical_School }}",,,,,,,
Françoise Barré-Sinoussi,{{birth date and age|df=y|1947|7|30}},"Paris, France",,,,,,Co-discoverer of HIV,2008 [[Nobel Prize in Physiology or Medicine]],[[University of Paris]],,,,,,,
Emmanuelle Charpentier,{{birth date and age|1968|12|11|df=y}},"[[Juvisy-sur-Orge]], France",,,,,,[[CRISPR]]<ref name=Abbott2016 />,{{Plainlist| *[[Louis-Jeantet Prize for Medicine]] (2015) *[[Breakthrough Prize in Life Sciences]] (2015) *[[Princess of Asturias Awards|Princess of Asturias Award]] (2015) *[[Tang Prize]] in Biopharmaceutical Science (2016) *[[Canada Gairdner International Award]] (2016) *[[Leibniz Prize]] (2016) *[[Pour le Mérite]] (2017) *[[Japan Prize]] (2017) *[[The Novozymes Prize]] (2017) *[[Kavli Prize]] in Nanoscience (2018) *[[Wolf Prize]] in Medicine (2020) *[[Nobel Prize in Chemistry]] (2020) *[[National Inventors Hall of Fame]] (2023)}},,"[[Pierre and Marie Curie University]] ([[Bachelor of Science|BSc]], [[Master of Science|MSc]], [[Doctor of Philosophy|PhD]])",,,,,,
Jennifer Doudna,{{birth date and age|1964|2|19}},"[[Washington, D.C.]], U.S.",,,,,,,,,"{{Plainlist| *[[Pomona College]] ([[Bachelor of Arts|BA]]) *[[Harvard University]] ([[Master of Arts|MA]], PhD) }}",,,{{marriage|Tom Griffin|1988||end=divorced}}<br>{{marriage|Jamie Cate|2000}},,,
May-Britt Moser,{{birth year and age|1963}},"[[Fosnavåg]], Norway",,,Norwegian,,,"[[Grid cell]]s, [[Neuron]]s",,[[University of Oslo]],,,,[[Edvard Moser]] (1985–2016),2,,
Elizabeth Blackburn,{{birth date and age|df=yes|1948|11|26}},"[[Hobart]], [[Tasmania]], Australia",,,,,,,,,{{Plainlist| * [[University of Melbourne]] (BSc) * [[University of Cambridge]] (PhD)}},,Molecular biology,,,,
Ada E. Yonath,{{birth date and age|1939|6|22|df=yes}},"[[Jerusalem]],<br/>[[Mandatory Palestine]]",,,,,,Cryo bio-crystallography,,,{{ubl|[[Hebrew University of Jerusalem]]|[[Weizmann Institute of Science]]}},,Crystallography,,,,
Tu Youyou,{{Birth date and age|df=yes|1930|12|30}},"[[Ningbo, Zhejiang]], [[Republic of China (1912-1949)|Republic of China]]",,,,,,Discovering [[artemisinin]] and [[dihydroartemisinin]],"[[Lasker-DeBakey Clinical Medical Research Award]] (2011)<br />[[Warren Alpert Foundation Prize]] (2015)<br />[[Nobel Prize in Physiology or Medicine]] (2015)<br />[[Highest Science and Technology Award, China|Highest Science and Technology Award]], China (2016)<br />[[Medal of the Republic (China)|Medal of the Republic]], China (2019)","[[Peking University Health Science Center|Beijing Medical College]] ([[Bachelor of Medicine|BMed]]){{NoteTag|Peking University Medical School (北京大学医学院) became the independent Beijing Medical College (北京医学院) in 1952. Tu Youyou attended it between 1951 and 1955. Later in 1985 it was renamed Beijing Medical University (北京医科大学), and was returned to [[Peking University]] as [[Peking University Health Science Center]] (北京大学医学部) since 2005.<ref name=""Peking University Health Science Center history"">{{cite web |url = http://english.bjmu.edu.cn/administration/aintroduction/index.htm |archive-url = https://web.archive.org/web/20140810031449/http://english.bjmu.edu.cn/administration/aintroduction/index.htm |url-status = dead |archive-date = 10 August 2014 |title = Introduction |publisher = [[Peking University Health Science Center]] |date = 27 October 2010 |access-date = 10 October 2015 }}</ref> |name = Medical_School }}",,,,,,,
Shinya Yamanaka,{{Birth date and age|1962|09|04|mf=y}},"[[Higashiōsaka, Osaka]], Japan",,,Japanese,,,[[Induced pluripotent stem cell]],"[[Meyenburg Prize]] (2007)<br />[[Massry Prize]] (2008)<br />[[Robert Koch Prize]] (2008)<br />[[Shaw Prize]] (2008)<br />[[Gairdner Foundation International Award]] (2009)<br />[[Albert Lasker Award for Basic Medical Research|Albert Lasker Basic Medical Research Award]] (2009) <br /> [[Balzan Prize]] (2010) <br /> [[Kyoto Prize]] (2010) <br /> [[BBVA Foundation Frontiers of Knowledge Award]] (2010)<br />[[Wolf Prize]] (2011)<br />[http://www.isscr.org/McEwen_Award_for_Innovation/5323.htm McEwen Award for Innovation] (2011)<br />Fellow of the [[National Academy of Sciences]]<ref name=""nas"">{{Cite journal | last1 = Nair | first1 = P. | doi = 10.1073/pnas.1121498109 | title = Profile of Shinya Yamanaka| journal = [[Proceedings of the National Academy of Sciences]] | year = 2012 | pmid = 22619323 | pmc =3386100 | bibcode = 2012PNAS..109.9223N | volume=109 | issue=24 | pages=9223–9225| doi-access = free }}</ref> (2012)<br />[[Millennium Technology Prize]] (2012)<br />[[Nobel Prize in Physiology or Medicine]] (2012)",[[Kobe University]] ([[Doctor of Medicine|MD]])<br />[[Osaka City University]] ([[PhD]]),,,,,,,
John Venter,{{birth date and age|1946|10|14|mf=y}},"[[Salt Lake City]], Utah, U.S.",,,,[[Biologist]],,,[[Gairdner Foundation International Award|Gairdner Award]] (2002)<br />[[Nierenberg Prize]] (2007)<br />[[Kistler Prize]] (2008)<br />[[ENI award]] (2008)<br />[[National Medal of Science|Medal of Science]] (2008)<br />[[Dickson Prize]] (2011)<br />[[Leeuwenhoek Medal]]<br />[[Edogawa NICHE Prize]] (2020),"[[University of California, San Diego]]",,,,,,,
Katalin Karikó,{{birth date and age|1955|1|17|df=y}},"[[Szolnok]], [[Hungarian People's Republic|Hungary]]",,,,,,[[mRNA]] technology in [[immunology]] and therapies,[[Nobel Prize in Physiology or Medicine]] (2023) and [[List of awards and honors received by Katalin Karikó|several others]],,"[[University of Szeged]] ([[BSc]], [[PhD]])",,,Béla Francia,[[Susan Francia]],,
Sarah Gilbert,{{Birth year and age|1962|04}},"[[Kettering |Kettering, Northamptonshire]], England",,,,,,[[Vaccinology]],[[Albert Medal (Royal Society of Arts)|Albert Medal]] (2021)<br />[[Princess of Asturias Awards|Princess of Asturias Award]] (2021)<br />[[King Faisal Prize]] (2023),[[University of East Anglia]] (BSc)<br/> [[University of Hull ]] (PhD),,,,,3,,
Özlem Türeci,{{Birth date and age|df=yes|1967|3|6}},"[[Siegen]], [[West Germany]]",,,,"Physician, scientist, entrepreneur",1992–present,{{unbulleted list|[[BioNTech]]|[[BNT162b2]] [[vaccine]]}},{{unbulleted list|Princess of Asturias Awards|Georges Köhler Prize|Werner von Siemens Ring|Paul Ehrlich and Ludwig Darmstaedter Prize|Prix Jeantet-Collen for Translational Medicine (2022)|}},{{unbulleted list||[[Saarland University]]}},,,,{{marriage|[[Uğur Şahin]]|2002}},1,,
Uğur Şahin,{{Birth date and age|1965|9|19|df=y}},"[[İskenderun]], [[Hatay Province]], Turkey",,,,"Oncologist, immunologist",1991–present,{{unbulleted list|[[BioNTech]]|[[RNA vaccine]]s|[[BNT162b2]] [[vaccine]]|Personalized cancer immunotherapy}},{{unbulleted list|Merit Award of the American Society of Clinical Oncology|Werner von Siemens Ring|German Cancer Award|[[Order of Merit of the Federal Republic of Germany]]|[[Mustafa Prize]] (2019)|Prix Jeantet-Collen for Translational Medicine (2022)|}},"{{unbulleted list|[[University of Cologne]], [[PhD]] in [[Medicine|Human Medicine]]}}",,,,{{marriage|[[Özlem Türeci]]|2002}},1,,
Fei-Fei Li,{{birth date and age|1976|7|3}},"[[Beijing]], [[China]]",,,,,,{{Plainlist| * [[Computer vision]] * [[Machine learning]] * [[Artificial intelligence]] * [[AI in healthcare]] * [[Cognitive neuroscience]] * [[ImageNet]]}},{{Plainlist| <!-- only include awards notable enough to have dedicated pages--> * Elected to [[National Academy of Engineering]] (2020) * [[National Academy of Medicine]] (2020) * [[American Academy of Arts and Sciences]] (2021) * [[ACM Fellow]] (2018) * [[VinFuture Prize]] (2024) * [[Queen Elizabeth Prize for Engineering]] (2025)}},,"{{ubl |[[Princeton University]] ([[Bachelor of Arts|BA]]) |[[California Institute of Technology]] ([[Master of Science|MS]], [[Doctor of Philosophy|PhD]])}}",,,[[Silvio Savarese]],2,,
Geoffrey Hinton,{{Birth date and age|df=yes|1947|12|06}},"[[Wimbledon, London|Wimbledon]], England",,,,,,,,,,,,{{ubl | Joanne<ref name=NewYorkerProfile/> | {{marriage|Rosalind Zalin||1994|end=d.}}<ref name=NewYorkerProfile/> | {{marriage|Jacqueline Ford|1997|2018|end=d.}}<ref name=NewYorkerProfile/>}},,,
Yoshua Bengio,{{birth date and age|1964|3|5}},"[[Paris]], France",,,,,,{{Plainlist| * [[Deep learning]] * [[Neural machine translation]] * [[Generative adversarial networks]] * [[Attention (machine learning)|Attention models]] * [[Word embedding]]s * [[Denoising autoencoder]]s * [[Language model]]s * [[Learning to learn]] * [[Flow-based generative model|Generative flow networks]]}},[[Prix Marie-Victorin|Marie-Victorin Prize]] (2017)<br>[[Turing Award]] (2018)<br/>[[AAAI Fellow]] (2019)<br />[[Legion of Honor]] (2022)<br />[[VinFuture Prize]] (2024) <br />[[Honorary Doctorate]] (2025),,"[[McGill University]] ([[Bachelor of Science|BS]], [[Master of Science|MS]], [[Doctor of Philosophy|PhD]])",,,,,,
Yann LeCun,{{birth date and age|1960|07|08|df=y}},"[[Soisy-sous-Montmorency]], France<!-- DO NOT LINK, see [[MOS:GEOLINK]] for further guidance -->",,,,,,,,,,,,,,,
Andrew Ng,,,,,,,,,,,"[[Carnegie Mellon University]] ([[Bachelor of Science|BS]])<br>[[Massachusetts Institute of Technology]] ([[Master of Science|MS]])<br>[[University of California, Berkeley]] ([[Doctor of Philosophy|PhD]])",,"[[Computer science]], artificial intelligence, [[machine learning]], [[natural language processing]], [[computer vision]]",,,,
Tim Berners-Lee,{{birth date and age|1955|6|8|df=y}},"London, England",,,,,,Invention of the [[World Wide Web]],{{ubil|[[Turing Award]] (2016)|[[Queen Elizabeth Prize]] (2013)|[[Foreign Associate of the National Academy of Sciences]] (2009)|[[Order of Merit]] (2007)|[[ACM Software System Award]] (1995)}},,"[[Queen's College, Oxford]] ([[Bachelor of Arts|BA]])",,Computer science,{{plainlist| * {{marriage|Nancy Carlson|1990|2011|end=div}} * {{marriage|[[Rosemary Leith]]|2014}}}},2 children<br>3 step-children,,
Vinton Cerf,{{birth date and age|1943|06|23}},"[[New Haven, Connecticut]], U.S.",,,,,,[[TCP/IP]]<br>[[Internet Society]],,,"[[Stanford University]] ([[Bachelor of Science|BS]])<br>[[University of California, Los Angeles]] ([[Master of Science|MS]], [[Doctor of Philosophy|PhD]])",,[[Telecommunications]],,,,
