academic_advisors,allegiance,alma_mater,alt,alt 2,appointed,author_abbrev_bot,author_abbrev_zoo,author_abbreviation_bot,author_abbreviation_zoo,awards,battles,birth_date,birth_name,birth_place,branch,c,caption,child,children,citizenship,credits,death_cause,death_date,death_place,doctoral_advisor,doctoral_students,education,embed,embed_title,employer,ethnicity,eva_time,evas,father,field,fields,footnotes,honorific prefix,honorific_prefix,honorific_suffix,image,image_size,image_upright,influenced,influences,insignia,known_for,landscape,mi,mission,missions,module,module2,mother,name,nationality,native_name,native_name_lang,notable_students,occupation,office,order,other_names,p,parents,parliamentarygroup,partner,predecessor,prizes,rank,relatives,religion,residence,resting place,resting_place,resting_place_coordinates,restingplace,retirement,s,selection,serviceyears,signature,spouse,successor,t,term,term_end,term_start,termlabel,thesis_title,thesis_url,thesis_year,time,type,w,website,work_institution,work_institutions,workplaces,wuu,years_active,yearsactive,{{marriage|duke mondy|1968|1972|end,{{marriage|foster johnson|1951|1951|end
,,,,,,,,,,{{ubl|[[Congressional Space Medal of Honor]]|[[NASA Distinguished Service Medal]]|[[NASA Space Flight Medal]]}},,{{birth date|1962|3|17}},,"[[Karnal]], [[Haryana]], India",,,,,,,,[[Space Shuttle Columbia disaster]],{{death date and age|2003|2|1|1962|3|17}},"Over [[Texas]], U.S",,,"[[Punjab Engineering College]] ([[Bachelor of Engineering|BEng]])<br/>[[University of Texas, Arlington]] ([[Master of Science|MS]])<br/>[[University of Colorado, Boulder]] ([[Doctor of Philosophy|PhD]])",,,,,,,,,,,,,,"Kalpana Chawla, NASA photo portrait in orange suit.jpg",,,,,[[File:Sts-87-patch.svg|40px]] [[File:STS-107 Flight Insignia.svg|40px]],,,,[[STS-87]]<br/>[[STS-107]],,}},,,Kalpana Chawla,,,,,,,,,,,,,,,,,,,,"[[Zion National Park]], [[Utah]], U.S.",,,,,[[NASA Astronaut Group 15|NASA Group 15 (1994)]],,,,,,,,,,,,,31d 14h 54m{{sfn|Dismukes|2009}},[[NASA astronaut]],,,,,,,,,,
,,,,,,,,,,,,{{birth date and age|1965|9|19}},Sunita Lyn Pandya,"[[Euclid, Ohio]], U.S.",,,Williams in 2018,,,,,,,,,,[[United States Naval Academy]] ([[Bachelor of Science|BS]])<br />[[Florida Institute of Technology]] ([[Master of Science|MS]]),,,,,"62&nbsp;hours, 6&nbsp;minutes",9,[[Deepak Pandya]],,,,,,,Sunita Williams in 2018.jpg,,,,,[[File:STS-116 emblem.svg|45px|STS-116]] [[File:ISS Expedition 14 Patch.svg|45px|ISS Expedition 14]] [[File:ISS Expedition 15 patch.svg|45px|ISS Expedition 15]] [[File:STS-117 patch new2.svg|45px|STS-117]] [[File:ISS Expedition 32 Patch.svg|45px|Expedition 32]] [[File:ISS Expedition 33 Patch.svg|45px|Expedition 33]] [[File:ISS Expedition 71 Patch.png|45px]] [[File:ISS Expedition 72 Patch.png|45px]] [[File:Updated SpaceX Crew-9 Patch.png|45px]] }},,,,,{{Unbulleted indent list,,,,Suni Williams,,,,,,,,"Sonika, Sončka, Sunita Pandya Williams",,,,,,,"[[Captain (United States O-6)|Captain]], [[United States Navy|U.S. Navy]]",,,,,,,,,,[[NASA Astronaut Group 17|NASA Group 17 (1998)]],,,Michael J. Williams,,,,,,,,,,"608&nbsp;days, 19&nbsp;minutes",[[NASA astronaut]],,,,,,,,,,
"Bill Milsom (postdoc)<br>Gerald Kooyman<ref name=""Kooyman Mastro Meir 2023 p. xiii"">{{cite book |last1=Kooyman |first1=G. L. |last2=Mastro |first2=J. |last3=Meir |first3=J.U. |title=Journeys with Emperors: Tracking the World's Most Extreme Penguin |publisher=University of Chicago Press |year=2023 |isbn=978-0-226-82439-0 |url=https://books.google.com/books?id=iw_UEAAAQBAJ&pg=PR9 |access-date=2023-11-01 |page=xiii}}</ref>}} }}",,,,,,,,,,,,{{birth date and age|1977|7|1}},Jessica Ulrika Meir,"[[Caribou, Maine]], U.S.",,,,,,{{hlist|United States|Sweden}},,,,,Paul Ponganis,,"{{ublist|[[Brown University]] ([[Bachelor of Science|BS]])|[[International Space University]] ([[Master of Science|MS]])|[[University of California, San Diego]] ([[Doctor of Philosophy|PhD]])}}",yes,,,,21h 44m,3,,,{{ublist|[[Marine biology]]|[[comparative physiology]]}},,,,,Jessica Meir portrait in a WB-57 flight suit (3).jpg,,,,,[[File:ISS Expedition 61 Patch.svg|45px]] [[File:ISS Expedition 62 Patch.png|45px]],,,,[[Soyuz MS-15]] ([[Expedition 61]]/[[Expedition 62|62]]),,{{Infobox scientist,,,Jessica Meir,,,,,,,,,,,,,,,,,,,,,,,,,[[NASA Astronaut Group 21|NASA Group 21 (2013)]],,,,,,,,,,Blood Oxygen Transport and Depletion: The Key of Consummate Divers,https://www.proquest.com/docview/304852089,2009,204d 15h 19m,[[NASA astronaut]],,,,,{{ublist|[[Harvard Medical School]]|NASA}},,,,,
,,,,,,,,,,,,{{birth date and age|1988|5|14}},Jessica Andrea Watkins,"[[Gaithersburg, Maryland]], U.S.",,,Watkins in 2019,,,,,,,,[[An Yin]]}} }},,"[[Stanford University]] ([[Bachelor of Science|BS]])<br>[[University of California, Los Angeles]] ([[Master of Science|MS]], [[Doctor of Philosophy|PhD]])",yes,,,,,,,[[Geology]],,,,,,Jessica Watkins Astronaut portrait (cropped).jpg,,,,,[[File:SpaceX Crew 4 logo.png|50px]] [[File:ISS Expedition 67 Patch.png|50px]] [[File:ISS Expedition 68 Patch.svg|50px]],,,,,[[SpaceX Crew-4]] ([[Expedition 67]]/[[Expedition 68|68]]),{{Infobox scientist,,,Jessica Watkins,,,,,,,,,,,,,,,,,,,,,,,,,[[NASA Astronaut Group 22|NASA Group 22 (2017)]],,,,,,,,,,Tectonic and Aqueous Processes in the Formation of Mass-Wasting Features on Mars and Earth,http://www.worldcat.org/oclc/1078227013,2015,170d 13h 3m,[[NASA astronaut]],,,,,,,,,,
,,,,,,,,,,{{ubl |[[Distinguished Flying Cross (United States)|Distinguished Flying Cross]] |[[Legion of Merit]] |[[Defense Meritorious Service Medal]] |[[Meritorious Service Medal (United States)|Meritorious Service Medal]] (2) |[[Commendation Medal|Air Force Commendation Medal]] (2) |[[NASA Distinguished Service Medal]] |[[NASA Outstanding Leadership Medal]] |[[NASA Exceptional Service Medal]] |[[NASA Exceptional Public Service Medal]] |[[NASA Space Flight Medal]] (4)}},[[United States invasion of Grenada]]}},{{nowrap|{{birth date and age|1956|11|19|df=y}}}},Eileen Marie Collins,"[[Elmira, New York]], U.S.",,,Collins in 1998,,,,,,,,,,[[Corning Community College]] ([[Associate of Arts|AA]])<br>[[Syracuse University]] ([[Bachelor of Arts|BA]])<br>[[Stanford University]] ([[Master of Science|MS]])<br>[[Webster University]] ([[Master of Science|MS]]),yes,,,,,,,,,,,,,Commander Eileen Collins - GPN-2000-001177.jpg,,,,,[[File:Sts-63-patch.png|45px]] [[File:Sts-84-patch.png|50px]] [[File:STS-93 patch.svg|48px]] [[File:Sts-114-patch.png|54px]],,,,,[[STS-63]]<br>[[STS-84]]<br>[[STS-93]]<br>[[STS-114]],{{Infobox military person,,,Eileen Collins,,,,,,,,,,,,,,,"[[Colonel (United States)|Colonel]], [[United States Air Force|USAF]]",,,,,,,,1 May 2006,,[[NASA Astronaut Group 13|NASA Group 13 (1990)]],1978–2005,,,,,,,,,,,,36d 7h 11m,[[NASA astronaut]],,https://www.eileencollins.com/ }},,,,,,,,
,,,A grinning afro-haired Nichelle Nichols,,,,,,,,,{{Birth date|mf=yes|1932|12|28}},Grace Dell Nichols,"[[Robbins, Illinois]], U.S.",,,Nichols in 1979,,,,[[Nyota Uhura]] in ''[[Star Trek]]'',,{{Death date and age|mf=yes|2022|07|30|1932|12|28}},"[[Silver City, New Mexico]], U.S.",,,[[Englewood Technical Prep Academy|Englewood High School]],,,,,,,,,,,,,,Nichelle Nichols (4505899674) (cropped).jpg,,,,,,,,,,,,,,Nichelle Nichols,,,,,{{Hlist|Actress|singer|dancer}},,,,,,,,,,,,,,,,,,,,,,,{{Ubl,,,,,,,,,,,,,,,,,,1959–2019,,div.}} }},div.}}
,,,,,,,,,,,,{{Birth date and age|1943|7|15|df=yes}}{{sfn|Who's Who|2017}},Susan Jocelyn Bell,"[[Lurgan]], [[County Armagh]], Northern Ireland{{sfn|''Lurgan Mail''|2007}}{{sfn|Bain|2022}}",,,Bell Burnell in 2009,,,,,,,,,,"{{Plain list| * [[Lurgan College]] * [[The Mount School, York]] }}",,,,,,,,,,,,[[Dame]],{{Post-nominals|country=GBR|CH|DBE|FRS|FRSE|FRAS|FInstP|size=100%}} [[Royal Irish Academy|HonMRIA]] [[Learned Society of Wales|HonFLSW]],"File:Launch of IYA 2009, Paris - Grygar, Bell Burnell cropped.jpg",,,,,,,,,,,,,,Jocelyn Bell Burnell,,,,,,President of the Royal Astronomical Society,83rd,,,,,,[[Nigel Weiss]],,,,,,,,,,,,,,,,[[Kathryn Whaler]],,,2004,2002,,,,,,,,,,,,,,,,
,,,,,,,,,,{{plainlist| * [[Comstock Prize in Physics]] (1964) * [[Tom W. Bonner Prize|Bonner Prize]] (1975) * [[National Medal of Science]] (1975) * [[Wolf Prize in Physics]] (1978) }},,{{birth date|1912|5|31|mf=yes}},,"[[Liuhe, Taicang]], [[Jiangsu]], China",,,Chien-Shiung Wu performing experiments,yes,Vincent Yuan ({{lang-zh|t=袁緯承|labels=no}}),Republic of China<br />United States,,,{{Death date and age|1997|2|16|1912|5|31|mf=yes}},"[[New York City]], U.S.",[[Ernest Lawrence]],,"{{ublist | [[National Central University]] ([[Bachelor of Science|BS]])| [[University of California, Berkeley]] ([[PhD]])}}",,,,,,,,[[Physics]],,,,,,Chien-shiung Wu (1912-1997) C.jpg,,,,,,{{plainlist| * [[Manhattan Project]] * [[Nuclear fission]] * [[Wu experiment]] * [[Parity violation]] * [[Beta decay]] * [[Quantum entanglement]] }},,{{IPAc-cmn|wu|2|-|j|ian|4|.|x|iong|2}} }},,,{{Infobox Chinese,,,Chien-Shiung Wu,,{{nobold|吳健雄}},zh-hant,,,,,,Wú Jiànxióng,,,,,,,,,,,,,,,吴健雄,,,,{{marriage|[[Luke Chia-Liu Yuan]]|1942}},,{{linktext|吳|健|雄}},,,,,I. The Continuous X-Rays Excited by the Beta-Particles of {{chem2|^{32}P}}. II. Radioactive Xenons,https://journals.aps.org/pr/abstract/10.1103/PhysRev.59.481,1940,,,Wu<sup>2</sup> Chien<sup>4</sup>-Shiung<sup>2</sup>,,,"{{ublist | Institute of Physics, [[Academia Sinica]] | [[University of California, Berkeley]] | [[Smith College]] | [[Princeton University]] | [[Columbia University]] | [[Zhejiang University]] }}",,,,,,
,,,,,,,,,,,,{{birth date|1902|6|16}},Eleanor McClintock,"[[Hartford, Connecticut]], United States",,,"McClintock in her laboratory, 1947",,,,,,{{death date and age|1992|9|2|1902|6|16}},"[[Huntington, New York]], United States",,,,,,,,,,,[[Cytogenetics]] (genetics scientist),,,,,,Barbara McClintock (1902-1992) shown in her laboratory in 1947.jpg,,,,,,,yes,,,,,,,Barbara McClintock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{plainlist| * [[University of Missouri]] * [[California Institute of Technology]] * [[Cold Spring Harbor Laboratory]] }},,,,,,,
,,[[University of Turin]],,,[[Carlo Azeglio Ciampi]],,,,,{{Plainlist| * [[EMBO Membership]] (1974)<ref name=membo>{{cite web|url=http://people.embo.org/profile/rita-levi-montalcini|author=Anon|year=2012|title=Rita Levi-Montalcini EMBO profile|website=people.embo.org|publisher=[[European Molecular Biology Organization]]|location=Heidelberg}}</ref> * [[Louisa Gross Horwitz Prize]] (1983) * [[Albert Lasker Award for Basic Medical Research|Lasker Award]] (1986) * [[Nobel Prize in Physiology or Medicine|Nobel Prize]] (1986) * [[National Medal of Science]] (1987) * [[Fellow of the Royal Society|ForMemRS]] (1995)<ref name=formemrs/> * [[Honorary degree]] in [[Biotechnology]] at [[Bocconi University]] (2008) * ''Others (see [[#Awards and honours|below]])''}},,{{birth date|1909|4|22|df=y}},,"[[Turin]], [[Kingdom of Italy]]",,,"Rita Levi-Montalcini during a visit to Sweden, 1986.",,,"Italy, United States",,,{{death date and age|2012|12|30|1909|4|22|df=y}},"[[Rome]], Italy",,,,,,,,,,,[[Neurobiology]],,,,[[Senators for life in Italy|Senator for life]],[[Order of Merit of the Italian Republic|OMRI]] [[Italian Order of Merit for Culture and Art|OMCA]],Rita Levi-Montalcini (1986).png,,,,,,[[Nerve growth factor]],,,,,{{Infobox officeholder | embed = yes,,,Rita Levi-Montalcini,[[Italian people|Italian]],,,,,Member of the [[Senate of the Republic (Italy)|Senate of the Republic]],,,,,''[[Independent politician|Independent]]'' }},,,,,,,,,,,,,,,,,,,,,30 December 2012,1 August 2001,[[Senators for life in Italy|Life tenure]],,,,,,,,[[Washington University in St. Louis]],,,,,,,
,,[[University of Paris]],,,,,,,,,,{{birth date|df=y|1867|11|7}},Maria Salomea Skłodowska,"[[Warsaw]], [[Congress Poland|Poland]], Russian Empire",,,{{circa|1920}},,,{{ubl|Russian Empire (until 1895)|France (from 1895)}},,[[Aplastic anaemia]],{{death date and age|df=y|1934|7|4|1867|11|7}},"[[Passy, Haute-Savoie|Passy]], [[Rhône-Alpes]], France",,,,,,,,,,,,,,,,,Marie Curie c. 1920s.jpg,,,,,,{{plainlist| * Discovering [[polonium]] and [[radium]] * Researching [[radioactivity]] }},,,,,,,,Marie Curie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
