1blankname1,1blankname3,1namedata1,1namedata3,alias,allegiance,alma_mater,alt,amateurteam1,amateurteam2,amateurteam3,amateurteam4,amateuryears1,amateuryears2,amateuryears3,amateuryears4,awards,bats,battles,billed,birth_date,birth_name,birth_place,birthname,boards,branch,callsign,caps1,caps2,caps3,caps4,caption,children,citizenship,club,clubnumber,clubs1,clubs2,clubs3,clubs4,coach,college,country,creed,criminal_charge,criminal_penalty,criminal_status,currentclub,currentteam,data33,death_date,death_place,debut,debutdate,debutleague,debutteam,debutyear,denomination,disability,disability_class,discipline,disciplines,doctoral_advisor,draftpick,draftround,draftyear,education,elected,employer,event,eye_color,field,fields,finaldate,finalleague,finalteam,finalyear,first,footnotes,full_name,fullname,genre,genres,goals1,goals2,goals3,goals4,governor2,hair_color,height,height_ft,height_in,high_school,highestranking,highlights,hofdate,hoflink,hoftype,hofvote,homepage,hometown,honorific prefix,honorific suffix,honorific_prefix,honorific_suffix,image,image_size,imagesize,instrument,jurisprudence,known_for,label,landscape,language,lbl33,majorwins,mawards,medaltemplates,memorials,minister3,module,module2,module3,module4,module5,module6,monuments,movement,name,nationalcaps1,nationalcaps2,nationalcompetition,nationalgoals1,nationalgoals2,nationality,nationals,nationalteam1,nationalteam2,nationalyears1,nationalyears2,native name lang,native_name,native_name_lang,nickname,notable_works,notableworks,number,occupation,occupations,office,office1,office2,office3,office4,olympics,opponents,order,organization,origin,other_names,othername,otherparty,parents,partner,party,patrons,pb,pfr,position,post-nominals,predecessor,predecessor1,predecessor2,predecessor3,president,president1,president2,president3,profession,proteam1,proteam2,proteam3,proyears1,proyears2,proyears3,pseudonym,rank,regionals,relations,relatives,religion,residence,resting_place,resting_place_coordinates,retired,ridertype,ring_names,role,series,serviceyears,show-medals,signature,signature_alt,signature_size,sport,spouse,stat1label,stat1value,stat2label,stat2value,stat3label,stat3value,stat4label,stat4value,stat5label,stat5value,stat6label,stat6value,statlabel1,statlabel2,statlabel3,statlabel4,statleague,statvalue1,statvalue2,statvalue3,statvalue4,style,successor,successor1,successor2,successor3,team,teams,television,term,term_end,term_end1,term_end2,term_end3,term_end4,term_start,term_start1,term_start2,term_start3,term_start4,thesis_title,thesis_url,thesis_year,throws,title,title2,totalcaps,totalgoals,trainer,turnedpro,updated,voice,website,weight,weight_lbs,width,work_institutions,workplaces,worlds,years1,years2,years3,years4,years_active,yearsactive,youthclubs1,youthclubs2,youthyears1,youthyears2
,,,,,,[[Sofia University]],,,,,,,,,,,,,,{{Birth date and age|df=y|1979|11|8}},Valentin Popov,"[[Pleven]], Bulgaria",,,,,,,,,Valentin Popov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Horror fiction|horror]], [[Mystery fiction|mystery]], [[fantasy]], [[Science fiction|sci-fi]], [[Thriller (genre)|thriller]], [[poetry]]",,,,,,,,,,,,,,,,,,,,,,,Valentin popov.jpg,,,,,,,,Bulgarian,,,,,,,,,,,,,,,Valentin Popov,,,,,,Bulgarian,,,,,,,Валентин Попов,bulgarian,,,,,[[Writer]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Votan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996 – }},,,,,
,,,,,,[[American University]],,,,,,,,,,,,,,{{birth date and age|1977|01|07}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cecilia Vega,,,,,,,,,,,,,,,,,,,{{Flatlist| * News correspondent for ''[[60 Minutes]]'' }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,{{Birth based on age as of date|33|1990|07|15}},,"[[Frankfurt]], [[West Germany]]",,,,,,,,,Brown in 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olivia Brown.jpg,,,,,,,,,,,,,,,,,,,,,,,Olivia Brown,,,,,,,,,,,,,,,,,,,Actress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{plainlist| * {{marriage|[[Mykelti Williamson]]|1983|1985|end=div}} * James Okonkwo }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1979–present,,,,,
,,,,,,,,"RBB Invest Force<ref name=""roadcycling"">{{cite web|first=Jiří|last=Vlasák|url=https://www.roadcycling.cz/clanek/snem-pavla-novaka-ktery-pokracuje-v-italskem-colpacku-je-world-team-a-grand-tour-hlavnimi-cili-nastavajici-sezony-jsou-baby-giro-a-lavenir|title=Snem Pavla Nováka, který pokračuje v italském Colpacku, je World Team a Grand Tour. Hlavními cíli nastávající sezóny jsou baby Giro a l'Avenir|trans-title=The dream of Pavel Novak, who continues in Italian Colpack, is a World Team and a Grand Tour. Main goals of the upcoming season are baby Giro and l'Avenir|work=roadcycling.cz|language=cs|date=3 January 2024|accessdate=9 July 2024}}</ref>",Tufo–Pardus Prostějov Juniors,"Ciclistica Trevigliese<ref>{{cite web|first=Jan|last=Krůta|url=https://www.welovecycling.com/cs/2022/05/31/pavel-novak-seknul-s-hokejem-zacal-jezdit-na-kole-a-v-italii-je-hvezdou/|title=Pavel Novák seknul s hokejem, začal jezdit na kole a v Itálii je hvězdou|trans-title=Pavel Novák stopped with ice hockey, started cycling and is a star in Italy|work=welovecycling.com|language=cs|date=31 May 2022|accessdate=9 July 2024}}</ref>",,2020,2021,2022,,,,,,{{birth date and age|2004|12|3|df=yes}},,"[[Jindřichův Hradec]], Czech Republic",,,,,,,,,Novák in 2021,,,,,,,,,,,,,,,,,{{UCI team code|MBH}},,,,,,,,,,,,,Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81 m,,,,,,,,,,,,,,,,2021 UEC Track Jun & U23 European Championships 091.jpg,,,,,,,,,,,,,,,,,,,,,,,Pavel Novák,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{UCI team code|MBH|2023}}<ref name=""roadcycling""/>",{{UCI team code|Q36|2023}} ''(stagiaire)'',{{UCI team code|JAY men|2024}} ''(stagiaire)'',2023–,2023,2024,,,,,,,,,,,Climber,,Rider,,,}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64 kg,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,{{Birth date and age|1973|5|22|df=y}},,"[[Chelyabinsk]], Soviet Union",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{MedalCountry | {{RUS}} }} {{MedalCompetition | [[Water polo at the Summer Olympics|Olympic Games]] }} {{MedalBronze | [[2000 Summer Olympics|2000 Sydney]] | [[Water polo at the 2000 Summer Olympics|Team]] }} {{MedalCompetition | [[World Aquatics Championships|World Championships]] }} {{MedalBronze | [[2003 World Aquatics Championships|2003 Barcelona]] | [[Water polo at the 2003 World Aquatics Championships – Women's tournament|Team]] }} {{MedalCompetition|[[European Water Polo Championship|European Championship]]}} {{MedalBronze|[[1999 Women's European Water Polo Championship|1999 Prato]]|Team Competition}} {{MedalBronze|[[2001 Women's European Water Polo Championship|2001 Budapest]]|Team Competition}} }},,,,,,,,,,,Tatiana Petrova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Water polo]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minister of State,,[[Clement Agba]],,,,{{plainlist| * [[Ahmadu Bello University]] * [[Olabisi Onabanjo University]] }},,,,,,,,,,,,,,{{Birth date and age|1960|06|16|df=y}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{post-nominals|country=NG|CON|size=100%}},Zainab Ahmed - 2016.jpg,,,,,,,,,,,,,,Udoma Udo Udoma,,,,,,,,,Zainab Ahmed,,,,,,,,,,,,,,,,,,,,,,"[[Finance Minister of Nigeria|Minister of Finance, Budget and National Planning]]",[[Finance Minister of Nigeria|Minister of Finance]],Minister of State for Budget and National Planning,,,,,,,,,,,,[[All Progressives Congress]],,,,,,,''Herself'' {{small|(as Minister of Finance)}}<br>[[Udoma Udo Udoma]] {{small|(as Minister of Budget and National Planning)}},[[Kemi Adeosun]],,,[[Muhammadu Buhari]],Muhammadu Buhari,Muhammadu Buhari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Wale Edun]] {{small|(as Minister of Finance)}}<br>[[Abubakar Atiku Bagudu]] {{small|(as Minister of Budget and Economic Planning)}},"''Herself'' {{small|(as Minister of Finance, Budget and National Planning)}}",[[Clement Agba]],,,,,,29 May 2023,28 May 2019,14 September 2018,,,21 August 2019,14 September 2018,11 November 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,{{birth date|1898|02|14}},Barbara Eva Novak,"[[St. Louis, Missouri]], U.S.",,,,,,,,,"Novak, early 1920s",2 }},,,,,,,,,,,,,,,,,,{{death date and age|1988|04|17|1898|02|14}},"[[Woodland Hills, Los Angeles]], U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eva-novak.jpg,,,,,,,,,,,,,,,,,,,,,,,Eva Novak,,,,,,,,,,,,,,,,,,,Actress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Jane Novak]] (sister)<br>[[Anne Schaefer]] (aunt)<ref name=Legends>{{cite book|last=Brown|first=John W.|title=Missouri Legends: Famous people from the Show-Me State|year=2008|publisher=Reedy Press|pages=176, 177|location=St. Louis}}</ref>",,,,,,,,,,,,,,,,{{marriage|William Reed|1921}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1917&ndash;1966,,,,
,,,,,,[[University of Southern California]],,,,,,,,,,,,,,{{birth date and age |mf=yes|1978|3|13}},,"[[Lan Zhou]], China",,,,,,,,,"Qing Zhang, 2007",,,,,,,,,,,,,<!-- Criminality parameters should be supported with citations from reliable sources -->,,,,,,,,,,,,,,,,,,,,,,M.S. (2011),,,,,,,,,,,,}},,,,,,,,,,,5 ft 7 in,,,,,,,,,,,,,,,,"Jasmine Zhang , 2007.jpg",,,,,,,,,,,,,,,,,,,,,,,Jasmine Zhang,,,,,,,,,,,,,{{nobold|张庆}} (Zhang Qing),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<!-- {{Coord|LAT|LONG|type:landmark|display=inline}} -->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<!-- {{URL|www.example.com}} -->,,,,,,,,,,,,,,,,
,,,,,,,,Team Campana Imballaggi–Rotogal,U.C. Trevigiani Campana Imballaggi,[[Centro Sportivo Esercito]]<ref name=BIO>{{cite web|url=https://magliaazzurra.federciclismo.it/it/person/matteo-bianchi/f9180b95-4cd0-4bf9-8870-de1441290039/|title=Matteo Bianchi profile|website=federciclismo.it|access-date=15 August 2022}}</ref>,Campana Imballaggi Geo&Tex Trentino,2019,2021,2022,2023,,,,,{{Birth date and age|df=yes|21 October 2001}},,"[[Bozen]], [[Italy]]<ref name=BIO/>",,,,,,,,,Bianchi in 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Track,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024 UEC Track Elite European Championships 144.jpg,,,,,,,,,,,,{{MedalSport|Men's [[track cycling]]}} {{MedalCountry|{{ITA}}}} {{Medal|Competition|[[UEC European Track Championships|European Championships]]}} {{Medal|Gold|[[2024 UEC European Track Championships|2024 Apeldoorn]]|[[2024 UEC European Track Championships – Men's 1 km time trial|1 km time trial]]}} {{Medal|Gold|[[2025 UEC European Track Championships|2025 Heusden-Zolder]]|[[2025 UEC European Track Championships – Men's 1 km time trial|1 km time trial]]}} {{Medal|Silver|[[2022 UEC European Track Championships|2022 Munich]]|[[2022 UEC European Track Championships – Men's 1 km time trial|1 km time trial]]}} {{MedalCompetition|[[UCI Junior Track World Championships|World Junior Championships]]}} {{MedalBronze|[[2019 UCI Junior Track Cycling World Championships|2019 Frankfurt]]|Kilometer}} }},,,,,,,,,,,Matteo Bianchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sprinter,,Rider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Close-up of Óscar Núñez wearing a black suit and tie with white shirt, smiling at camera",,,,,,,,,,,,,{{Birth date and age|1958|11|18}},,"[[Colón, Cuba|Colón]], Matanzas, [[Republic of Cuba (1902–1959)|Cuba]]",,,,,,,,,Nuñez in 2009,1 }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009 CUN Award Party Oscar Nuñez 058.JPG,,,,,,,,,,,,,,,,,,,,,,,Óscar Núñez,,,,,,,,,,,,,,,,,,,{{csv|Actor|comedian}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ursula Whittaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000–present,,,,,
,,,,,,,,,,,,,,,,,,,,{{birth date and age|df=yes|1980|1|23}},,"[[Karlshamn]], [[Sweden]]",,,,,| goals1 = | caps2 = | goals2 = | caps3 = | goals3 = | caps4 = | goals4 =,,,,,,,,13,[[Lörby IF]] | clubs2 = [[Kristianstad/Wä DFF]] | clubs3 = [[Djurgårdens IF Fotboll (women)|Djurgårdens IF]]{{efn|2003–2005 as [[Djurgården/Älvsjö]].}} | clubs4 =[[Hammarby IF DFF|Hammarby IF]],,,,,,,,,,,[[Hammarby IF DFF|Hammarby IF]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sara Johansson,,,,,,,,,{{convert|1.75|m|ftin|0|abbr=on}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sara Johansson,26<ref>{{cite web |url=https://www2.svenskfotboll.se/ImageVault/Images/id_69553/ImageVaultHandler.aspx |title=Damlandslagsspelare 1973–2017 |publisher=svenskfotboll.se |accessdate=14 December 2019 |archive-date=26 March 2018 |archive-url=https://web.archive.org/web/20180326202526/https://www2.svenskfotboll.se/ImageVault/Images/id_69553/ImageVaultHandler.aspx |url-status=dead }}</ref>,,,7 }},,,,[[Sweden women's national football team|Sweden]],,2000–2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Striker (association football)|Forward]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995–1997 | years2 = 1998–1999 | years3 = 2000–2005 | years4 =2006–2008,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Takeshi Yamamoto by [[Akira Amano]],,,,,,,,,,,,,,,,,,[[List of Reborn! characters#Vongola Family|Vongola Family]],,,,,,,,,,,,,,,,,,,,,,,,,,,,Manga chapter 5 <br> Anime episode 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[File:Yamamoto Takeshi.jpg]],,,,,,,,,Affiliation }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reborn!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Suguru Inoue<ref>{{cite web|url=http://www.ymo-inc.com/men/inoue.html|title=井上 優｜Talent Profile|publisher=YMO Inc.|language=Japanese|accessdate=July 14, 2009|url-status=usurped|archiveurl=https://web.archive.org/web/20090705130958/http://www.ymo-inc.com/men/inoue.html|archivedate=July 5, 2009}}</ref> (Japanese)",,,,,,,,,,,,,,,,,
,,,,,,"[[University of Konstanz]], [[Free University of Berlin]]",,,,,,,,,,"[[HIST Award]], 2016 }}",,,,"1952<ref name=""LOC"">{{cite web|title=Klein, Ursula, 1952-|url=https://lccn.loc.gov/no95021278|website=LOC Authority Records|access-date=3 October 2016}}</ref>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"History of science, philosophy of science, semiotics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Paper tools]],,,,,,,,,,,,,,,,,,Ursula Klein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Max Planck Institute for the History of Science]],,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Right,,,{{Birth date|1887|11|6}},,"[[Humboldt, Kansas]], U.S.",,,,,,,,,Johnson with the Washington Senators in 1924,,,,,,,,,,,,,,,,,,,{{death date and age|1946|12|10|1887|11|6}},"[[Washington, D.C.]], U.S.",,August 2,MLB,Washington Senators,1907,,,,,,,,,,,,,,,,,September 30,MLB,Washington Senators,1927,,,,,,,,,,,,,,,,,,"* [[World Series champion]] ({{wsy|1924}}) * 2× [[Major League Baseball Most Valuable Player Award|AL MVP]] (1913, 1924) * 3× [[Triple Crown (baseball)|Triple Crown]] (1913, 1918, 1924) * 6× [[List of Major League Baseball annual wins leaders|AL wins leader]] (1913–1916, 1918, 1924) * 5× [[List of Major League Baseball annual ERA leaders|AL ERA leader]] (1912, 1913, 1918, 1919, 1924) * 12× [[List of Major League Baseball annual strikeout leaders|AL strikeout leader]] (1910, 1912–1919, 1921, 1923, 1924) * Pitched a [[no-hitter]] on July 1, 1920 * MLB record 110 career shutouts * [[Washington Nationals#Ring of Honor|Washington Nationals Ring of Honor]] * [[Major League Baseball All-Century Team]] * [[Major League Baseball All-Time Team]]",[[1936 Baseball Hall of Fame balloting|1936]],National Baseball Hall of Fame and Museum,National,83.6% (first ballot) }},,,,,,,Walter Johnson 1924.jpg,,,,,,,,,,,,,,,,,,,,,,,Walter Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Pitcher]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Win–loss record (pitching)|Win–loss record]],417–279,[[Earned run average]],2.17,[[Strikeout]]s,"3,508",[[Shutout (baseball)|Shutouts]],110,Managerial record,529–432,Winning %,{{Winning percentage|529|432}},,,,,MLB,,,,,,,,,,,'''As player''' * [[Washington Senators (1901–60)|Washington Senators]] ({{mlby|1907}}–{{mlby|1927}}) '''As manager''' * [[Washington Senators (1901–60)|Washington Senators]] ({{mlby|1929}}–{{mlby|1932}}) * [[Cleveland Indians]] ({{mlby|1933}}–{{mlby|1935}}),,,,,,,,,,,,,,,,Right,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Chongqing, China",{{Birth date and age|df=yes|1988|7|28}},Xia Zhao,"[[Chongqing]], [[Sichuan]], [[China]]<ref name=""wwe.com"">{{cite web|url=https://www.wwe.com/superstars/xia-li|title=Xia Li|website=WWE|access-date=March 19, 2019|archive-url=https://web.archive.org/web/20240421213709/https://www.wwe.com/superstars/xia-li|archive-date=April 21, 2024|url-status=live}}</ref>",,,,,,,,,Lee in September 2025,,,,,,,,,,,,,,,,,,,,,"July 13, 2017 }}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{height|ft=5|in=3}}<ref name=""wwe.com""/>",,,,,,,,,,,,,,,,Léi Ying Lee 092725.jpg,,,,,,,,,,,,,,,,,,,,,,,Xia Li,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Xia Li<ref name=""wwe.com""/><br>Xia Zhao<ref name=""QofI""/><br>'''Léi Yǐng Lee'''<ref name=""TNA""/>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[WWE Performance Center]],,,,,"<!-- X st Y lb, X lb OR X kg; the template will automatically convert (otherwise {{Convert|POUNDS|lb|stlb kg|abbr=on}} or {{Convert|KILOGRAMS|kg|lb stlb|abbr=on}} can be used) -->",,,,,,,,,,,,,,,
,,,,,,,A woman lifting weights,,,,,,,,,,,,,{{birth date and age|df=yes|1994|4|26}},,"[[Greenwich]], London, England<ref name=""te""/>",,,,,,,,,Zoe Smith at the [[London Youth Games]] in 2011,,,East London Weightlifting<ref>{{cite web |title=England Championship 2023 – Start list – Red Platform |url=https://britishweightlifting.org/resources/2023-england-senior-start-list-final-red-platform-291123150656.pdf |website=British Weight Lifting |access-date=8 August 2024 |archive-date=14 July 2024 |archive-url=https://web.archive.org/web/20240714212705/https://britishweightlifting.org/resources/2023-england-senior-start-list-final-red-platform-291123150656.pdf |url-status=live }}</ref>,,,,,,,,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,"–58kg, −59kg, −63kg, −64kg",,,,,,,,,,,,,,,,,,,,{{height|m=1.59}}<ref>{{cite web |title=Zoe Smith |url=https://www.teamgb.com/athlete/zoe-smith/5R41pscswycyL0jnqHxgbF |website=Team GB |access-date=8 August 2024 |archive-date=5 May 2024 |archive-url=https://web.archive.org/web/20240505210813/https://www.teamgb.com/athlete/zoe-smith/5R41pscswycyL0jnqHxgbF |url-status=live }}</ref>,,,,,,,,,,,,,,,,ZoeSmithLYG.jpg,300px,,,,,,,,,,,{{Medal|Sport| Women's [[Olympic weightlifting|weightlifting]]}} {{Medal|Country|{{GBR2}}}} {{Medal|Competition|[[European Weightlifting Championships|European Championship]]}} {{Medal|Bronze | [[2014 European Weightlifting Championships|2014 Tel Aviv]]|−58&nbsp;kg}} {{MedalBronze|[[2019 European Weightlifting Championships|2019 Batumi]]|–64&nbsp;kg}} {{MedalBronze|[[2023 European Weightlifting Championships|2023 Yerevan]]|–64&nbsp;kg}} {{Medal|Country|{{ENG}}}} {{Medal|Competition|[[Commonwealth Games]]}} {{Medal|Gold | [[2014 Commonwealth Games|2014 Glasgow]] |[[Weightlifting at the 2014 Commonwealth Games – Women's 58 kg|58&nbsp;kg]]}} {{Medal|Silver | [[2018 Commonwealth Games|2018 Gold Coast]] |[[Weightlifting at the 2018 Commonwealth Games – Women's 63 kg|63&nbsp;kg]]}} {{Medal|Bronze | [[2010 Commonwealth Games|2010 Delhi]] |[[Weightlifting at the 2010 Commonwealth Games – Women's 58 kg|58&nbsp;kg]]}},,,,,,,,,,,Zoe Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"225kg<ref name=""IWRP""/>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Olympic weightlifting|Weightlifting]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 August 2024 }},,,{{convert|58.06|kg|lb|abbr=on}} (in March 2024)<ref>{{cite web |title=Athletes/Bios: Smith Zoe |url=https://iwf.sport/weightlifting_/athletes-bios/?athlete=&id=2867 |website=IWF |access-date=9 July 2024}}</ref>,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Right,,,{{Birth date|1942|12|7}},,"[[Helena, Arkansas]], U.S.",,,,,,,,,Johnson in 1968,,,,,,,,,,,,,,,,,,,{{Death date and age|2015|2|28|1942|12|7}},"[[Detroit]], [[Michigan]], U.S.",,July 25,MLB,Philadelphia Phillies,1964,,,,,,,,,,,,,,,,,October 1,MLB,Detroit Tigers,1976,,,,,,,,,,,,,,,,,,* [[Major League Baseball All-Star Game|All-Star]] ([[1970 Major League Baseball All-Star Game|1970]]) * [[List of Major League Baseball Batting Champions|AL batting champion]] (1970) }},,,,,,,,,,,Alex Johnson 1968.jpg,,,,,,,,,,,,,,,,,,,,,,,Alex Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Left fielder]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Batting average (baseball)|Batting average]],.288,[[Home run]]s,78,[[Run batted in|Runs batted in]],525,,,,,,,,,,,MLB,,,,,,,,,,,*[[Philadelphia Phillies]] ({{mlby|1964}}–{{mlby|1965}}) *[[St. Louis Cardinals]] ({{mlby|1966}}–{{mlby|1967}}) *[[Cincinnati Reds]] ({{mlby|1968}}–{{mlby|1969}}) *[[California Angels]] ({{mlby|1970}}–{{mlby|1971}}) *[[Cleveland Indians]] ({{mlby|1972}}) *[[Texas Rangers (baseball)|Texas Rangers]] ({{mlby|1973}}–{{mlby|1974}}) *[[New York Yankees]] ({{mlby|1974}}–{{mlby|1975}}) *[[Detroit Tigers]] ({{mlby|1976}}),,,,,,,,,,,,,,,,Right,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,[[Loyola Marymount University]],<!-- descriptive text for use by speech synthesis (text-to-speech) software -->,,,,,,,,,,,,,<!-- Valid citation required for date of birth for BLP. (WP:BLPPRIVACY) -->,<!-- only use if different from name -->,"[[Davenport, Iowa]], U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<!-- filename only, no ""File:"" or ""Image:"" prefix, and no enclosing [[brackets]] -->",,,,,,,,,,,,,,,,,,,,,,,Dana Davis,,,,,,,,,,,,,,,,,,,{{flatlist| *Actress *voice actress *novelist }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
