1blankname,1blankname1,1blankname2,1blankname3,1blankname4,1blankname6,1namedata,1namedata1,1namedata2,1namedata3,1namedata4,1namedata6,academic_advisors,allegiance,alma_mater,alongside,alongside1,alongside2,alt,attributes,author_abbrev_bot,author_abbrev_zoo,awards,background,bats,battles,bbr,beatified_by,beatified_date,beatified_place,birth_date,birth_name,birth_place,birthname,blank1,body_discovered,branch,burial,burial_date,burial_place,canonized_by,canonized_date,canonized_place,caps1,caps2,caps3,caps4,caps5,caps6,caps7,caption,career_end,career_number,career_position,career_start,child,children,citizenship,club,clubs1,clubs2,clubs3,clubs4,clubs5,clubs6,clubs7,collegeteam,consort,constituency,constituency1,constituency12,constituency13,constituency14,constituency15,constituency2,constituency3,constituency4,constituency5,constituency6,constituency7,constituency8,constituency9,constituency_mp6,constituency_mp9,conviction_status,cor-type,cor-type1,cor-type2,coregency,coronation,coronation1,coronation2,country,criminal_charge,crop_bottom_perc,crop_top_perc,death_cause,death_date,death_place,debut2date,debut2league,debut2team,debut2year,debutdate,debutleague,debutteam,debutyear,denomination,deputy,deputy1,deputy2,deputy3,deputy4,description,desired_width,disappeared_date,disappeared_place,disappeared_status,doctoral_advisor,doctoral_advisors,doctoral_students,draft_pick,draft_round,draft_team,draft_year,dynasty,education,embed,employer,era,ethnicity,eva_time,evas,event,family,father,feast_day,field,fields,filename,finaldate,finalleague,finalteam,finalyear,footnotes,full name,full_name,fullname,genre,genres,goals1,goals2,goals3,goals4,goals5,goals6,goals7,governor3,governor4,governor_general,governor_general3,hangul,hanja,height,height_footnote,height_ft,height_in,high_school,highestranking,highlights,hof_player,hofdate,hoflink,hoftype,hofvote,honorific suffix,honorific-prefix,honorific-suffix,honorific_prefix,honorific_suffix,honours,horus,house,house-type,image,image_alt,image_size,image_upright,imagesize,influenced,influences,insignia,institute,ipa,ism,ism-ar,issue,issue-link,issue-pipe,issues,j,jr/sr1,jr/sr2,known for,known_for,kunya,kunya-ar,label_name,language,laqab,laqab-ar,last,leader1,leader3,leader4,leader5,leader8,main_interests,major_shrine,majority,majority2,majority3,majority4,majority6,managerclubs1,managerclubs2,managerclubs3,managerclubs4,managerclubs5,managerclubs6,managerclubs7,managerclubs8,manageryears1,manageryears2,manageryears3,manageryears4,manageryears5,manageryears6,manageryears7,manageryears8,medaltemplates,mission,missions,module,module2,monarch,monarch1,monuments,moretext,mother,movement,name,nasab,nasab-ar,national_team,nationalcaps1,nationalcaps2,nationalgoals1,nationalgoals2,nationality,nationalteam1,nationalteam2,nationalyears1,nationalyears2,native_name,native_name_lang,nickname,nisbah,nisbah-ar,nocat_wdimage,nomen,notable_ideas,notable_students,notable_works,notablework,notableworks,occupation,office,office1,office10,office11,office12,office15,office2,office3,office4,office5,office6,office7,office8,office9,olympics,order,order1,order2,order3,order4,order5,order6,order9,organisation,organization,other names,other_names,otherparty,p,parents,parliament6,parliament9,partner,party,patronage,patrons,pb,period,place of burial,portaldisp,pos,position,posthumous name,posthumous_name,pre-type2,predecessor,predecessor1,predecessor10,predecessor11,predecessor12,predecessor13,predecessor14,predecessor2,predecessor3,predecessor4,predecessor5,predecessor6,predecessor7,predecessor8,predecessor9,premier,premier1,president,president1,president11,president2,president3,president6,president7,primeminister,primeminister1,primeminister10,primeminister2,primeminister3,primeminister4,primeminister5,primeminister6,primeminister7,primeminister8,primeminister9,prizes,profession,pronunciation,pseudonym,rank,reg-type,regent,region,regnal name,reign,reign-type,reign-type1,reign-type2,reign-type3,reign1,reign2,reign3,relations,relatives,religion,residence,resting place,resting_place,resting_place_coordinates,restingplace,retired,retirement,role,s,school_tradition,selection,serviceyears,show-medals,signature,signature_alt,signature_size,sport,spouse,spouses,stat1label,stat1value,stat2label,stat2value,stat3label,stat3value,state,state1,state2,statleague,status,status9,style,subject,subjects,suboffice10,suboffice11,suboffice12,suboffice13,suboffice14,suboffice7,suboffice8,suboffice9,subterm10,subterm11,subterm12,subterm13,subterm14,subterm7,subterm8,subterm9,succession,succession1,succession2,succession3,successor,successor1,successor10,successor11,successor12,successor13,successor14,successor2,successor3,successor4,successor5,successor6,successor7,successor8,successor9,t,team1,teams,television,term,term10,term11,term12,term13,term14,term15,term4,term5,term6,term7,term_end,term_end1,term_end10,term_end11,term_end2,term_end3,term_end4,term_end5,term_end6,term_end7,term_end8,term_end9,term_label,term_label1,term_label10,term_label2,term_label3,term_label4,term_start,term_start1,term_start10,term_start11,term_start2,term_start3,term_start4,term_start5,term_start6,term_start7,term_start8,term_start9,thesis_title,thesis_url,thesis_year,throws,time,title,title7,titles,titlestyle,totalcaps,totalgoals,training,trial,type,unit,venerated_in,vicepresident,vicepresident1,vicepresident3,website,weight,weight_lb,work_institution,work_institutions,workplaces,works,years active,years1,years2,years3,years4,years5,years6,years7,years_active,youthclubs1,youthclubs2,youthyears1,youthyears2,{{marriage|albert price|1939|1943|end,{{marriage|herbert sheen|1927|1931|end,{{marriage|james howell pitts|1944|1944|end,{{tlit|zh|[[tan yankai]]|i,{{tlit|zh|t. v. soong|i
,,,,,,,,,,,,,,,,,,Eleanor's tomb effigy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Tomb effigy]] at [[Fontevraud Abbey]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Coronation of the French monarch|Coronation]],[[Coronation of the British monarch|Coronation]],,,25 December 1137,19 December 1154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Church of Fontevraud Abbey Eleanor of Aquitaine effigy.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eleanor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[William X, Duke of Aquitaine|William X]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Co-rulers,"{{plain list| *[[Louis VII of France|Louis]] (1137–1152) *[[Henry II of England|Henry]] (1152–1189) *[[Richard I of England|Richard]] (1189–1199) *[[John, King of England|John]] (1199–1204)}}",,,9 April 1137&nbsp;– 1 April 1204,,Tenure,Tenure,,1 August 1137&nbsp;– 21 March 1152,19 December 1154&nbsp;– 6 July 1189,,,,,,,,,,,,,,,,,,,,,,,{{indented plainlist| * {{marriage|[[Louis VII of France]]|1137|1152|end=annulled}} * {{marriage|[[Henry II of England]]|1152|1189|end=died}} }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Duchess of Aquitaine]],[[Queen consort of France|Queen consort of the Franks]],[[Queen consort of England]],,"[[John, King of England|John]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{birth date|1821|2|3|df=yes}},,"[[Bristol]], England",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{death date and age|df=yes|1910|5|31|1821|2|3}},"[[Hastings]], England",,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Geneva Medical College]] }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elizabeth Blackwell.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elizabeth Blackwell,,,,,,,,British and American,,,,,,,,,,,,,,,,,{{unbulleted list|Physician}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[[Tom McMillen]]<ref>{{Cite web |author=Office of Disease Prevention and Health Promotion |title=History of the Council |url=https://health.gov/our-work/nutrition-physical-activity/presidents-council/history-council#WJC |publisher=[[Department of Health and Human Services]] |access-date=November 15, 2021 |date=August 24, 2021 |website=health.gov}}</ref>",,,,,,,,,,,,,,,"{{birth date|1959|12|21}}<ref name=""sports-reference.com""/>",Florence Delorez Griffith<ref name=AA/>,"[[Los Angeles, California]], U.S.<ref name=""sports-reference.com""/>",,,,,,,,,,,,,,,,,,Griffith Joyner in 1988,,,,,,,,Tiger World Class Athletic Club<br/>West Coast Athletic Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{death date and age|1998|9|21|1959|12|21}}<ref name=""sports-reference.com""/>","[[Mission Viejo, California]], U.S.<ref name=""sports-reference.com""/>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,"[[100 meters]], [[200 meters]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5 ft 7 in<ref name=""sports-reference.com"">{{cite Sports-Reference |title=Florence Griffith Joyner |url=https://www.sports-reference.com/olympics/athletes/gr/florence-griffith-joyner-1.html |archive-url=https://web.archive.org/web/20200417040709/https://www.sports-reference.com/olympics/athletes/gr/florence-griffith-joyner-1.html |url-status=dead |archive-date=April 17, 2020 |access-date=October 28, 2020}}</ref>",,,,,,,,,,,,,,,,,,,,,Florence Griffith Joyner2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Medal|Sport|Women's [[Sport of athletics|athletics]]}} {{MedalCountry | the {{USA}} }} {{MedalOlympic}} {{MedalGold |[[1988 Summer Olympics|1988 Seoul]] | [[Athletics at the 1988 Summer Olympics – Women's 100 metres|100 m]]}} {{MedalGold |1988 Seoul | [[Athletics at the 1988 Summer Olympics – Women's 200 metres|200 m]]}} {{MedalGold |1988 Seoul | [[Athletics at the 1988 Summer Olympics – Women's 4 × 100 metres relay|4 × 100 m]]}} {{MedalSilver |[[1984 Summer Olympics|1984 Los Angeles]] | [[Athletics at the 1984 Summer Olympics – Women's 200 metres|200 m]]}} {{MedalSilver |1988 Seoul | [[Athletics at the 1988 Summer Olympics – Women's 4 × 400 metres relay|4 × 400 m]]}} {{MedalCompetition|[[IAAF World Championships in Athletics|World Championships]]}} {{MedalGold |[[1987 World Championships in Athletics|1987 Rome]]|[[1987 World Championships in Athletics – Women's 4 × 100 metres relay|4 × 100 m]]}} {{MedalSilver|1987 Rome|[[1987 World Championships in Athletics – Women's 200 metres|200 m]]}} }},,,{{Infobox sportsperson,,,,,,,,Florence Griffith Joyner,,,{{USA}},,,,,,,,,,,,"Flo-Jo<ref name=""sports-reference.com""/>",,,,,,,,,,,"Co-chair of the [[President's Council on Fitness, Sports, and Nutrition|President's Council on Physical Fitness and Sports]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'''100 m''': 10.49 '''[[List of world records in athletics|WR]]'''{{refn|group=note|name=10.49}}<br/>'''200 m''': 21.34 '''[[List of world records in athletics|WR]]'''<br/>'''400 m''': 50.89<br/>'''4 × 100 m''': 41.55<br/>'''4 × 400 m''': 3:15.51 '''[[List of North American records in athletics#Women|AR]]''',,,,,,,,,[[Arnold Schwarzenegger]] (as chairman),,,,,,,,,,,,,,,,,[[Bill Clinton]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"El Toro Memorial Park, [[Lake Forest, California]], U.S.",,,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Lee Haney]] (as chair),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,,,,,,,,,,,,,,,,,,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"126 lb<ref name=""sports-reference.com""/>",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{birth date|1874|2|3}},,"{{nowrap|[[Allegheny, Pennsylvania]], U.S.}}",,,,,,,,,,,,,,,,,,"Portrait by [[Carl Van Vechten]], 1935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{death date and age|1946|7|27|1874|2|3}},"[[Neuilly-sur-Seine]], France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gertrude Stein 1935-01-04.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gertrude Stein,,,,,,,,,,,,,,,,,,,,,,,,,{{flatlist| * Writer * poet * novelist * playwright * art collector }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kelly in 1953,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grace Kelly30419.jpg,,,,,,,,,,,,"{{plainlist| * [[Caroline, Princess of Hanover]] * [[Albert II, Prince of Monaco]] * [[Princess Stéphanie of Monaco|Princess Stéphanie]] }}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grace Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{daterangedash|18 April 1956|14 September 1982|mdy}},,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{marriage|[[Rainier III, Prince of Monaco]]|1956}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Princess consort of Monaco]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,United States,,,,,,,,,"[[Presidential Medal of Freedom]] (2009, posthumously)",,,,,,,,{{birth date|1930|05|22}},Harvey Bernard Milk,"[[Woodmere, New York]], U.S.",,,,[[United States Navy]],,,,,,,,,,,,,,Milk in June 1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Assassinations of George Moscone and Harvey Milk|Assassination]],{{nowrap|{{death date and age|1978|11|27|1930|05|22}}}},"San Francisco, California, U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[State University of New York, Albany]] ([[Bachelor of Arts|BA]])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Harvey Milk at Gay Pride San Jose, June 1978 (cropped).jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harvey Milk,,,,,,,,,,,,,,,,,,,,,,,,,,[[Members of the San Francisco Board of Supervisors|Member of the <br />San Francisco Board of Supervisors]]<br />from the 5th district,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Republican Party (United States)|Republican]] (before 1972)<ref>{{Cite web |url=http://www.safeschoolscoalition.org/HarveyMilkDay/Biography.html |title=Harvey Milk Biography – California Safe Schools Coalition and Friends – Safe Schools Coalition |website=www.safeschoolscoalition.org |access-date=April 14, 2018 |archive-date=March 30, 2018 |archive-url=https://web.archive.org/web/20180330122849/http://www.safeschoolscoalition.org/HarveyMilkDay/Biography.html |url-status=dead }}</ref>",,,,,,[[Democratic Party (United States)|Democratic]] (from 1972),,,,,,,,,,,,Constituency established,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Lieutenant (junior grade)]],,,,,,,,,,,,,,[[Stuart Milk]] (nephew),,,,,,,,,,,,,1951–1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Harry Britt]],,,,,,,,,,,,,,,,,,,{{Start and end dates|1978|01|08|1978|11|27}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[USS Kittiwake (ASR-13)|USS ''Kittiwake'' (ASR-13)]] }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"[[University of Bonn|Bonn]], [[Humboldt University of Berlin|Berlin]], [[University of Göttingen|Göttingen]] ([[Doctor of Law#Germany|PhD]])",,,,,,,,,,,,,,,,{{Birth date|1797|12|13|df=y}},Harry Heine,"[[Düsseldorf]], Duchy of Berg, Holy Roman Empire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Death date and age|1856|2|17|1797|12|13|df=y}},"Paris, [[Second French Empire]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heinrich Heine-Oppenheim.jpg,,,,}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Romanticism]],Heinrich Heine,,,,,,,,German,,,,,,,,,,,,,,,,{{plainlist| *''[[:de:Buch der Lieder (Heine)|Buch der Lieder]]'' *''Reisebilder'' *''[[Germany. A Winter's Tale]]'' *''Atta Troll'' *''Romanzero''}},"Poet, essayist, journalist, literary critic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{plainlist| *[[Salomon Heine]] (uncle) *[[Gustav Heine von Geldern|Gustav Heine]] (brother) *[[Karl Marx]] (3rd cousin)}},,,,,,,,,,,,,,,Heinrich Heine signature.svg,,,,{{Marriage|Mathilde Heine|1841}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,A black-and-white photo of Lacks smiling,,,,,,,,,,,,{{birth date|1920|8|1}},Loretta Pleasant,"[[Roanoke, Virginia]], U.S.",,,,,,,,,,,,,,,,,,"Lacks {{circa|1945–1951}}.{{efn-ua|This photo is one of the few known photos of Lacks. It was printed in medical literature, its origin is unknown.{{sfn|Skloot|2010|p=1}}}}",,,,,,5 }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Cervical cancer]],{{death date and age|1951|10|4|1920|8|1}},"[[Baltimore]], Maryland, U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{approx.|{{cvt|5|ft|cm}}}}{{sfn|Skloot|2010|page=2}},,,,,,,,,,,,,,,,,,,,,Henrietta Lacks (1920-1951).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Henrietta Lacks Health and Bioscience High School]]; [[historical marker]] at [[Clover, Virginia]]",,,,Henrietta Lacks,,,,,,,,,,,,,,,,,,,,,,,,,"{{hlist|[[Housewife]]|[[tobacco farmer]]<ref name=""vpbio"" />{{sfn|Skloot|2010|page=16}}}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{marriage|David Lacks|1941}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{birth date|df=y|1877|7|2}},,"[[Calw]], [[Kingdom of Württemberg]], German Empire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{death date and age|df=y|1962|8|9|1877|7|2}},"[[Montagnola]], Ticino, Switzerland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hermann Hesse 2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hermann Hesse,,,,,,,,,,,,,,,,,,,,,,,,{{plainlist| * ''[[The Glass Bead Game]]'' (1943) *  ''[[Siddhartha (novel)|Siddhartha]]'' (1922) *  ''[[Steppenwolf (novel)|Steppenwolf]]'' (1927) *  ''[[Narcissus and Goldmund]]'' (1930) *  ''[[Demian]]'' (1919) }},{{cslist|Novelist|short story author|essayist|poet|painter}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cimitero di S. Abbondio, Gentilino, Ticino",,,,,,,,,,,Hesse Signature.svg,Signature of Hermann Karl Hesse,,,{{marriage|Maria Bernoulli|1904|1923}} {{marriage|Ruth Wenger|1924|1927}} {{marriage|[[Ninon Hesse]]|1931|1962}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,[[University of Munich]]<br />[[University of Göttingen]],,,,,,,,"[[Fellow of the Royal Society]]<ref name=""frs"">{{Cite journal | last1 = Newman | first1 = M. H. A. | author-link = Max Newman| doi = 10.1098/rsbm.1957.0021 | title = Hermann Weyl. 1885-1955 | journal = [[Biographical Memoirs of Fellows of the Royal Society]] | volume = 3 | pages = 305–328 | year = 1957 | doi-access = free }}</ref> <br/>[[Lobachevsky Prize]] (1927)<br/> [[Josiah Willard Gibbs Lectureship|Gibbs Lecture]] (1948)",,,,,,,,{{Birth date|1885|11|9|df=y}},Hermann Klaus Hugo Weyl,"[[Elmshorn]], [[German Empire]]",,,,,,,,,,,,,,,,,,,,,,,,[[Fritz Joachim Weyl]] (1915–1977)<br />Michael Weyl (1917–2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Death date and age|1955|12|8|1885|11|9|df=y}},"[[Zürich]], [[Switzerland]]",,,,,,,,,,,,,,,,,,,,[[David Hilbert]]<ref>{{Cite journal | last1 = Weyl | first1 = H. | author-link = Hermann Weyl| title = David Hilbert. 1862-1943 | doi = 10.1098/rsbm.1944.0006 | journal = [[Obituary Notices of Fellows of the Royal Society]] | volume = 4 | issue = 13 | pages = 547–553| year = 1944 | s2cid = 161435959 }}</ref>,,{{ublist|[[Alexander Weinstein]]|[[Julius Adams Stratton]]}},,,,,,,,,,,,,,,,,,"[[Pure mathematics]], [[mathematical physics]], [[foundations of mathematics]]",,,,,,}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{post-nominals|post-noms=[[Foreign Member of the Royal Society|ForMemRS]]}}<ref name=""frs""/>",,,,,Hermann_Weyl_ETH-Bib_Portr_00890.jpg,,,,,,,,,,,,,,,,,,,,"[[List of topics named after Hermann Weyl]]<br />[[Ontic structural realism]]<ref>[http://plato.stanford.edu/entries/structural-realism/#Rel ""Structural Realism""]: entry by James Ladyman in the ''[[Stanford Encyclopedia of Philosophy]]''.</ref><br />[[Wormhole]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hermann Weyl,,,,,,,,,,,,,,,,,,,,,[[Saunders Mac Lane]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hermann Weyl signature.svg,,,,,"Friederike Bertha Helene Joseph (nickname ""Hella"") (m. 1893; died 1948)<br />Ellen Bär (née Lohnstein) (m. 1950)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Singuläre Integralgleichungen mit besonder Berücksichtigung des Fourierschen Integraltheorems,https://jscholarship.library.jhu.edu/bitstream/handle/1774.2/34190/31151014634046.pdf.,1908,,,,,,,,,,,,,,,,,,,,,,[[Institute for Advanced Study]]<br />[[University of Göttingen]]<br />[[ETH Zürich]],,,,,,,,,,,,,,,,,,,
