1blankname,1namedata,allegiance,alma_mater,alongside,alongside1,alongside2,alt,associated_acts,awards,background,battles,battles_label,birth_date,birth_name,birth_place,branch,burial_place,caps1,caps10,caps11,caps12,caps13,caps14,caps15,caps16,caps17,caps18,caps2,caps3,caps4,caps5,caps6,caps7,caps8,caps9,caption,children,club-update,clubnumber,clubs1,clubs10,clubs11,clubs12,clubs13,clubs14,clubs15,clubs16,clubs17,clubs18,clubs2,clubs3,clubs4,clubs5,clubs6,clubs7,clubs8,clubs9,commands,country,currentclub,death_date,death_place,deputy1,draws,fideid,full_name,fullname,genre,goals1,goals10,goals11,goals12,goals13,goals14,goals15,goals16,goals17,goals18,goals2,goals3,goals4,goals5,goals6,goals7,goals8,goals9,height,honorific_prefix,honorific_suffix,image,image_size,imagesize,influenced,influences,ko,label,laterwork,losses,managerclubs1,managerclubs2,managerclubs3,managerclubs4,managerclubs5,managerclubs6,managerclubs7,manageryears1,manageryears2,manageryears3,manageryears4,manageryears5,manageryears6,manageryears7,medaltemplates,memorials,module,monuments,movement,name,nationalcaps1,nationalcaps2,nationalcaps3,nationalcaps4,nationalcaps5,nationalgoals1,nationalgoals2,nationalgoals3,nationalgoals4,nationalgoals5,nationality,nationalteam-update,nationalteam1,nationalteam2,nationalteam3,nationalteam4,nationalteam5,nationalyears1,nationalyears2,nationalyears3,nationalyears4,nationalyears5,native_name,native_name_lang,nickname,no contests,ntupdate,occupation,office,office1,office3,order,origin,otherparty,party,pcupdate,peakranking,peakrating,placeofburial,placeofburial_coordinates,placeofburial_label,position,predecessor,predecessor1,predecessor2,predecessor3,president,president1,primeminister,primeminister1,primeminister2,rank,reach,realname,reign,reign1,reign2,reign3,relations,residence,resting_place,servicenumber,serviceyears,signature,spouse,spouse-type,spouses,style,succession,succession1,succession2,succession3,successor,successor1,successor2,successor3,successor5,term_end,term_end1,term_end2,term_end3,term_start,term_start1,term_start2,term_start3,title,total,totalcaps,totalgoals,unit,upright,website,weight,wins,years1,years10,years11,years12,years13,years14,years15,years16,years17,years18,years2,years3,years4,years5,years6,years7,years8,years9,years_active,youthclubs1,youthclubs2,youthclubs3,youthyears1,youthyears2,youthyears3,youthyears4
,,,,,,,,,,,,,{{birth date and age|df=yes|1987|11|25}},,"[[Namangan]], [[Uzbek Soviet Socialist Republic|Uzbek SSR]], [[Soviet Union]]",,,86,,,,,,,,,,22,64,67,64,5,7,,,Akhmedov with [[Uzbekistan national football team|Uzbekistan]] in 2019,,,,[[Pakhtakor Tashkent FK|Pakhtakor Tashkent]],,,,,,,,,,→ [[FC Anzhi Makhachkala|Anzhi Makhachkala]] (loan),[[FC Anzhi Makhachkala|Anzhi Makhachkala]],[[FC Krasnodar|Krasnodar]],[[Shanghai SIPG F.C.|Shanghai SIPG]],→ [[Tianjin TEDA F.C.|Tianjin TEDA]] (loan),[[Cangzhou Mighty Lions F.C.|Cangzhou Mighty Lions]],,,,,,,,,,,,Odil Alimzhanovich Akhmedov,,35,,,,,,,,,,0,3,5,9,0,0,,,1.80 m<ref>{{Cite web |title=Odil Akhmedov. FC Krasnodar Official site |url=https://fckrasnodar.ru/en/team/squad/player/?person_id=55945 |access-date=2025-07-29 |website=fckrasnodar.ru}}</ref>,,,Akhmedov with (National team) in 2019 (cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odil Akhmedov <br>{{small|Одил Ахмедов}},108,,,,,21,,,,,,,[[Uzbekistan national football team|Uzbekistan]],,,,,2007–2021,,,,,,,,,15 June 2021 }},,,,,,,,,26 December 2021,,,,,,Midfielder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311,52,,,,,,2006–2011,,,,,,,,,,2011,2011–2014,2014–2017,2017–2021,2020,2021,,,,,,,,,,
,,,,,,,,,,,,,30 January 1986,,"[[Panjakent]], [[Tajik SSR]], [[Soviet Union]] (present [[Tajikistan]])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Folk,,,,,,,,,,,,,,,,,,,,,,Нигина Амонқулова.JPG,,,,,,Qiam Entertainment }},,,,,,,,,,,,,,,,,,,,,,Nigina Amonkulova,,,,,,,,,,,,,,,,,,,,,,,Нигина Амонқулова,tj,,,,Singer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008–present,,,,,,,
,,,,,,,,,,,,,{{Birth date and age|df=y|1986|10|21}},,"[[Tashkent]], [[Uzbek SSR]], [[USSR]]",,,,,,,,,,,,,,,,,,,,,Munisa in 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{flatlist| *[[Pop music|Pop]] *[[Uzbek music]] }},,,,,,,,,,,,,,,,,,,,,,Munisa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,Munisa Rizayeva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,{{birth date and age|mf=yes|1963|12|12}},Yulduz Ibrahimovna Usmonova,"{{nowrap|[[Margilan]], [[Uzbek Soviet Socialist Republic|Uzbek SSR]], [[Soviet Union|USSR]]}}",,,,,,,,,,,,,,,,,,,,,"Yulduz Usmonova presenting her new program in Dushanbe Amphitheater, 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,File:Yulduz Ibragimovna Usmonova.jpg,225px,,,,,,,,,,,,,,,,,,,,,,,,,,,Yulduz Usmonova,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{flatlist| *Singer *actress *song writer composer }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,solo_singer,,,{{Birth date and age|df=yes|1976|12|23}},,,,,,,,,,,,,,,,,,,,,,,Sevara Nazarkhan (2006),,,,,,,,,,,,,,,,,,,,,,,,,{{Death date and age|YYYY|MM|DD|YYYY|MM|DD}},,,,,,,[[Uzbek music]],,,,,,,,,,,,,,,,,,,,,,Sevara Nazarkhan Realworld Party 2006 (cropped).jpg,,,,,,"[[Real World Records]], Sevaramusic",,,,,,,,,,,,,,,,,,,,,,Sevara Nazarkhan,,,,,,,,,,,,,,,,,,,,,,,Sevara Nazarxonova Anvarjonovna,,,,,"Singer, songwriter, musician",,,,,"[[Asaka, Uzbekistan|Asaka]], [[Uzbek SSR]], [[USSR]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{url|www.sevaramusic.com}} }},,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,{{birth date and age|1985|7|8|df=yes}},,"[[Toshkent]], [[Uzbek SSR]], [[Soviet Union]]",,,19,,,,,,,,,,143,123,19,12,7,,,,,,,,[[PFC Lokomotiv Tashkent|Lokomotiv Tashkent]],,,,,,,,,,[[FC Bunyodkor|Bunyodkor]],[[Al Shabab (Dubai)|Al Shabab]],[[Ajman Club|Ajman]],[[FC Bunyodkor|Bunyodkor]],[[PFC Lokomotiv Tashkent|Lokomotiv Tashkent]] }},,,,,,[[PFC Lokomotiv Tashkent|Lokomotiv Tashkent]],,,,,,,Azizbek Haydarov,,2,,,,,,,,,,8,13,0,3,0,,,,{{height|m=1.82|precision=0}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azizbek Haydarov,86,,,,,2,,,,,,,[[Uzbekistan national football team|Uzbekistan]],,,,,2007–2018,,,,,,,,,21 January 2019,,,,,,,,,3 March 2019,,,,,,[[Midfielder (association football)|Defensive Midfielder]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004&ndash;2007,,,,,,,,,,2007&ndash;2011,2011&ndash;2017,2017&ndash;2018,2018,2019,,,,,,,,,,,
,,,,,,,,,,,,,{{Birth date and age|1970|9|17|df=y}},,"[[Tashkent]], [[Uzbek SSR]], [[Soviet Union]]",,,1,45,,21,24,21,,,,,22,1,96,25,21,64,33,12,Qosimov in 2022,,,,[[FC FShM Moscow|FShM Moscow]],[[PFC Krylia Sovetov Samara|Krylia Sovetov Samara]],[[Al Shabab Al Arabi Club Dubai|Al-Shabab Dubai]],[[Pakhtakor Tashkent FK|Pakhtakor Tashkent]],[[FC Spartak Vladikavkaz|Alania Vladikavkaz]],[[FK Mash'al Mubarek|Mash'al Mubarek]],,,,,[[Pakhtakor Tashkent FK|Pakhtakor Tashkent]],[[FC Dinamo Minsk|Dinamo Minsk]],[[Pakhtakor Tashkent FK|Pakhtakor Tashkent]],[[FC Spartak Vladikavkaz|Spartak Vladikavkaz]],[[Pakhtakor Tashkent FK|Pakhtakor Tashkent]],[[FC Spartak Vladikavkaz|Alania Vladikavkaz]],[[Pakhtakor Tashkent FK|Pakhtakor Tashkent]],[[FC Spartak Vladikavkaz|Alania Vladikavkaz]],,,[[FC AGMK|AGMK]] (manager),,,,,,,Mirjalol Kushakovich Qosimov,,0,6,4,12,3,6,,,,,1,0,12,3,12,25,28,2,{{height|m=1.74}},,,Fayzullaev Kasymov Fayziev (Mirjalol Qosimov).jpg,,,,,,,,,[[FC Bunyodkor|Bunyodkor]],[[Uzbekistan national football team|Uzbekistan]],[[FC Bunyodkor|Bunyodkor]],[[Uzbekistan national football team|Uzbekistan]],[[FC Bunyodkor|Bunyodkor]],[[FC AGMK|AGMK]] }},,2007–2008,2008–2010,2010–2014,2012–2015,2017–2018,2019–,,,,,,,Mirjalol Qosimov,31,3,67,,,3,0,31,,,,,[[Soviet Union national under-18 football team|Soviet Union U18]],[[Soviet Union national under-21 football team|Soviet Union U21]],[[Uzbekistan national football team|Uzbekistan]],,,1986–1987,1990–1991,1992–2005,,,,,,,,,,,,,,,,,,,,,,[[Midfielder]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986,2000–2001,2002,2002–2003,2003–2004,2005,,,,,1987–1988,1988,1988–1991,1992,1993,1994–1996,1997–1999,1999,,[[Pakhtakor Tashkent FK|Pakhtakor Tashkent]],,,,,,
,,,,,,,,,,,,,"{{birth date and age|1993|9|1|df=yes}}<ref name=""FIFA U-20 2013""/>",,"[[Urgench]], Uzbekistan",,,141,,,,,,,,,,27,40,12,7,38,,,,Masharipov with [[Esteghlal F.C.|Esteghlal]] in 2024,,,77,[[Pakhtakor Tashkent FK|Pakhtakor]],,,,,,,,,,→ [[Lokomotiv Tashkent FK|Lokomotiv Tashkent]] (loan),[[Al Nassr FC|Al Nassr]],→ [[Shabab Al-Ahli Club|Shabab Al-Ahli]] (loan),[[Panserraikos F.C.|Panserraikos]],[[Esteghlal F.C.|Esteghlal]],,,,,,[[Esteghlal F.C.|Esteghlal]],,,,,,"Jaloliddin Masharipov<ref name=""FIFA U-20 2013"">{{cite web |url=http://www.fifadata.com/document/FWYC/2013/pdf/FWYC_2013_SquadLists.pdf |title=FIFA U-20 World Cup Turkey 2013 List of Players: Uzbekistan |work=FIFA.com |page=24 |publisher=Fédération Internationale de Football Association |date=23 June 2013 |archive-url=https://web.archive.org/web/20130627043508/http://www.fifadata.com/document/FWYC/2013/pdf/FWYC_2013_SquadLists.pdf |archive-date=27 June 2013 |url-status=dead}}</ref>",,,24,,,,,,,,,,6,2,2,0,3,,,,1.72 m,,,"Esteghlal FC vs Al-Gharafa FC, 16 September 2024 - 06 (Masharipov).jpg",,,,,,,,,,,,,,,,,,,,,,,{{MedalCountry|{{fb|UZB}}}} {{Medal|Competition|[[CAFA Nations Cup]]}} {{Medal|RU|[[2023 CAFA Nations Cup|2023 Kyrgyzstan–Uzbekistan]]|[[2023 CAFA Nations Cup squads#Uzbekistan|Team]]}},,,,,{{plainlist| *Jaloliddin Masharipov *Джалолиддин Машарипов}},9,12,73,,,0,3,12,,,,,[[Uzbekistan national under-20 football team|Uzbekistan U20]],[[Uzbekistan national under-23 football team|Uzbekistan U23]],[[Uzbekistan national football team|Uzbekistan]],,,2013,2018,2016–,,,,,,,10 June 2025,,,,,,,,,15 May 2025,,,,,,[[Winger (association football)|Winger]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,}},,,,2013–2020,,,,,,,,,,2017,2021–2023,2021,2023–2024,2024–,,,,,,,,,,,
,,,,,,,,,,,,,{{birth date and age|1996|02|13|df=yes}},,"Shorqorgon, [[Namangan Region]], [[Uzbekistan]]",,,70,,,,,,,,,,41,8,56,23,0,1,,,,,,5,[[FC Nasaf|Nasaf]],,,,,,,,,,[[Pakhtakor Tashkent FK|Pakhtakor]],[[Shabab Al-Ahli Club|Shabab Al-Ahli]],[[Pakhtakor Tashkent FK|Pakhtakor]],[[PFC Navbahor Namangan|Navbahor]],[[Bunyodkor]],[[Tractor S.C.]],,,,,[[Tractor S.C.]],,,,,,,Odiljon Hamrobekov,,2,,,,,,,,,,0,0,1,1,0,0,,,1.78 m,,,Odiljon Hamrobekov 2020.jpg,,,,,,,,,,,,,,,,,,,,,,,{{MedalCountry|{{fb|UZB}}}} {{Medal|Competition|[[CAFA Nations Cup]]}} {{Medal|RU|[[2023 CAFA Nations Cup|2023 Kyrgyzstan–Uzbekistan]]|[[2023 CAFA Nations Cup squads#Uzbekistan|Team]]}} {{Medal|W|[[2025 CAFA Nations Cup|2025 Tajikistan–Uzbekistan]]|[[2025 CAFA Nations Cup squads#Uzbekistan|Team]]}},,,,,Odiljon Hamrobekov,4,7,14,62,,0,0,0,1,,,,[[Uzbekistan national under-17 football team|Uzbekistan U-17]],[[Uzbekistan national under-19 football team|Uzbekistan U-19]],[[Uzbekistan national under-23 football team|Uzbekistan U-23]],[[Uzbekistan national football team|Uzbekistan]],,2013,2014–2015,2017–2018,2017–,,,,,,19 November 2024 }},,,,,,,,,1 December 2024,,,,,,[[Midfielder]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013–2018,,,,,,,,,,2019–2020,2021,2021–2023,2024,2025,2025–,,,,,,,,,,
,,,,,,,,,,,,,{{birth date and age|1996|7|24|df=yes}},,"[[Bekabad]], [[Uzbekistan]]",,,93 <!--- league appearances only --->,,,,,,,,,,9,48,2,10,37,7,,,Khamdamov with [[FC Anzhi Makhachkala|Anzhi Makhachkala]] in 2018,,,17,[[FC Bunyodkor|Bunyodkor]],,,,,,,,,,[[FC Anzhi Makhachkala|Anzhi Makhachkala]],[[Pakhtakor Tashkent FK|Pakhtakor]],[[Al-Nasr SC (Dubai)|Al-Nasr]],→ [[Hatta Club|Hatta]] (loan),[[Pakhtakor Tashkent FK|Pakhtakor]],→ [[Al-Sailiya SC|Al-Sailiya]] (loan),,,,,[[Pakhtakor Tashkent FK|Pakhtakor]],,,,,,,"Dostonbek Khurshid o'g'li Khamdamov<ref name=""RFPLregistration"">{{RPL player|Hamdamov-Dostonbek}}</ref>",,37 <!--- league goals only --->,,,,,,,,,,0,16,0,0,4,1,,,{{convert|1.78|m|ftin|0|abbr=on}},,,Dostonbek Khamdamov 2018.jpg,,,,,,,,,,,,,,,,,,,,,,,{{MedalCountry | {{UZB}} }} {{MedalSport  | Men's [[Association football|football]]}}{{MedalCompetition|[[AFC U-16 Championship]]}} {{MedalGold|[[2012 AFC U-16 Championship|2012 Iran]]|[[2012 AFC U-16 Championship squads#Uzbekistan|Team]]}} {{MedalCompetition|[[AFC U-19 Championship]]}} {{MedalBronze|[[2014 AFC U-19 Championship|2014 Myanmar]]|[[2014 AFC U-19 Championship squads#Uzbekistan|Team]]}} {{MedalCompetition|[[AFC U-23 Championship]]}} {{MedalGold|[[2018 AFC U-23 Championship|2018 China]]|[[2018 AFC U-23 Championship squads#Uzbekistan|Team]]}} }},,,,,Dostonbek Khamdamov <br>{{small| Достонбек Хамдамов}},4,5,4,12,33,0,1,3,4,5,,,[[Uzbekistan national under-17 football team|Uzbekistan U17]],[[Uzbekistan national under-19 football team|Uzbekistan U19]],[[Uzbekistan national under-20 football team|Uzbekistan U20]],[[Uzbekistan national under-23 football team|Uzbekistan U23]],[[Uzbekistan national football team|Uzbekistan]],2013,2014,2014–2015,2015–2018,2015–,,,,,"08:04, 20 November 2022 (UTC)",,,,,,,,,"11:42, 19 May 2023 (UTC)",,,,,,[[Midfielder#Winger|Winger]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014–2018,,,,,,,,,,2018–2019,2019–2020,2021,2021,2021–,2022,,,,,,,,,,
,,,,,,,,,,,,,{{birth date and age|1987|2|17|df=yes}},,"[[Bekabad]], [[Uzbek SSR]], [[Soviet Union]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kamoliddin Murzoev,,,,,,,,,,,,,,,,,,,,{{height|m=1.82}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kamoliddin Murzoev,2      | nationalgoals1 = 0,,,,,,,,,,,,,,,,,2006–  | nationalteam1  = [[Uzbekistan national football team|Uzbekistan]],,,,,,,,,}},,,,,,,,,"23:19, 13 May 2019 (UTC)",,,,,,[[Forward (association football)|Forward]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004–2006 | clubs1 = [[Metallurg Bekabad]]                        | caps1 = 32 | goals1 = 20,2015      | clubs10= [[FC AGMK|AGMK]]                             | caps10= 12 | goals10= 3,2015      | clubs11= [[FK Dinamo Samarqand|Dinamo Samarqand]]     | caps11= 13 | goals11= 8,2016      | clubs12= [[FK Buxoro|Buxoro]]                         | caps12= 12 | goals12= 0,2017–2018 | clubs13= [[FC AGMK|AGMK]]                             | caps13= 32 | goals13= 3,,,,,,2006–2008 | clubs2 = [[Mash'al Mubarek]]                          | caps2 = 45 | goals2 = 31,2007      | clubs3 = →[[FC Dynamo-2 Kyiv|Dynamo-2 Kyiv]] (loan)   | caps3 = 9  | goals3 = 1,2009      | clubs4 = [[Nasaf Qarshi]]                             | caps4 = 17 | goals4 = 12,2009      | clubs5 = [[FC Bunyodkor|Bunyodkor]]                   | caps5 = 5  | goals5 = 4,2010      | clubs6 = [[Nasaf Qarshi]]                             | caps6 = 24 | goals6 = 5,2011–2013 | clubs7 = [[FC Bunyodkor|Bunyodkor]]                   | caps7 = 46 | goals7 = 8,2013–2014 | clubs8 = [[FC Irtysh Pavlodar|Irtysh Pavlodar]]       | caps8 = 12 | goals8 = 4,2014      | clubs9 = [[FC Shakhter Karagandy|Shakhter Karagandy]] | caps9 = 22 | goals9 = 0,,,,,| youthclubs1 =,,,
,,,,,,,,,,,,,{{birth date and age|1996|06|22|df=yes}},,"[[Chirakchi]], Uzbekistan",,,4,,,,,,,,,,2,14,53,95,43,12,28,0,Shukurov in 2024,,8 March 2025,63,[[FK Mash'al Mubarek|Mash'al Mubarek]],,,,,,,,,,[[FC Bunyodkor|Bunyodkor]],[[FK Buxoro|Buxoro]],[[FC Bunyodkor|Bunyodkor]],[[Sharjah FC|Sharjah]],[[Fatih Karagümrük S.K.|Fatih Karagümrük]],[[Kayserispor]],[[Al-Fayha FC|Al Fayha]],[[Baniyas Club|Baniyas]],,,[[Baniyas Club|Baniyas]],,,,,,Otabek Gayratovich Shukurov,,,0,,,,,,,,,,0,2,5,10,1,0,0,0,1.82 m,,,Otabek Shukurov.jpg,,,,,,,,,,,,,,,,,,,,,,,{{MedalCountry | {{UZB}} }} {{Medal|Competition|[[CAFA Nations Cup]]}} {{Medal|RU|[[2023 CAFA Nations Cup|2023 Kyrgyzstan–Uzbekistan]]|[[2023 CAFA Nations Cup squads#Uzbekistan|Team]]}} {{Medal|W|[[2025 CAFA Nations Cup|2025 Tajikistan–Uzbekistan]]|[[2025 CAFA Nations Cup squads#Uzbekistan|Team]]}} {{MedalSport  | Men's [[Association football|football]]}}{{MedalCompetition|[[AFC U-16 Championship]]}} {{MedalGold|[[2012 AFC U-16 Championship|2012 Iran]]|[[2012 AFC U-16 Championship squads#Uzbekistan|Team]]}} {{MedalCompetition|[[AFC U-19 Championship]]}} {{MedalBronze|[[2014 AFC U-19 Championship|2014 Myanmar]]|[[2014 AFC U-19 Championship squads#Uzbekistan|Team]]}} {{MedalCompetition|[[AFC U-23 Championship]]}} {{MedalGold|[[2018 AFC U-23 Championship|2018 China]]|[[2018 AFC U-23 Championship squads#Uzbekistan|Team]]}} }},,,,,Otabek Shukurov,4,5,3,75,,0,0,0,8,,,"21:49, 12 April 2025 (UTC)",[[Uzbekistan national under-17 football team|Uzbekistan U17]],[[Uzbekistan national under-20 football team|Uzbekistan U20]],[[Uzbekistan national under-23 football team|Uzbekistan U23]],[[Uzbekistan national football team|Uzbekistan]],,2013,2015,2016,2016–,,,,,,,,,,,,,,,,,,,,,[[Midfielder]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,2015,2015,2016–2018,2018–2022,2022–2023,2024,2024–2025,2025–,,,,,,,,
,,,,,,,,,,,,,{{birth date and age|1978|2|5|df=yes}},,"[[Namangan]], [[Uzbek SSR]], [[Soviet Union]]",,,85,,,,,,,,,,115,52,11,44,42,,,,,,,,[[Navbahor Namangan]],,,,,,,,,,[[Pakhtakor Tashkent]],[[FC Bunyodkor|Bunyodkor]],→ [[Nasaf Qarshi]] (on loan),[[FC Bunyodkor|Bunyodkor]],[[Pakhtakor Tashkent]],,,,,,[[Navbahor Namangan|Navbahor]] (assistant coach),,,,,,,Anvarjon Ahmadjonovich Soliev,,29,,,,,,,,,,60,22,3,15,6,,,,{{convert|1.85|m|ftin|abbr=on}},,,,,,,,,,,,[[Pakhtakor-2]] (assistant),[[Navbahor Namangan]] (assistant),,,,,,2016,2016&ndash;,,,,,,,,,,,Anvarjon Soliev,48,,,,,8,,,,,,,[[Uzbekistan national football team|Uzbekistan]],,,,,2001–2009,,,,,,,,,10 November 2013 }},,,,,,,,,23 November 2016,,,,,,[[Midfielder (football)|Striker]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996–2000,,,,,,,,,,2001–2007,2008–2010,2010,2011–2013,2013–2016,,,,,,,,,,,
,,,,,,,,,,,,,{{birth date and age|df=yes|1988|2|12}},,"[[Dushanbe]], [[Tajik SSR]], [[Soviet Union]]",,,,,,,,,,,,,19,,,20,18,9,,,,,2 August 2021,,[[Hima Dushanbe]],,,,,,,,,,[[FC MIKA|Mika Yerevan]],[[Barki Tajik Dushanbe|Energetik Dushanbe]],[[FC Istiklol|Istiklol]],[[FK Khujand|Khujand]],[[CSKA Pamir Dushanbe]],[[Rahmatganj MFS]],[[CSKA Pamir Dushanbe]],,,,,,,,,,,Dilshod Saidzhonovich Vasiyev,,,,,,,,,,,,2,,55,6,2,2,,,1.70m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dilshod Vasiyev,4,50,,,,1,8,,,,,11 October 2017 }},[[Tajikistan national under-23 football team|Tajikistan U23]],[[Tajikistan national football team|Tajikistan]],,,,2014,2006–,,,,,,,,,,,,,,,,,,,,,,,"[[Midfielder (football)|Attacking midfielder]], [[Forward (football)|striker]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,,,,,,,,,2008,2008,2009–2019,2019,2020,2020–2021,2021,,,,,,,,,
,,,,,,,,,,,,,{{birth date and age|df=yes|1985|11|13}},,"[[Bukhoro]], [[Uzbek SSR]], [[Soviet Union]]",,,,,,,,,,,,,,,,,,,,,,,2 December 2019 (UTC) }},10,,,,,,,,,,,,,,,,,,,,,FK Surkhan,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shavkat Salomov,12      | nationalgoals1 = 1,,,,,,,,,,,,,,,,,2007–2012 | nationalteam1  = [[Uzbekistan national football team|Uzbekistan]],,,,,,,,,,,,,,,,,,,,,,,,[[Midfielder]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000–2006 | clubs1 = [[FK Buxoro|Buxoro]]                             | caps1 = 141 | goals1 = 18,2019–2021 | clubs10= [[Surkhon Termez]]                               | caps10= 47  | goals10= 4,2021–2022 | clubs11= [[FK Buxoro|Buxoro]]                             | caps11=  0  | goals11= 0,2022      | clubs12= [[FC Sogdiana Jizzakh]]                          | caps12= 11  | goals12= 0,,,,,,,2007–2012 | clubs2 = [[FC Bunyodkor|Bunyodkor]]                       | caps2 = 160 | goals2 = 30,2010      | clubs3 = → [[Nasaf Qarshi]] (loan)                        | caps3 = 5   | goals3 = 2,2013      | clubs4 = [[FC Zhetysu|Zhetysu]]                           | caps4 = 27  | goals4 = 3,2014      | clubs5 = [[FC Shakhter Karagandy|Shakhter Karagandy]]     | caps5 = 28  | goals5 = 3,2015      | clubs6 = [[Olmaliq FK|Olmaliq]]                           | caps6 = 29  | goals6 = 8,2016      | clubs7 = [[FK Buxoro|Buxoro]]                             | caps7 = 29  | goals7 = 3,2017      | clubs8 = [[FC Atyrau|Atyrau]]                             | caps8 = 25  | goals8 = 2,2018      | clubs9 = [[FK Buxoro|Buxoro]]                             | caps9 = 27  | goals9 = 3,,,,,| youthclubs1 = [[FC Quruvchi Tashkent|Quruvchi Tashkent]],,,
,,,,,,,,,,,,,{{Birth date and age|1966|4|27|df=y}},,"[[Tashkent]], [[Uzbek SSR]]",,,28,17,28,4,11,20,91,,22,33,0,0,0,124,3,25,12,16,,,,,[[FShM Moscow]],[[MHSK Tashkent]],[[Pahang FA]],[[Navbahor Namangan]],[[FC Dustlik|Politotdel Tashkent]],[[Al-Wahda Mecca]],[[FC Pakhtakor Tashkent|Pakhtakor]],[[Salgaocar SC Goa]],[[FC Pakhtakor Tashkent|Pakhtakor]],[[Dustlik Tashkent]],[[FC Spartak Moscow|Spartak Moscow]],[[SKA Rostov-na-Donu]],[[CSKA Moskva]],[[FC Pakhtakor Tashkent|Pakhtakor]],[[FC Spartak Moscow|Spartak Moscow]],[[Pamir Dushanbe]],[[Mohammedan Sporting Club (Bangladesh)|Mohammedan]],[[Navbahor Namangan]],,,,,,,,,,Azamat Abduraimov,,1,10,14,1,2,10,37,,5,13,0,0,0,25,0,4,17,8,,,,,,,,,,,,,[[NBU Osiyo]],[[Uzbekistan national futsal team|Uzbekistan futsal team]],FC Ardus (futsal),[[FK Samarqand-Dinamo]],[[Uzbekistan national under-23 football team|Uzbekistan U-22]],[[FK Andijan]],[[Uzbekistan national under-17 football team|Uzbekistan U-17]] }},2002–2003,2004,2005,2009–2010,2012,2012–2014,2018–2020,,,,,,Azamat Abduraimov,22,,,,,11,,,,,,,[[Uzbekistan national football team|Uzbekistan]],,,,,1992–1997,,,,,,,,,,,,,,,,,,,,,,,,[[Forward (association football)|Forward]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983–1984,1993,1994–1995,1995,1995,1995–1996,1996–1999,1999–2000,2000,2001,1984–1985,1985,1986,1987–1990,1990,1991,1991–1992,1992–1993,,,,,,,,
