alias,allegiance,alma_mater,alt,appointer,awards,battles,birth_date,birth_name,birth_place,birthname,branch,caps1,caps10,caps11,caps2,caps3,caps4,caps5,caps6,caps7,caps8,caps9,caption,careerhighlights,children,classification,club,club-update,club1,clubnumber,clubs1,clubs10,clubs11,clubs2,clubs3,clubs4,clubs5,clubs6,clubs7,clubs8,clubs9,coach,college,collegeteam,commands,constituency,country,current_team,currentclub,death_date,death_place,debutdate,debutopponent,debutstadium,debutteam,disability_class,doctoral_advisor,draftpick,education,embed,event,father,fideid,field,first,full_name,fullname,games_goals1,genres,goals1,goals10,goals11,goals2,goals3,goals4,goals5,goals6,goals7,goals8,goals9,guernsey,headercolor,height,height_ft,height_in,high_school,highestranking,highlights,honorific-suffix,honours,iccf_peakrating,iccf_rating,image,image_size,imagesize,introducer,known_for,language,last,manageryears1,manageryears2,medaltemplates,module,name,national_team,nationalcaps1,nationalcaps2,nationalcaps3,nationalcaps4,nationalcaps5,nationalgoals1,nationalgoals2,nationalgoals3,nationalgoals4,nationalgoals5,nationality,nationals,nationalteam-update,nationalteam1,nationalteam2,nationalteam3,nationalteam4,nationalteam5,nationalyears1,nationalyears2,nationalyears3,nationalyears4,nationalyears5,native_name,native_name_lang,nickname,nicknames,notable_works,ntupdate,number,occupation,office,office3,olympics,order,organization,originalteam,other_names,otherparty,p,paralympics,partner,party,pastteams,pb,pcupdate,peakranking,peakrating,pfr,portrayer,position,predecessor,predecessor3,primeminister,pseudonym,rank,regionals,relations,relatives,s,series,serviceyears,show-medals,signature,sport,spouse,statsend,status,strokes,successor,successor3,t,term3,term_end,term_start,title,totalcaps,totalgoals,turnedpro,undraftedyear,unit,updated,vicepresident,website,weight,weight_lb,work_institution,works,worlds,years,years1,years10,years11,years2,years3,years4,years5,years6,years7,years8,years9,years_active,yearsactive,youthclubs1,youthclubs2,youthclubs3,youthyears1,youthyears2,youthyears3
,,,,,,,{{Birth date and age|1951|6|27|df=y}},,"[[Västerås]], Sweden",,,,,,,,,,,,,,Andersson in 2008,,,,,,,,,,,,,,,,,,,,,,,,Sweden,,,,,,,,,,,,,,,,1700014 <!-- automatically displays current FIDE rating if 2400+ -->,,,<!-- if different -->,,,,,,,,,,,,,,,,,,,,,,,,,2821 (July 1998) }},[https://www.iccf.com/player?id=450018&tab=3 2737] (April 2004),UlfAndersson.jpg,,,,,,,,,,,Ulf Andersson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No. 4 (January 1983),2655 (January 1997),,,,,,,,,,,,,,,,,,,,,,,,,,,,{{unbulleted list|class=nowrap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,<!-- see WP:ALT -->,,[[List of awards and nominations received by Aamir Khan|Full list]],,{{Birth date and age|1965|03|14|df=y}},Aamir Hussain Khan,"[[Bombay]], [[Maharashtra]], India<!-- See WP:NOTBROKEN. What the place may correspond to on a modern map is a matter for an article's main text, not the infobox. -->",,,,,,,,,,,,,,Khan in 2018,,"3, including [[Junaid Khan (Indian actor)|Junaid Khan]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Narsee Monjee College]],,,[[Tahir Hussain]],,,,,,,,,,,,,,,,,,,,,,,,,,,,{{ubl|[[Padma Shri]] (2003)|[[Padma Bhushan]] (2010)}},,,Aamir Khan at the success bash of Secret Superstar.jpg,,,,,,,,,,,Aamir Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{hlist|Actor|filmmaker}},,,,,{{Ubl | [[Paani Foundation]] | Aamir Khan Productions}},,,,,,,,,,,,,,,,,,,,,,,See [[List of Hindi film families#Khan–Hussain family (of Nasir Hussain)|Khan–Hussain family]],,,,,,,{{unbulleted list|{{marriage|Reena Dutta|18 April 1986|2002|reason=divorced}}|{{marriage|[[Kiran Rao]]|28 December 2005|3 July 2021|reason=divorced}}}},,,,,,,,,,,,,,,,,,<!--{{url|www.aamirkhan.com}}--> }},,,,[[Aamir Khan filmography|Full list]],,,,,,,,,,,,,,1973–present,,,,,,,
,,,,,,,{{Birth date and age|1988|8|9}},,"[[Rio de Janeiro]], [[Brazil]]",,,12,10,27,18,16,12,1,8,5,10,20,,,,,,,,,[[Sriwijaya]],→ [[Jaciobá Atlético Clube|Jaciobá]] (loan),[[Olímpico Esporte Clube|Olímpico]],[[Persiba Balikpapan]],[[PSMS Medan]],[[Semen Padang F.C.|Semen Padang]],Atlantico,[[Batatais Futebol Clube|Batatais]],[[América Futebol Clube (SE)|América]],[[Atlético Acreano]],[[Associação Desportiva Recreativa e Cultural Icasa|Icasa]],,,,,,,,[[Olímpico Esporte Clube|Olímpico]],,,,,,,,,,,,,,,,,,Paulo Diego Messias dos Santos,,,3,0,1,7,8,0,0,3,0,0,2,,,{{height|m=1.78}},,,,,,,,,,,,,,,,,,,,,Diego Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,}},,,,,,,,,,,,,,,,,,,,,,[[Midfielder]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011–2012,2022,2022–,2012–2013,2013–2014,2016,2017–2018,2019–2020,2020,2020–2021,2021–2022,,,,,,,,
,,,,,,,{{birth date and age|1954|03|21|df=yes}},,"[[Montevideo]], Uruguay",,,| goals1 =,| goals10 =,,| goals2 =,| goals3 =,| goals4 =,| goals5 =,18| goals6 = 0,44| goals7 = 0,35 | goals8 = 0,| goals9 =,,,,,,,,,[[C.A. Peñarol|Peñarol]],[[Liverpool FC (Montevideo)|Liverpool de Montevideo]],,[[Club Guaraní|Guaraní]],[[UD Salamanca|Salamanca]],[[RCD Espanyol|Espanyol]],[[CE Sabadell FC|Sabadell]],[[Montevideo Wanderers F.C.|Montevideo Wanderers]],[[C.A. Peñarol|Peñarol]],[[Club Atletico Independiente|Independiente]],[[Central Español]],,,,,,,,,,,,,,,,,,,,,,,,,,Eduardo Pereira Martínez,,,,,,,,,,,,,,,,{{height|m=1.85|precision=0}},,,,,,,,,,,,,,,,,,,{{MedalCountry|{{fb|URU}}}} {{MedalCompetition|[[Copa América]]}} {{Medal|Winner|[[1987 Copa América|1987 Argentina]]|}} }},,Eduardo Pereira,,10 | nationalgoals1 = 0,,,,,,,,,,,,,[[Uruguay national football team|Uruguay]],,,,,1987–1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Goalkeeper (association football)|Goalkeeper]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1974,1993,,1975–1977,1977–1979,1979–1981,1981–1983,1984,1985–1987,1988–1990,1992,,,,,,,,
,,,,,,,{{birth date and age|1966|8|10|df=y}},,"[[Cairo]], Egypt",,,78,,,24,13,161,,61,47,,,,,,,,,,,[[Al Ahly SC|Al Ahly]],,,[[PAOK FC|PAOK]],[[Neuchâtel Xamax FCS|Neuchâtel Xamax]],[[Al Ahly SC|Al Ahly]],[[Al Ain FC|Al Ain]],[[Zamalek SC|Zamalek]],[[Al Masry SC|Al Masry]],,,,,,,,,,,,,,,,,,,,,,,,,,,Ibrahim Hassan Hussein,,,,14,,,6,1,24,,12,4,,,,,1.78 m,,,,,,,,,,,,,,,,,,,{{MedalSport|Men's [[association football|football]]}} {{MedalCountry|{{fb|EGY}}}} {{MedalCompetition|[[FIFA Arab Cup]]}} {{MedalGold|[[1992 Arab Cup| 1992 Syria]]|}} }},,Ibrahim Hassan,,131,,,,,14,,,,,,,,[[Egypt national football team|Egypt]],,,,,1988–2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Defender (association football)#Full-back|Right back]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984–1990,,,1990–1991,1991–1992,1992–1999,1999–2000,2000–2004,2004–2006,,,,,[[Al Ahly SC|Al Ahly]],,,1975–1984,,
,,,,,,,{{birth date and age|2001|02|17|df=y}},,,,,,,,,,,,,,,,,* [[AFL Coaches Association awards#Champion player of the year|AFLCA champion player of the year]]: 2025 * [[List of Gold Coast Suns captains|Gold Coast captain]]: 2025– * [[All-Australian team]]: [[2025 All-Australian team|2025]] * [[Gold Coast Suns Club Champion]]: 2023 * [[AFL Rising Star]] nominee: [[2020 AFL Rising Star|2020]] * [[AFL Coaches Association Awards|AFLCA best young player award]]: 2021 * [[Goal of the Year (Australia)|AFL Goal of the Year]]: 2025,,,,,{{AFL GC}},,,,,,,,,,,,,,,,,,,,{{AFL GC}},,,"Round 1, 2020",{{AFL PA}},[[Metricon Stadium]],{{AFL GC}},,,"No. 2, [[2019 AFL draft#2019 national draft|2019 national draft]]",,,,,,,,,Noah Anderson,129 (54),,,,,,,,,,,,,15,,192&nbsp;cm,,,,,,,,,,Noah Anderson Kicking 2021.jpg,200px }},,,,,,,,,,Noah Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Oakleigh Chargers]] ([[NAB League]]), [[Carey Grammar]] ([[Associated Public Schools of Victoria|APS]])",,,,,,,,,,,,,,[[Australian rules football positions#Midfielder|Midfielder]],,,,,,,,,,,,,,,,the 2025 season,,,,,,,,,,,,,,,,,,88&nbsp;kg,,,,,,2020–,,,,,,,,,,,,,,,,,,
,,,,,,,"{{birth date and age|1984|9|22|df=y}}<ref name=""FIFA""/>",,"[[Rio de Janeiro]], Brazil",,,25,37,,35,14,0,35,73,93,204,113,Silva lining up for [[Brazil national football team|Brazil]] in 2018,,,,,"20:37, 6 October 2025 (UTC)",,3,[[Pedrabranca Futebol Clube|RS Futebol]],[[Fluminense FC|Fluminense]],,[[Esporte Clube Juventude|Juventude]],[[FC Porto B|Porto B]],[[FC Dynamo Moscow|Dynamo Moscow]],→ [[Fluminense FC|Fluminense]] (loan),[[Fluminense FC|Fluminense]],[[AC Milan]],[[Paris Saint-Germain F.C.|Paris Saint-Germain]],[[Chelsea F.C.|Chelsea]],,,,,,,,[[Fluminense F.C.|Fluminense]],,,,,,,,,,,,,,,,,"Thiago Emiliano da Silva<ref name=""FIFA"">{{cite web |url=https://www.fifadata.com/documents/FWC/2018/pdf/FWC_2018_SQUADLISTS.PDF |title=FIFA World Cup Russia 2018: List of Players: Brazil |publisher=FIFA |page=4 |date=15 July 2018 |archive-url=https://web.archive.org/web/20190611000407/https://www.fifadata.com/documents/FWC/2018/pdf/FWC_2018_SQUADLISTS.PDF |archive-date=11 June 2019}}</ref>",,,,2,1,,3,0,0,0,9,5,9,8,,,1.81 m<ref>{{cite web |url=https://www.chelseafc.com/en/teams/profile/thiago-silva|title=Thiago Silva|publisher=Chelsea FC|date=13 February 2024 |access-date=13 February 2024 |archive-url=https://web.archive.org/web/20240408181654/https://www.chelseafc.com/en/teams/profile/thiago-silva |archive-date=8 April 2024 |url-status=dead }}</ref>,,,,,,,,,,20180610 FIFA Friendly Match Austria vs. Brazil Thiago Silva 850 1582.jpg,,,,,,,,,{{MedalSport|Men's [[association football|football]]}} {{MedalCountry|{{fb|Brazil}}}} {{MedalCompetition|[[Copa América]]}} {{Medal|W|[[2019 Copa América|2019 Brazil]]|}} {{Medal|RU|[[2021 Copa América|2021 Brazil]]|}} {{MedalCompetition|[[FIFA Confederations Cup]]}} {{Medal|W|[[2013 FIFA Confederations Cup|2013 Brazil]]|}} {{MedalCompetition|[[Football at the Summer Olympics|Summer Olympics]]}} {{MedalSilver|[[2012 Summer Olympics|2012 London]]|[[Football at the 2012 Summer Olympics – Men's tournament|Team]]}} {{MedalBronze|[[2008 Summer Olympics|2008 Beijing]]|[[Football at the 2008 Summer Olympics – Men's tournament|Team]]}},,Thiago Silva,,8,113,,,,0,7,,,,,,9 August 2024 (UTC) }},[[Brazil national under-23 football team|Brazil Olympic]] ([[List of overage players in Olympic football|O.P.]]),[[Brazil national football team|Brazil]],,,,2008–2012,2008–2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Centre-back]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002–2003,2024–,,2004,2004–2005,2005–2006,2006,2007–2009,2009–2012,2012–2020,2020–2024,,,[[Fluminense FC|Fluminense]],[[Barcelona Esporte Clube|Barcelona-RJ]],[[Pedrabranca Futebol Clube|RS Futebol]],1998–2000,2000–2001,2001–2002
,,,,,,,{{Birth date and age|df=yes|1983|10|5}},,"[[Berchem-Sainte-Agathe]], [[Brussels]], Belgium",,,38,,,124,75,18,,,,,,,,,,,,,,[[KV Kortrijk]],,,[[KV Mechelen]],[[Guizhou Renhe F.C.|Guizhou Renhe]],[[KV Mechelen]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xavier Chen,,,0,,,0,2,0,,,,,,,,1.74 m,,,,,,,,,,Xavier Chen.jpg,,,,,,,,,,,Xavier Chen,,11,9,,,,0,3 }},,,,,,,[[Belgium national under-19 football team|Belgium U19]],[[Chinese Taipei national football team|Chinese Taipei]],,,,2001–2002,2011–2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Right back]],,,,,,,,,,,,,,,,,,,,,,,,,,255,2,,,,,,,,,,,,,2005–2007,,,2007–2013,2013–2015,2016–2017,,,,,,,,[[R.S.C. Anderlecht|Anderlecht]],[[KV Kortrijk]],,1991–2003,2003–2005,
,,,A woman lifting weights,,,,{{birth date and age|df=yes|1994|4|26}},,"[[Greenwich]], London, England<ref name=""te""/>",,,,,,,,,,,,,,Zoe Smith at the [[London Youth Games]] in 2011,,,,East London Weightlifting<ref>{{cite web |title=England Championship 2023 – Start list – Red Platform |url=https://britishweightlifting.org/resources/2023-england-senior-start-list-final-red-platform-291123150656.pdf |website=British Weight Lifting |access-date=8 August 2024 |archive-date=14 July 2024 |archive-url=https://web.archive.org/web/20240714212705/https://britishweightlifting.org/resources/2023-england-senior-start-list-final-red-platform-291123150656.pdf |url-status=live }}</ref>,,,,,,,,,,,,,,,,,,,,United Kingdom,,,,,,,,,,,,,,"–58kg, −59kg, −63kg, −64kg",,,,,,,,,,,,,,,,,,,,,,{{height|m=1.59}}<ref>{{cite web |title=Zoe Smith |url=https://www.teamgb.com/athlete/zoe-smith/5R41pscswycyL0jnqHxgbF |website=Team GB |access-date=8 August 2024 |archive-date=5 May 2024 |archive-url=https://web.archive.org/web/20240505210813/https://www.teamgb.com/athlete/zoe-smith/5R41pscswycyL0jnqHxgbF |url-status=live }}</ref>,,,,,,,,,,ZoeSmithLYG.jpg,300px,,,,,,,,{{Medal|Sport| Women's [[Olympic weightlifting|weightlifting]]}} {{Medal|Country|{{GBR2}}}} {{Medal|Competition|[[European Weightlifting Championships|European Championship]]}} {{Medal|Bronze | [[2014 European Weightlifting Championships|2014 Tel Aviv]]|−58&nbsp;kg}} {{MedalBronze|[[2019 European Weightlifting Championships|2019 Batumi]]|–64&nbsp;kg}} {{MedalBronze|[[2023 European Weightlifting Championships|2023 Yerevan]]|–64&nbsp;kg}} {{Medal|Country|{{ENG}}}} {{Medal|Competition|[[Commonwealth Games]]}} {{Medal|Gold | [[2014 Commonwealth Games|2014 Glasgow]] |[[Weightlifting at the 2014 Commonwealth Games – Women's 58 kg|58&nbsp;kg]]}} {{Medal|Silver | [[2018 Commonwealth Games|2018 Gold Coast]] |[[Weightlifting at the 2018 Commonwealth Games – Women's 63 kg|63&nbsp;kg]]}} {{Medal|Bronze | [[2010 Commonwealth Games|2010 Delhi]] |[[Weightlifting at the 2010 Commonwealth Games – Women's 58 kg|58&nbsp;kg]]}},,Zoe Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"225kg<ref name=""IWRP""/>",,,,,,,,,,,,,,,,,,,,[[Olympic weightlifting|Weightlifting]],,,,,,,,,,,,,,,,,8 August 2024 }},,,{{convert|58.06|kg|lb|abbr=on}} (in March 2024)<ref>{{cite web |title=Athletes/Bios: Smith Zoe |url=https://iwf.sport/weightlifting_/athletes-bios/?athlete=&id=2867 |website=IWF |access-date=9 July 2024}}</ref>,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ivy Chen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chén Yìhán }},,,,,,,,,,,,,,,,,,,,陈意涵,,,,,,,,,,,,陳意涵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,{{birth date|1884|5|10|mf=y}},,"[[England]] (probably [[Portsea, Portsmouth]], [[Hampshire]])",Ellen Constance Muriel Harding,,,,,,,,,,,,,"Petrova, c. 1917",,,,,,,,,,,,,,,,,,,,,,,,,,,{{death date and age|1977|11|30|1884|5|10|mf=y}},"[[Clearwater, Florida]], U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Olga Petrova, vaudeville entertainer (SAYRE 7227).jpg",,150px,,,,,,,,,Olga Petrova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Actress, screenwriter, playwright",,,,,,,Madame Petrova,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Louis Willoughby]]<br><small>(1939-1968; his death)</small><br>Dr. John Dillon Stewart (physician)<br><small> (1913-1938; his death) </small> }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911–1928,,,,,,
,,,Gomez looking towards a camera,,,,{{Birth date and age|1992|7|22}},Selena Marie Gomez,"[[Grand Prairie, Texas]], US",,,,,,,,,,,,,,Gomez in 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selena Gomez at the 2024 Toronto International Film Festival 10 (cropped).jpg,,,,,,,,,,,Selena Gomez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{flatlist| * Actress * singer * songwriter<ref>{{cite web|url=https://www.ascap.com/repertory#/ace/writer/595330238/GOMEZ%20SELENA%20MARIE|title=Selena Marie Gomez|publisher=[[American Society of Composers, Authors and Publishers]]|access-date=July 23, 2024|archive-date=February 6, 2017|archive-url=https://web.archive.org/web/20170206145055/https://www.ascap.com/repertory#/ace/writer/595330238/GOMEZ%20SELENA%20MARIE|url-status=live}}</ref> * producer * businesswoman }}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[[Sofia University]],,,,,{{Birth date and age|df=y|1979|11|8}},Valentin Popov,"[[Pleven]], Bulgaria",,,,,,,,,,,,,,Valentin Popov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Horror fiction|horror]], [[Mystery fiction|mystery]], [[fantasy]], [[Science fiction|sci-fi]], [[Thriller (genre)|thriller]], [[poetry]]",,,,,,,,,,,,,,,,,,,,,,,,Valentin popov.jpg,,,,,Bulgarian,,,,,,Valentin Popov,,,,,,,,,,,,Bulgarian,,,,,,,,,,,,,Валентин Попов,bulgarian,,,,,,[[Writer]],,,,,,,,,,,,,,,,,,,,,,,,Votan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996 – }},,,,,,,
,,"[[University of California, Santa Barbara]] <br/> [[Peking University]] <br/> [[Wuhan University]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Haitao Zheng]] }},,,,,,,[[Computer Science]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xia Zhou,,,,,,,,,,,,,,,,,,,,,,,,,{{lang|zh|周霞}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Columbia University]]<br/> [[Dartmouth College]],,,,,,,,,,,,,,,,,,,,,,
Alexander García,,,,,,,{{Birth date and age|1979|12|29|df=yes}}<ref>{{Cite web|url=https://diegoluna.net/information/|title=Information « Access Diego Luna|access-date=15 September 2019|archive-date=11 August 2017|archive-url=https://web.archive.org/web/20170811142340/https://diegoluna.net/information/|url-status=dead}}</ref>,,"[[Toluca]], Mexico",Diego Dionisio Luna Alexander,,,,,,,,,,,,,Luna in 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diego Luna - Andor.jpg,,,,,,,,,,,Diego Luna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{flatlist| * Actor * director * producer }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Sabarmati (Vidhan Sabha constituency)|Sabarmati]] }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gita Patel,,,,,,,,,,,,[[India]]n,,,,,,,,,,,,,,,,,,,,,Member of the [[Gujarat Legislative Assembly]],,,,,,,,,,,[[Bhartiya Janata Party]],,,,,,,,,Jitendrabhai Patel,,,,,,,,,,,,,,,,,,Arvind Patel Dalal,,,,2012,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,{{birth date|1933|5|3}},James Joseph Brown,"[[Barnwell, South Carolina]], U.S.",,,,,,,,,,,,,,Brown in 1973,,,,,,,,,,,,,,,,,,,,,,,,,,,{{death date and age|2006|12|25|1933|5|3}},"[[Atlanta, Georgia]], U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,James Brown Live Hamburg 1973 1702730029.jpg <!-- NOTE: Do not replace James Brown Live Hamburg 1973 1702730029.jpg unless it is with a photo under a public domain or free license (meaning NOT fair use). Any fair use photos (i.e. 'promotional photos') violate the Fair Use Policy and will be deleted. See [[Wikipedia:Fair]] use criteria -->,,,,,,,,,,,James Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{hlist|Singer|songwriter|dancer|musician|record producer|bandleader}}<!--Please do not add to this list without first discussing your proposal on the talk page. -->,,,,,,,<!-- Do NOT add nicknames. See Template:Infobox musical artist#alias to know what goes here. Notice that James Brown is specifically mentioned. -->,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{plainlist| * {{marriage|Velma Warren|1953|1969|end=div}} * {{marriage|Deidre Jenkins|1970|1981|end=div}} * {{marriage|Adrienne Rodriguez|1984|1996|end=d.}} }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1953–2006,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Fiona Wade as Priya Sharma (2011),,,[[List of former Emmerdale characters#Last appeared in 2023|Former; regular]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{start date|2009|09|14|df=y}},,,,,,,,,,,,,,,,,,,,,,,,,,,,Priya Sharma (fictional character).jpg,,200,[[Gavin Blyth]] (2009)<br />Stuart Blackburn (2011),,,{{end date|2023|01|27|df=y}},,,,,Priya Sharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{plainlist| *Personal assistant *Bartender *Business manager *Wedding planner }},,,,,,,,,,,,,,,,,,,Effie Woods (2009–2010)<br />[[Fiona Wade]] (2011–2023),,,,,,,,,,,Emmerdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009–2023,,,,,,,,,,,,,,,,,,,
,,,,[[James Madison]],,*[[Northwest Indian War]] **[[Battle of Fallen Timbers]] *[[War of 1812]] }},{{Birth date|1770|08|01}},,"[[Ladysmith, Virginia|Ladysmith]], [[Colony of Virginia]]",,Kentucky Militia <br> [[Infantry]]<br>[[Artillery]] <br> Louisiana Militia,,,,,,,,,,,,Portrait by [[Charles Willson Peale]] {{circa}} 1810,,"6, including [[Meriwether Lewis Clark, Sr.]]",,,,,,,,,,,,,,,,,,,,[[Corps of Discovery]],,,,,{{death date and age|1838|09|01|1770|08|01}},"[[St. Louis, Missouri]], U.S.",,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William Clark-Charles Willson Peale.jpg,,,,,,,,,,{{Infobox military person,William Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{hlist|Soldier|explorer|politician}},,[[Bureau of Indian Affairs|Superintendent of Indian Affairs]],,,,,,,,,,,,,,,,,,,[[Benjamin Howard (Missouri politician)|Benjamin Howard]],''Position established'',,,Ensign (Kentucky Militia) <br> Lieutenant (Regular Army) <br> Brigadier General (Militia),,{{ubl|[[Jonathan Clark (soldier)|Jonathan Clark]] (brother)|[[George Rogers Clark]] (brother)}},,,,1789-1791 (Kentucky Militia) <br> 1792–1796 (Army)<br>1804–1807 (Army)<br> 1807-1814 (Louisiana Militia),,William Clark Signature.svg,,{{ubl|{{Marriage|Julia Hancock|1808|1820|end=died}}|{{Marriage|Harriet Kennerly Radford|1820|1831|end=died}}}},,,,[[Alexander McNair]],[[Joshua Pilcher]],,"May 28, 1822 – September 1, 1838","September 18, 1820","July 1, 1813",4th [[List of governors of Missouri|Governor of Missouri Territory]],,,,,[[Legion of the United States]]<br>[[Early U.S. Artillery formations|Regiment of Artillerists]],,,,,,,,,,,,,,,,,,,,,,,,,,,,
