1blankname,1namedata,academic_advisors,agent,alias,allegiance,alma mater,alma_mater,alongside,alongside1,alt,appointer1,appointer2,associated_acts,attributes,author_abbrev_bot,author_abbrev_zoo,awards,background,baptised,beatified_by,beatified_date,beatified_place,birth_date,birth_name,birth_place,birthname,branch,burial,burial_date,burial_place,canonized_by,canonized_date,canonized_place,caption,child,children,church,citizenship,consort,constituency12,constituency13,constituency14,constituency15,cor-type,cor-type1,coregency,coronation,coronation1,current_member_of,death_cause,death_date,death_place,denomination,deputy,disappeared_date,disappeared_place,disappeared_status,discipline,discography,doctoral_advisor,doctoral_students,dynasty,education,embed,embed_title,employer,era,family,father,feast_day,field,fields,flourished,footnotes,full name,genre,genres,governor4,honorific-prefix,honorific-suffix,honorific_prefix,honorific_suffix,honours,horus,house,image,image_alt,image_size,image_upright,imagesize,influenced,influences,institute,instrument,issue,issue-link,issue-pipe,issues,known_for,label,landscape,language,last,list_of_works,main_interests,major_shrine,mi,module,module2,monarch,monarch1,monuments,moretext,mother,movement,name,nationality,native_name,native_name_lang,nickname,nocat_wdimage,nomen,notable_family,notable_ideas,notable_students,notable_works,notableworks,occupation,occupations,office,office1,office10,office11,office12,office15,office2,office3,office4,office5,office6,office7,office8,ordained,order,order1,order2,order3,order4,order8,organisation,organizations,origin,other_names,p,parents,partner,party,past_member_of,patronage,patrons,period,posthumous_name,predecessor,predecessor1,predecessor10,predecessor11,predecessor12,predecessor13,predecessor14,predecessor2,predecessor3,predecessor4,predecessor5,predecessor6,predecessor7,predecessor8,predecessor9,president,president1,president3,primeminister1,primeminister2,primeminister3,primeminister4,primeminister5,primeminister6,primeminister7,primeminister8,primeminister9,prizes,pseudonym,rank,region,regnal name,reign,reign-type1,reign1,relations,relatives,religion,residence,resting place,resting_place,resting_place_coordinates,restingplace,role,s,school_tradition,serviceyears,signature,signature_alt,signature_size,significant_advance,significant_design,significant_projects,spouse,spouses,style,subject,subjects,suboffice3,subterm3,succession,succession1,successor,successor1,successor10,successor11,successor12,successor13,successor14,successor2,successor3,successor4,successor5,successor6,successor7,successor8,successor9,t,term10,term11,term12,term13,term14,term15,term_end,term_end1,term_end11,term_end12,term_end2,term_end3,term_end4,term_end5,term_end6,term_end7,term_end8,term_end9,term_label3,term_label4,term_start,term_start1,term_start11,term_start12,term_start2,term_start3,term_start4,term_start5,term_start6,term_start7,term_start8,term_start9,thesis_title,thesis_url,thesis_year,title,titles,training,venerated_in,vicepresident,vicepresident1,w,website,work_institutions,workplaces,works,years_active,yearsactive
,,,,,,,,,,,,,,,,,,,,,,,428/427 or 424/423 BC,,[[Classical Athens|Athens]],,,,,,,,,Roman copy of a portrait [[Bust (sculpture)|bust]] {{circa|370&nbsp;BC}},,,,,,,,,,,,,,,,,348/347 BC (aged 75-80),Athens,,,,,,,,,,,,,,,[[Ancient Greek philosophy]],,,,,,,,,,,,,,,,,,,Plato Silanion Musei Capitolini MC1377.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plato,,,,,,,,,[[Aristotle]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,{{circa|470}} BC <!--PLEASE SEE TALK ARCHIVE #! BEFORE CHANGING DATE-->,,"[[Deme]] [[Alopece]], [[Classical Athens|Athens]]",,,,,,,,,"A marble head of Socrates in the [[Louvre]] (copy of a lost bronze head by [[Lysippus]])<ref> Amy C. Smith (2003), [http://www.stoa.org/demos/article_portraits@page=12&greekEncoding=UnicodeC.html “Athenian Political Art from the fifth and fourth centuries BCE: Images of Historical Individuals,”] p. 14, in C.W. Blackwell, ed., ''Dēmos: Classical Athenian Democracy''. The Stoa: a consortium for electronic publication in the humanities.</ref>",,,,,,,,,,,,,,,,[[Forced suicide]] by [[suicide by poisoning|poisoning]],399 BC (aged {{approx.|71}}) <!--PLEASE SEE TALK ARCHIVE #! BEFORE CHANGING DATE-->,Athens,,,,,,,,,,,,,,,[[Ancient Greek philosophy]],,,,,,,,,,,,,,,,,,,Socrate du Louvre.jpg,,,,,,,,,,,,,,,,,,,{{hlist|[[Epistemology]]|[[ethics]]|[[teleology]]}},,,,,,,,,,,Socrates,,,,,,,,{{plainlist|,{{hlist|[[Plato]]|[[Xenophon]]|[[Antisthenes]]|[[Aristippus]]|[[Alcibiades]]|[[Critias]]}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Western philosophy]],,,,,,,,,,,,,,,[[Classical Greek philosophy]],,,,,,,,"[[Xanthippe]], [[Myrto]] (disputed)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,{{birth date|df=y|1571|12|27}},,"[[Weil der Stadt|Free Imperial City of Weil der Stadt]], Holy Roman Empire",,,,,,,,,"Portrait {{circa|1910}}, after 1620 original",,,,,,,,,,,,,,,,,{{Death date and age|df=yes|1630|11|15|1571|12|27}},"[[Regensburg|Free Imperial City of Regensburg]], Holy Roman Empire",,,,,,,,[[Michael Maestlin]],,,"[[Tübinger Stift]], [[University of Tübingen]] ([[Master of Arts|MA]])<ref>{{cite SEP |last=Liscia |first=Daniel A. Di |title=Johannes Kepler |url-id=kepler}}</ref>",,,,,,,,{{hlist|[[astronomy]]|[[astrology]]|[[mathematics]]|[[natural philosophy]]}},,,,,,,,,,,,,,,JKepler.jpg,,,,,,,,,,,,,{{Plain list|,,,,,,,,,,,,,,,,,Johannes Kepler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,{{Indented plainlist|,,,,,,,,,,,,,,,,{{Birth date|df=y|1912|6|23}},Alan Mathison Turing,"[[Maida Vale]], London, England",,,,,,,,,Turing in 1951,,,,,,,,,,,,,,,,"[[Cyanide poisoning]] as an act of [[suicide]]{{efn|group=note|Turing's death was officially determined as a suicide by an [[inquest]], but this has been disputed.<ref name = ""Copeland""/>}}",{{Death date and age|df=y|1954|6|7|1912|6|23}},"{{Nowrap|[[Wilmslow]], Cheshire, England}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{post-nominals|country=GBR|size=100%|OBE|FRS}},,,,File: Alan turing header.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alan Turing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Robert Berman{{sfn|Ferguson|2011|p=29}},,,,,,,,"Black-and-white photograph of Steven Hawking at NASA's StarChild Learning Center. He is a white man with short, dark hair wearing glasses and a suit. He is sitting down on his wheelchair with his arms crossed on his lap and is smiling at the camera.",,,,,,,{{clist,,,,,,{{Birth date|df=y|1942|01|08}},,"[[Oxford]], England",,,,,,,,,"Hawking, {{circa|1980}}",,"3, including [[Lucy Hawking|Lucy]]",,,,,,,,,,,,,,,{{Death date and age|df=y|2018|03|14|1942|01|08}},"[[Cambridge]], England",,,,,,,,"[[Dennis W. Sciama]]<ref name=""mathgene"" />",{{collapsible list,,{{ubl,,,,,,,,,{{hlist|[[General relativity]]|[[quantum gravity]]}},,,,,,,,,,{{post-nominals|country=GBR|size=100%|CH|CBE|FRS|FRSA}},,,,Stephen Hawking.StarChild.jpg,,,,,,,,,,,,,{{clist,,,,,,,,,,,,,,,,,Stephen Hawking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Westminster Abbey]]<ref name=""HawkingWestminster"">{{cite news |title=Stephen Hawking to Join Newton, Darwin in Final Resting Place |first=Estelle |last=Shirbon |url=https://www.reuters.com/article/us-britain-hawking-ashes/stephen-hawking-to-join-newton-darwin-in-final-resting-place-idUSKBN1GW2GV |access-date=21 March 2018 |publisher=Reuters |location=London |date=20 March 2018 |archive-url=https://web.archive.org/web/20180321030924/https://www.reuters.com/article/us-britain-hawking-ashes/stephen-hawking-to-join-newton-darwin-in-final-resting-place-idUSKBN1GW2GV |archive-date=21 March 2018 |url-status=live}}</ref>",,,,,,,,"Signature of Steven Hawking written as ""S. Hawking"".",,,,,{{ubl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Properties of Expanding Universes,https://doi.org/10.17863/CAM.11283,1966,,,,,,,,{{Official URL}},,{{ubl|item_style={{longitem}},,,
,,,,,,,,,,,,,,,,,,,,,,,{{Birth date|1934|11|9}},Carl Edward Sagan,"New York City, U.S.",,,,,,,,,Sagan in 1980,,,,,,,,,,,,,,,,,{{Death date and age|1996|12|20|1934|11|9}},"[[Seattle]], Washington, U.S.",,,,,,,,,,,"[[University of Chicago]] ([[Bachelor of Arts|BA]], [[Bachelor of Science|BS]], [[Master of Science|MS]], [[PhD]])",,,,,,,,{{flatlist|,,,,,,,,,,,,,,,Carl Sagan Planetary Society.JPG<!--Do not change without discussing-->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carl Sagan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Lake View Cemetery (Ithaca, New York)|Lake View Cemetery]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,[[Congress of the Confederation]],[[Continental Congress]],,,,,,,,,,,"{{OldStyleDateDY|January 17,|1706|January 6}}{{refn|group=Note|name=birthdate}}",,"[[Boston]], [[Province of Massachusetts Bay]], [[British America]]",,,,,,,,,"Portrait by [[Joseph Duplessis]], 1785",,{{hlist|[[William Franklin|William]]|[[Francis Folger Franklin|Francis]]|[[Sarah Franklin Bache|Sarah]]}},,,,,,,,,,,,,,,{{death date and age|1790|4|17|1706|1|17}},"[[Philadelphia]], Pennsylvania, U.S.",,,,,,,,,,,[[Boston Latin School]],,,,,,,,,,,,,,,,,,,{{Post-nominals|country=GBR|size=100%|FRS|FRSA|FRSE}},,,,Joseph Siffrein Duplessis - Benjamin Franklin - Google Art Project.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benjamin Franklin,,,,,,,,,,,,,,6th [[Supreme Executive Council of the Commonwealth of Pennsylvania#Presidents|President of Pennsylvania]],[[United States Minister to Sweden]],,21st Chief Clerk of the [[Province_of_Pennsylvania#Government|Pennsylvania Provincial Assembly]],President of the [[Pennsylvania_Abolition_Society|Pennsylvania Society for Promoting the Abolition of Slavery and for the Relief of Free Negroes Unlawfully Held in Bondage]],,[[United States Minister to France]],United States Postmaster General,Delegate from [[Pennsylvania]] to the [[Second Continental Congress]],[[Postmaster General of British America]],[[Speaker of the Pennsylvania Assembly|Speaker of the Pennsylvania Provincial Assembly]],"Member of the [[Province_of_Pennsylvania#Government|Pennsylvania Provincial Assembly]] from [[Philadelphia County, Pennsylvania]]",President of the University of Pennsylvania,,,,,1st,,1st,,,,,,{{ubl|[[Josiah Franklin]]|[[Abiah Folger]]}},,[[Independent politician|Independent]],,,,,,[[John Dickinson]],''Position established'',,Joseph Growden Jr.,,,,''Position established'',''Position established'',,''Position established'',[[Isaac Norris (statesman)|Isaac Norris]],,''Position established'',,,,,,,,,,,,,,,,,,,,,,,,,,,[[Christ Church Burial Ground]],,,,,,,Benjamin Franklin Signature.svg,,,,,,"{{marriage|[[Deborah Read]]|September 1, 1730|1774|reason=died}}",,,,,,,,,[[Thomas Mifflin]],[[Jonathan Russell]],,[[William Franklin]],,,,[[Thomas Jefferson]],[[Richard Bache]],,''Vacant'',Isaac Norris,,[[William Smith (Episcopal priest)|William Smith]],,,,,,,,,"November 5, 1788","April 3, 1783","May 13, 1751","April 17, 1790","May 17, 1785","November 7, 1776","October 26, 1776","January 31, 1774","October 11, 1764","October 11, 1764","May 24, 1754",,,,"October 18, 1785","September 28, 1782","October 14, 1736","April 23, 1787","March 23, 1779","July 26, 1775","May 10, 1775","August 10, 1753","May 26, 1764","August 13, 1751","November 13, 1749",,,,,,,,,{{ubl|[[Charles Biddle]]|[[Peter Muhlenberg]]|[[David Redick]]}},,,,,,,,
,,[[William Hopkins]],,,,,"{{ubl|[[University of Edinburgh]]|[[Peterhouse, Cambridge]]|[[Trinity College, Cambridge]]}}",,,,,,,,,,{{ubl|[[Smith's Prize]] (1854) |[[Adams Prize]] (1857) |[[Rumford Medal]] (1860)|[[Fellow of the Royal Society|FRS]] (1861)|[[Royal Society Bakerian Medal|Bakerian Medal]] (1866)|[[Keith Medal]] (1869–1871)}},,,,,,{{birth date|df=yes|1831|6|13}},,"[[Edinburgh]], Scotland",,,,,,,,,"Maxwell, {{circa|1870s}}",,,,,,,,,,,,,,,,,{{death date and age|df=yes|1879|11|5|1831|6|13}},"[[Cambridge]], England",,,,,,,,,,,,yes,,,,,,,,[[Physics]]<br />[[Mathematics]],,,,,,,,,,{{post-nominals|size=100%|FRS|FRSE|country=GBR}},,,,James-Clerk-Maxwell-1831-1879.jpg,,,,,,,,,,,,,{{collapsible list|title={{nobold|''See list''}}|{{ubl|[[Maxwell's equations]]|[[Statistical mechanics]]|[[Displacement current]]|[[Maxwell relations]]|[[Betti's theorem|Maxwell–Betti theorem]]|[[Maxwell–Boltzmann distribution]]|[[Maxwell–Boltzmann statistics]]|[[Maxwell–Stefan diffusion]]|[[Maxwell's demon]]|[[Maxwell construction]]|[[Kinematic coupling#Maxwell coupling|Maxwell coupling]]|[[Kinetic theory of gases]]|[[Maxwell's discs]]|[[Maxwell speed distribution]]|[[Stress functions#Maxwell stress functions|Maxwell stress functions]]|[[Maxwell's theorem]]|[[Maxwell's theorem (geometry)]]|[[Maxwell material]]|[[von Mises yield criterion|Maxwell–Huber–Hencky–von Mises theory]]|[[Maxwell–Wagner–Sillars polarization]]|[[Maxwell bridge]]|[[Maxwell coil]]|[[Luneburg lens#Maxwell's fish-eye lens|Maxwell's fish-eye lens]]|[[Fovea centralis#Entoptic effects in the fovea|Maxwell's spot]]|[[Additive color|Maxwell's wheel]]|[[Maxwell's thermodynamic surface]]|[[Rings of Saturn]]|[[Control theory]]|[[Coherence (units of measurement)|Coherent system of units]]|[[Chaos theory]]|[[Dimensional analysis]]|[[Generalized conic]]|[[Singularity (system theory)|Singularity]]|[[Structural rigidity]]}}}},,,,,,,,,{{Infobox officeholder,,,,,,,,James Clerk Maxwell,,,,,,,,,{{ubl|[[George Chrystal]]| [[Horace Lamb]]| [[John Henry Poynting]]}},,,,,Cavendish Professor of Physics,,,,,,,,,,,,,,1st,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Parton, Dumfries and Galloway]]",{{coord|55.006693|-4.039210|type:landmark|display=inline}},,,,,,,,,,,,{{marriage|[[Katherine Clerk Maxwell|Katherine Dewar]]|1858}},,,,,,,,,"[[John William Strutt, 3rd Baron Rayleigh|Lord Rayleigh]]",,,,,,,,,,,,,,,,,,,,,,1879,,,,,,,,,,,,,,1871,,,,,,,,,,,,,,,,,,,,,,,,"{{ubl|[[Marischal College]], [[University of Aberdeen]]|[[King's College, London]]|[[University of Cambridge]]}}",,,
,,,,,,,[[Saint Petersburg Imperial University]],,,,,,,,,,{{ubl|[[Davy Medal]] (1882)|[[Faraday Lectureship Prize]] (1889)|[[Fellow of the Royal Society#Foreign member|ForMemRS]]<ref name=formemrs /> (1892)|[[Copley Medal]] (1905)}},,,,,,{{birth date|df=y|1834|2|8}},,"Verkhnie Aremzyani, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,{{death date and age|df=y|1907|2|2|1834|2|8}},"Saint Petersburg, Russia",,,,,,,,,,,,,,,,,,,,[[Chemistry]],,,,,,,,,,{{post-nominals|country=GBR|size=100%|ForMemRS}},,,,드미트리 멘델레예프.jpg,,,,,,,,,,,,,"{{ubl|Predicting [[gallium]], [[germanium]] and [[scandium]]|[[Periodic table]]|[[Periodic trends]]}}",,,,,,,,,,,,,,,,,Dmitri Mendeleev,,{{nobold|Дмитрий Менделеев}}{{efn|name=reform}},ru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mendelejew signature.jpg,,,,,,,{{ubl|{{Marriage|Feozva Nikitichna Leshcheva|1862|1882|end=div}}|{{Marriage|Anna Ivanovna Popova|1882}}}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Discourse on the Compounds of Alcohol and Water<!--pre-spelling reform: Разсужденiе о Соединенiи Спирта съ Водою; modern: Рассуждение о Соединении Спирта с Водою-->,https://upload.wikimedia.org/wikipedia/commons/3/3f/%D0%9C%D0%B5%D0%BD%D0%B4%D0%B5%D0%BB%D0%B5%D0%B5%D0%B2_%D0%94.%D0%98._%D0%A0%D0%B0%D1%81%D1%81%D1%83%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5_%D0%BE_%D1%81%D0%BE%D0%B5%D0%B4%D0%B8%D0%BD%D0%B5%D0%BD%D0%B8%D0%B8_%D1%81%D0%BF%D0%B8%D1%80%D1%82%D0%B0_%D1%81_%D0%B2%D0%BE%D0%B4%D0%BE%D0%B9._(1865).pdf,1865,,,,,,,,,{{ubl|[[Saint Petersburg State Institute of Technology]]|Saint Petersburg Imperial University}},,,,
,,,,,,,,,,,,,,,,,,,,,,,{{birth date|df=yes|1822|7|20}},Johann Mendel,"[[Heinzendorf bei Odrau]], [[Austrian Silesia|Silesia]], [[Austrian Empire]]",,,,,,,,,,yes,,[[Catholic Church]],,,,,,,,,,,,,,{{death date and age|df=yes|1884|1|6|1822|7|20}},"[[Brno]], [[Margraviate of Moravia|Moravia]], [[Austria-Hungary]]",,,,,,,,<!--Please insert-->,<!--Please insert-->,,[[University of Olmütz]]<br />[[University of Vienna]],,,,,,,,[[Genetics]],,,,,,,,,,[[The Right Reverend]],[[Order of Saint Augustine|OSA]],,,,Gregor Mendel 2.jpg,,,,,,,,,,,,,Founder of the modern science of [[genetics]],,,,,,,,,{{Infobox clergy,,,,,,,,Gregor Mendel,[[Austrian Empire|Austrian]],,,,,,,,,,,,,,,,,,,,,,,,,,"25 December 1846<ref>{{cite journal|last1=Fr. Richter|first1=Clemens OSA|title=Remembering Johann Gregor Mendel: a human, a Catholic priest, an Augustinian monk, and abbot|journal=Molecular Genetics & Genomic Medicine|year=2015|volume=3|issue=6|pages=483–485|doi=10.1002/mgg3.186|pmid=26740939|pmc=4694133}}</ref>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<!--Please insert-->,,,,,,,,,,[[Christianity]],,,,,,,,,,Gregor Mendel Signature.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[St Thomas's Abbey, Brno]]",,,,
,,,,,,,,,,,,,,,,,,,,,,,{{birth date|1822|12|27|df=y}},,"[[Dole, Jura|Dole]], France",,,,,,,,,"Photograph by [[Nadar]], 1895",,5,,,,,,,,,,,,,,,{{death date and age|1895|9|28|1822|12|27|df=y}},"[[Marnes-la-Coquette]], France",,,,,,,,,,,{{ublist|[[École normale supérieure]]|[[University of Paris]]|[[Conservatoire national des arts et métiers]]}},,,,,,,,,{{Plainlist|,,,,,,,,,,{{post-nominals|country=GBR|size=small|ForMemRS}},,,,"Louis Pasteur, foto av Paul Nadar, Crisco edit.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Louis Pasteur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{marriage|[[Marie Laurent]]|1849}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,{{birth date|1881|8|6|df=y}},,"[[Darvel]], Ayrshire, Scotland",,,,,,,,,"Fleming in his laboratory, {{c.|1943}}",,,,,,,,,,,,,,,,,{{Death date and age|1955|3|11|1881|8|6|df=y}},"London, England",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{post-nominals|country=GBR|size=100%|FRS|FRSE|FRCS}},,,,Synthetic Production of Penicillin TR1468.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sir Alexander Fleming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[St Paul's Cathedral]],,,,,,,,,,,,,,{{plainlist|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,{{Birth date|1791|09|22|df=yes}},,"[[Newington Butts]], [[Surrey]], England",,,,,,,,,"Faraday, {{Circa|1850s}}",,,,,,,,,,,,,,,,,{{Death date and age|1867|08|25|1791|09|22|df=yes}},"[[Hampton, London|Hampton]], [[Middlesex]], England",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Post-nominals|FRS|size=100%}},,,,Michael Faraday sitting crop.jpg,,,,,,,,,,,,,{{Plain list|,,,,,,,,,,,,,,,,,Michael Faraday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Highgate Cemetery]], London",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,[[University of Strasbourg]] ([[Licentiate (degree)|Lic.]]),,,,,,,,,,,,,,,,{{birth date|1749|8|28|df=y}},Johann Wolfgang Goethe,"[[Free Imperial City of Frankfurt|Frankfurt]], Holy Roman Empire",,,,,,,,,"Portrait by [[Joseph Karl Stieler]], 1828",,"5, including [[August von Goethe|August]]",,,,,,,,,,,,,,,{{death date and age|1832|3|22|1749|8|28|df=y}},"[[Weimar]], Saxe-Weimar-Eisenach",,,,,,,,,,,[[Leipzig University]],,,,,,,,,,,,,,{{hlist|Fiction (poetry|novel|[[romance (prose fiction)|romance]]|drama)}}{{hlist|non-fiction ([[aesthetic criticism]]|[[treatise]]|[[article (publishing)|article]]|autobiography|[[oration]]|[[letter (message)|correspondence]])}},,,,{{lang|de|[[Geheimrat]]}},,,,,Goethe (Stieler 1828).jpg,,,,,,,,,,,,,,,,,,,,,,{{Collapsed infobox section begin|Other positions|titlestyle=border: 1px dashed lightgrey;}}{{Infobox officeholder |embed=yes,,,,,,,{{plainlist|,Johann Wolfgang von Goethe,,,,,,,,,,,,,,[[Chancellor of the Exchequer]] of [[Saxe-Weimar|Duchy of Saxe-Weimar]],,,,,,Superintendent of the ducal library and Chief Adviser of Saxe-Weimar <small>(from 1775)</small>,"Commissioner of the War, Mines and Highways Commissions of Saxe-Weimar <small>(from 1779)</small>",,,,,,,,,,,,,,,,,,{{ubl | [[Johann Caspar Goethe]] | [[Catharina Elisabeth Goethe|Catharina Elisabeth Textor]]}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goethe Signature.svg,,,,,,{{marriage|[[Christiane Vulpius]]|1806|1816|end=died}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784,,,,,,,,,,,,,,1782,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Sigmund Freud,,,,,,,,,,,,,{{birth date|1856|5|6|df=y}},Sigismund Schlomo Freud,"[[Freiberg in Mähren]], Austrian Empire",,,,,,,,,"Freud, {{Circa|1921}}<ref>{{Cite web |last=Halberstadt |first=Max |date=c. 1921 |title=Sigmund Freud, half-length portrait, facing left, holding cigar in right hand |url=https://www.loc.gov/item/98514770/ |url-status=live |archive-url=https://web.archive.org/web/20171228054049/https://www.loc.gov/item/98514770/ |archive-date=28 December 2017 |access-date=8 June 2017 |website=[[Library of Congress]]}}</ref>",,,,,,,,,,,,,,,,,{{death date and age|1939|9|23|1856|5|6|df=y}},"[[Hampstead]], London, England",,,,,,,,,,,,,,,,,,,,{{hlist|[[Neurology]]|[[psychotherapy]]|[[psychoanalysis]]}},,,,,,,,,,,,,,"Sigmund Freud, by Max Halberstadt (cropped).jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sigmund Freud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Freud Corner (Golders Green Crematorium)|Freud Corner]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Plainlist|,,,
,,,,,,,{{Plain list|,,,,,,,,,,,,,,,,{{Birth date|1858|04|23|df=yes}},Max Karl Ernst Ludwig Planck,"[[Kiel]], [[Duchy of Holstein]], [[German Confederation]]",,,,,,,,,Planck in 1938,,,,,,,,,,,,,,,,,{{Death date and age|1947|10|04|1858|04|23|df=yes}},"[[Göttingen]], [[British occupation zone in Germany|British zone]], [[Allied-occupied Germany]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Max Planck by Hugo Erfurth 1938cr - restoration1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Max Planck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Stadtfriedhof (Göttingen)|Stadtfriedhof]], Göttingen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
